PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Pomona-Pitzer,K,PP,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,William Welch,,,,,,,Tyler Vargas,26,31.0,Cameron Shirangi,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Pomona-Pitzer,O,PAC,1,,1.0,1.0,0.0,10.0,-31.0,Gold Zone,Run,Rush,5.0,Kash Taylor,middle,,,,,,,,,Grant Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Pomona-Pitzer,O,PAC,1,,1.0,2.0,2.0,5.0,-36.0,Gold Zone,Run,Rush,13.0,Kash Taylor,right,,,,,,,,,Grant Miller,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Pomona-Pitzer,O,PAC,1,,1.0,3.0,1.0,10.0,-49.0,Go Zone,Pass,Incomplete,0.0,,,Ryan Helt,short,right,Incomplete,Kai Bookland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Pomona-Pitzer,O,PAC,1,,1.0,4.0,2.0,10.0,-49.0,Go Zone,Run,Rush,5.0,Kash Taylor,middle,,,,,,,,,Nate Barewin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Pomona-Pitzer,O,PAC,1,,1.0,5.0,3.0,5.0,,,Pass,Incomplete,0.0,,,Ryan Helt,short,middle,Incomplete,Braeden Lowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Pomona-Pitzer,K,PAC,1,,,,4.0,5.0,,,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caden Almer,31.0,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Pomona-Pitzer,D,PP,1,,1.0,1.0,0.0,10.0,,,Pass,Complete,3.0,,,Skylar Nobles,short,middle,Complete,Will Radice,,,,Sancho Eskridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:34,1654,0,0,0,3,3,3,,,,,,,
9,Pomona-Pitzer,D,PP,1,,1.0,2.0,2.0,7.0,,,Pass,Complete,6.0,,,Skylar Nobles,short,right,Complete,Quinten Wimmer,,,,Zion Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:34,1654,0,0,0,3,3,3,,,,,,,
10,Pomona-Pitzer,D,PP,1,,1.0,3.0,3.0,1.0,,,Run,Rush,2.0,Domminick Norris,right,,,,,,,,,Deshayne Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:34,1654,0,0,0,3,3,3,,,,,,,
