PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Framingham St.,K,FSU,1,,,,,,,KO Rec,Return,,,,,,,,,Kelvin Davila,,,,,,,Ryan Milliken,27,30.0,,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Framingham St.,O,PSU,1,,1.0,1.0,0.0,10.0,-30.0,Pass,Complete,5.0,,Brett Lavanchy,Complete,Zach Harris,,,,Cully Curran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Framingham St.,O,PSU,1,,1.0,2.0,2.0,5.0,-35.0,Run,Rush,2.0,Manny Sanchez,,,,,,,Nick Ashley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,Framingham St.,O,PSU,1,,1.0,3.0,3.0,3.0,-37.0,Run,Rush,3.0,Manny Sanchez,,,,,,,Cully Curran,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Framingham St.,O,PSU,1,,1.0,4.0,1.0,10.0,-40.0,Run,Rush,2.0,Gavin Moody,,,,,,,Joshua Onujiogu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Framingham St.,O,PSU,1,,1.0,5.0,2.0,8.0,-42.0,Run,Rush,7.0,Jack Glanville,,,,,,,Michael Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
7,Framingham St.,O,PSU,1,,1.0,6.0,3.0,1.0,-49.0,Run,Rush,6.0,Willie Lombard,,,,,,,Cully Curran,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
8,Framingham St.,O,PSU,1,,1.0,7.0,1.0,10.0,45.0,Run,Rush,4.0,Willie Lombard,,,,,,,Anderson Larosiliere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
9,Framingham St.,O,PSU,1,,1.0,8.0,2.0,6.0,41.0,Pass,Sack,-9.0,,Brett Lavanchy,Sack,,,,,Joshua Onujiogu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
10,Framingham St.,O,PSU,1,,1.0,9.0,3.0,15.0,50.0,Pass,Incomplete,0.0,,Brett Lavanchy,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,1795,0,0,0,3,3,3,,,,,,,
11,Framingham St.,K,PSU,1,,,,4.0,15.0,50.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Brett Lavanchy,35.0,15.0,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
12,Framingham St.,D,FSU,1,,1.0,1.0,0.0,10.0,-15.0,Pass,Complete,9.0,,Nick Goffredo,Complete,Elijah Nichols,,,,Quinn Girard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:57,1497,0,0,0,3,3,3,,,,,,,
13,Framingham St.,D,FSU,1,,1.0,2.0,2.0,1.0,-24.0,Pass,Complete,12.0,,Nick Goffredo,Complete,Elijah Nichols,,,,Quinn Girard,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:57,1497,0,0,0,3,3,3,,,,,,,
14,Framingham St.,D,FSU,1,,1.0,3.0,1.0,10.0,-36.0,Run,Rush,7.0,Devaun Ford,,,,,,,Quinn Girard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:57,1497,0,0,0,3,3,3,,,,,,,
15,Framingham St.,D,FSU,1,,1.0,4.0,2.0,3.0,-43.0,Run,Rush,1.0,Devaun Ford,,,,,,,Quinn Girard,Evan Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:57,1497,0,0,0,3,3,3,,,,,,,
16,Framingham St.,D,FSU,1,,1.0,5.0,3.0,2.0,-44.0,Run,Rush,-1.0,Noah Leonard,,,,,,,Rowan Drew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:57,1497,0,0,0,3,3,3,,,,,,,
17,Framingham St.,K,FSU,1,,,,4.0,3.0,-43.0,Punt Rec,Return,,,,,,,,,Kelvin Davila,,,,,,,Ryan Milliken,6,19.0,,,,,,,44.0,13.0,Return,,,,,,,,,,,,,,09:57,1497,0,0,0,3,3,3,,,,,,,
18,Framingham St.,O,PSU,1,,2.0,1.0,0.0,10.0,-19.0,Run,Rush,2.0,Jack Glanville,,,,,,,Joshua Onujiogu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:07,1327,0,0,0,3,3,3,,,,,,,
19,Framingham St.,O,PSU,1,,2.0,2.0,2.0,8.0,-21.0,Pass,Incomplete,0.0,,Brett Lavanchy,Incomplete,Willie Lombard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:07,1327,0,0,0,3,3,3,,,,,,,
20,Framingham St.,O,PSU,1,,2.0,3.0,3.0,8.0,-21.0,Pass,Complete,2.0,,Brett Lavanchy,Complete,Jack Glanville,,,,Anthony Behonick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,07:07,1327,0,0,0,3,3,3,,,,,,,
21,Framingham St.,K,PSU,1,,,,4.0,6.0,-23.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Brett Lavanchy,42.0,35.0,,,,,,,,,,,,,,,07:07,1327,0,0,0,3,3,3,,,,,,,
22,Framingham St.,D,FSU,1,,2.0,1.0,0.0,10.0,-35.0,Run,Rush,2.0,Marcus McBean Jr,,,,,,,Trevor Hnyda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:20,1220,0,0,0,3,3,3,,,,,,,
23,Framingham St.,D,FSU,1,,2.0,2.0,2.0,8.0,-37.0,Pass,Complete,7.0,,Nick Goffredo,Complete,Elijah Nichols,,,,Terrell Lewis,Bryce Wronski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:20,1220,0,0,0,3,3,3,,,,,,,
24,Framingham St.,D,FSU,1,,2.0,3.0,3.0,1.0,-44.0,Run,Rush,0.0,Marcus McBean Jr,,,,,,,Trevor Hnyda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,05:20,1220,0,0,0,3,3,3,,,,,,,
25,Framingham St.,K,FSU,1,,,,4.0,1.0,-44.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,17.0,,,,,,,,,,,,,,,05:20,1220,0,0,0,3,3,3,,,,,,,
26,Framingham St.,O,PSU,1,,3.0,1.0,0.0,10.0,-17.0,Pass,Sack,-5.0,,Brett Lavanchy,Sack,,,,,Gerell Boyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:20,1100,0,0,0,3,3,3,,,,,,,
27,Framingham St.,O,PSU,1,,3.0,2.0,2.0,15.0,-12.0,Pass,Incomplete,0.0,,Christian Paillet,Incomplete,Gavin Moody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:20,1100,0,0,0,3,3,3,,,,,,,
