PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Worcester St.,K,PSu,1,,,,,,,KO,Return,,,,,,,,,Bryce Wronski,,,,,,,Drew Klock,10,20.0,Dan Carey,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Worcester St.,D,WSU,1,,1.0,1.0,0.0,10.0,-20.0,Run,Rush,19.0,Amir Mells,,,,,,,Evan Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
3,Worcester St.,D,WSU,1,,1.0,2.0,1.0,10.0,-39.0,Run,Rush,-1.0,Amir Mells,,,,,,,David Salazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
4,Worcester St.,D,WSU,1,,1.0,3.0,2.0,11.0,-38.0,Pass,Complete,13.0,,Aaron-Moses Williams,Complete,Dan DiVerdi,,,,Conor Hiner,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
5,Worcester St.,D,WSU,1,,1.0,4.0,1.0,10.0,,Run,Rush,-2.0,Ke'Vaughn Davis,,,,,,,Evan Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
6,Worcester St.,D,WSU,1,,1.0,5.0,2.0,12.0,-49.0,Run,Rush,1.0,Amir Mells,,,,,,,Evan Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
7,Worcester St.,D,WSU,1,,1.0,6.0,3.0,11.0,-50.0,Pass,Incomplete,0.0,,Aaron-Moses Williams,Incomplete,Ke'Vaughn Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TD,14:56,1796,0,0,0,3,3,3,,,,,,,
8,Worcester St.,K,WSU,1,,,,4.0,11.0,-50.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Wall,35.0,0.0,,,,,,,,,,True,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
9,Worcester St.,K,WSU,1,,,,1.0,-3.0,-3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Carey,,,Good,,,,,,,,,11:53,1613,6,0,-6,3,3,3,,,,,,,
10,Worcester St.,K,WSU,1,,,,1.0,10.0,,KO Rec,Return,,,,,,,,,Jake Donahue,,,,,,,Drew Klock,11,-25.0,Dan Carey,51.0,-14.0,Return,,,,,,,,,,,,,,,,,,,11:53,1613,7,0,-7,3,3,3,,,,,,,
11,Worcester St.,D,WSU,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Aaron-Moses Williams,Incomplete,Brodie Jacques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
12,Worcester St.,D,WSU,1,,2.0,2.0,2.0,10.0,-25.0,Run,Rush,7.0,Nico Holmes,,,,,,,Quinn Girard,Conor Hiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
13,Worcester St.,D,WSU,1,,2.0,3.0,3.0,3.0,-32.0,Run,Rush,-2.0,Nico Holmes,,,,,,,Evan Wilson,Emmanuel Ughu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:48,1608,0,7,-7,3,3,3,,,,,,,
14,Worcester St.,K,WSU,1,,,,4.0,5.0,-30.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Wall,31.0,,,,,,,,,,,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
15,Worcester St.,O,PSu,1,,1.0,1.0,0.0,10.0,,Run,Rush,4.0,Manny Sanchez,,,,,,,Brad Baxter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:29,1529,7,0,-7,3,3,3,,,,,,,
16,Worcester St.,O,PSu,1,,1.0,2.0,2.0,6.0,,Run,Rush,9.0,Manny Sanchez,,,,,,,Jayden Caron,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:29,1529,7,0,-7,3,3,3,,,,,,,
17,Worcester St.,O,PSu,1,,1.0,3.0,1.0,10.0,48.0,Run,Rush,11.0,Manny Sanchez,,,,,,,John McMasters III,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:29,1529,7,0,-7,3,3,3,,,,,,,
18,Worcester St.,O,PSu,1,,1.0,4.0,1.0,10.0,37.0,Run,Rush,17.0,Manny Sanchez,,,,,,,Brad Baxter,Scott Moulton,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:29,1529,7,0,-7,3,3,3,,,,,,,
19,Worcester St.,O,PSu,1,,1.0,5.0,1.0,10.0,20.0,Run,Rush,3.0,Manny Sanchez,,,,,,,Curt Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:29,1529,7,0,-7,3,3,3,,,,,,,
20,Worcester St.,O,PSu,1,,1.0,6.0,2.0,7.0,17.0,Run,Rush,16.0,Manny Sanchez,,,,,,,Mason Broyles,Brad Baxter,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:29,1529,7,0,-7,3,3,3,,,,,,,
21,Worcester St.,O,PSu,1,,1.0,7.0,1.0,1.0,1.0,Run,Rush,1.0,Zach Caffrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,10:29,1529,7,0,-7,3,3,3,,,,,,,
22,Worcester St.,K,PSu,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Carey,,,Good,,,,,,,,,06:25,1285,13,0,13,3,3,3,,,,,,,
23,Worcester St.,K,PSu,1,,,,1.0,10.0,,KO,Return,,,,,,,,,Zach Harris,,,,,,,Drew Klock,16,26.0,Dan Carey,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,06:25,1285,14,0,14,3,3,3,,,,,,,
24,Worcester St.,D,WSU,1,,3.0,1.0,0.0,10.0,-26.0,Pass,Incomplete,0.0,,Aaron-Moses Williams,Incomplete,Keith Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:19,1279,0,14,14,3,3,3,,,,,,,
