PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Whittier,K,P,1,,,,,,,KO,Return,,,,,,,,,Joshua Yen,Nate Barewin,,,,,,Andres Ruvalcab,,32.0,Cameron Shirang,0.0,-35.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Whittier,D,WHITTIER,1,,1.0,1.0,0.0,10.0,-32.0,Run,Rush,0.0,Calvin Tipton,,,,,,,Mark Carling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
3,Whittier,D,WHITTIER,1,,1.0,2.0,2.0,10.0,-32.0,Pass,Complete,4.0,,Andrew Henrique,Complete,Hakim Williams,,,,Nate Barewin,Tate Tussing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,
4,Whittier,D,WHITTIER,1,,1.0,3.0,3.0,6.0,-36.0,Run,Rush,4.0,Andrew Henrique,,,,,,,Nate Barewin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:57,1797,0,0,0,3,3,3,,,,,,,
5,Whittier,K,WHITTIER,1,,,,4.0,2.0,-40.0,Punt Rec,Return,,,,,,,,,Moises Gonzalez,,,,,,,Cole Barry,2,24.0,,,,,,Nicholas Burton,38.0,22.0,Return,,,,,,,,,,,,,,14:57,1797,0,0,0,3,3,3,,,,,,,9.0
6,Whittier,O,P,1,,1.0,1.0,0.0,10.0,-15.0,Pass,Complete,6.0,,Evan Flitz,Complete,Dominick Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:57,1677,0,0,0,3,3,3,,,,,,,
7,Whittier,O,P,1,,1.0,2.0,2.0,4.0,-21.0,Run,Rush,4.0,Evan Flitz,,,,,,,Cameron Kimball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:57,1677,0,0,0,3,3,3,,,,,,,
8,Whittier,O,P,1,,1.0,3.0,1.0,10.0,-25.0,Pass,Complete,59.0,,Evan Flitz,Complete,Cole Barry,,,,Seth Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:57,1677,0,0,0,3,3,3,,,,,,,
9,Whittier,O,P,1,,1.0,4.0,1.0,10.0,16.0,Pass,Complete,6.0,,Evan Flitz,Complete,Win Hunter,,,,Blake Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:57,1677,0,0,0,3,3,3,,,,,,,
10,Whittier,O,P,1,,1.0,5.0,2.0,4.0,10.0,Pass,Incomplete,0.0,,Evan Flitz,Incomplete,Win Hunter,,,,Enrique Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:57,1677,0,0,0,3,3,3,,,,,,,
11,Whittier,O,P,1,,1.0,6.0,3.0,4.0,10.0,Run,Rush,4.0,Sander Wimmer,,,,,,,Enrique Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:57,1677,0,0,0,3,3,3,,,,,,,
12,Whittier,O,P,1,,1.0,7.0,1.0,6.0,6.0,Run,Rush,6.0,Evan Flitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,12:57,1677,0,0,0,3,3,3,,,,,,,
13,Whittier,K,P,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyler Parris,,,Good,,,,,,,,,10:45,1545,6,0,6,3,3,3,,,,,,,
14,Whittier,K,P,1,,,,,,,KO,Return,,,,,,,,,Bruce Burba,,,,,,,Moises Gonzalez,24,29.0,Cameron Shirang,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,10:45,1545,7,0,7,3,3,3,,,,,,,
15,Whittier,D,WHITTIER,1,,2.0,1.0,0.0,10.0,-29.0,Run,Rush,-3.0,Moises Gonzalez,,,,,,,Nicholas DelBia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:37,1537,0,7,7,3,3,3,,,,,,,
16,Whittier,D,WHITTIER,1,,2.0,2.0,2.0,13.0,-26.0,Pass,Incomplete,0.0,,Andrew Henrique,Incomplete,Moises Gonzalez,,,,Tate Tussing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:37,1537,0,7,7,3,3,3,,,,,,,
17,Whittier,D,WHITTIER,1,,2.0,3.0,3.0,13.0,-26.0,Pass,Incomplete,0.0,,Andrew Henrique,Incomplete,Hakim Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:37,1537,0,7,7,3,3,3,,,,,,,
18,Whittier,K,WHITTIER,1,,,,4.0,13.0,-26.0,Punt Rec,Blocked,,,,,,,,,TEAM,Moises Gonzalez,,,,,,,,,,,,,,Nicholas Burton,,-20.0,Blocked,William Welch,,,,,,,,,,,,,10:37,1537,0,7,7,3,3,3,,,,,,,
19,Whittier,O,P,1,,2.0,1.0,0.0,2.0,2.0,Run,Rush,2.0,Evan Flitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,09:34,1474,7,0,7,3,3,3,,,,,,,
20,Whittier,K,P,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyler Parris,,,Good,,,,,,,,,09:30,1470,13,0,13,3,3,3,,,,,,,
21,Whittier,K,P,1,,,,,,,KO,Return,,,,,,,,,Thomas McConnel,,,,,,,Calvin Tipton,24,27.0,Cameron Shirang,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,09:30,1470,14,0,14,3,3,3,,,,,,,
22,Whittier,,WHITTIER,1,,,,1.0,10.0,-27.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whittier,,,,,,,09:24,1464,0,14,14,3,3,3,,,,,,,
23,Whittier,D,WHITTIER,1,,3.0,1.0,0.0,10.0,-27.0,Run,Rush,1.0,Chandler McCaff,,,,,,,Will Thompson,Nick Pacult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:24,1464,0,14,14,3,2,3,,,,,,,
24,Whittier,D,WHITTIER,1,,3.0,2.0,2.0,9.0,-28.0,Pass,Incomplete,0.0,,Sebastian Pimen,Incomplete,Daniel Cruz,,,,Bruce Burba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:24,1464,0,14,14,3,2,3,,,,,,,
25,Whittier,D,WHITTIER,1,,3.0,3.0,3.0,9.0,-28.0,Pass,Interception,0.0,,Sebastian Pimen,Interception,,,Thomas McConnel,,,,,,,,,Thomas McConnel,,-37.0,,,,,,,,,,,,,,,,,,,,,,Interception,09:24,1464,0,14,14,3,2,3,,,,,,,
26,Whittier,O,P,1,,3.0,1.0,0.0,10.0,38.0,Pass,Complete,38.0,,Evan Flitz,Complete,Quinten Wimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,08:34,1414,14,0,14,3,3,2,,,,,,,
27,Whittier,K,P,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyler Parris,,,Good,,,,,,,,,08:29,1409,20,0,20,3,3,2,,,,,,,
28,Whittier,K,P,1,,,,,,,KO,Return,,,,,,,,,Bruce Burba,,,,,,,Calvin Tipton,19,29.0,Cameron Shirang,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,08:29,1409,21,0,21,3,3,2,,,,,,,
29,Whittier,D,WHITTIER,1,,4.0,1.0,0.0,10.0,-29.0,Pass,Complete,10.0,,Andrew Henrique,Complete,Tyson Tapley,,,,Briggs Garrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21,1401,0,21,21,3,2,3,,,,,,,
