PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lewis & Clark,K,L&C,1,,,,,,,KO Ret,Out of bounds,,,,,,,,,,,,,,,,,,,Hayden Moses,47.0,18.0,Out of bounds,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lewis & Clark,K,L&C,1,,,,,,,KO Ret,Touchback,,,,,,,,,,,,,,,,,,,Hayden Moses,70.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Lewis & Clark,O,UPS,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Murdock Rutledge,Incomplete,AJ Johnson,Justin Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Lewis & Clark,O,UPS,1,,1.0,2.0,2.0,10.0,-25.0,Pass,Complete,6.0,,Murdock Rutledge,Complete,Izaiah Jerenz,,,,Anakin Mares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Lewis & Clark,O,UPS,1,,1.0,3.0,3.0,4.0,-31.0,Pass,Incomplete,0.0,,Murdock Rutledge,Incomplete,AJ Johnson,Tanner Ono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Lewis & Clark,K,UPS,1,,,,4.0,4.0,-31.0,Punt,Return,,,,,,,,,Christian Niemela,,,,,,,Aidan Verba-Hamilton,58,-19.0,,,,,,Alex Everett,46.0,23.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,Block Below Waist,UPS,Max Arneklev,,,,10.0
7,Lewis & Clark,D,L&C,1,,1.0,1.0,0.0,9.0,9.0,Run,Rush,9.0,Elijah McGee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,13:45,1725,0,0,0,3,3,3,,,,,,,
8,Lewis & Clark,K,L&C,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Koga,,,Good,,,,,,,,,13:44,1724,6,0,-6,3,3,3,,,,,,,
9,Lewis & Clark,K,L&C,1,,,,1.0,10.0,35.0,KO Ret,Return,,,,,,,,,Adrian Daffy,,,,,,,AJ Johnson,23,32.0,Hayden Moses,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,13:44,1724,7,0,-7,3,3,3,,,,,,,
10,Lewis & Clark,O,UPS,1,,2.0,1.0,0.0,10.0,-32.0,Run,Rush,9.0,Silas Washington,,,,,,,Julian Colvin,Anakin Mares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39,1719,0,7,-7,3,3,3,,,,,,,
