PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Cal Lutheran,K,UPS,1,,,,,,,,KO,Return,,,,,,,,,,,,Kevin Somel,Dylan Conklin,,,,,,Matt Flynn,15,33.0,,47.0,18.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Cal Lutheran,D,CLU,1,,1.0,1.0,0.0,10.0,-33.0,Gold Zone,Pass,Complete,29.0,,,Nick Lasher,deep,middle,Complete,Julio Angel,,,,Amarian Culpepper,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Cal Lutheran,D,CLU,1,,1.0,2.0,1.0,10.0,38.0,Go Zone,Run,Rush,3.0,Isaiah Martin,middle,,,,,,,,,Dakoda Bauer,Quinn Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Cal Lutheran,D,CLU,1,,1.0,3.0,2.0,7.0,35.0,Take A Shot,Run,Rush,27.0,Isaiah Martin,middle,,,,,,,,,Chris Sheckles,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Cal Lutheran,D,CLU,1,,1.0,4.0,1.0,8.0,8.0,Red Zone,Pass,Complete,8.0,,,Nick Lasher,,,Complete,Dallas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Cal Lutheran,K,CLU,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,Nick H: Lasher,,,,,,,,,,,,,,,,,,,,Daniel Burgos,,,Good,,,,,,,,,12:54,1674,6,0,-6,3,3,3,,,,,,,
7,Cal Lutheran,K,CLU,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,Randal Voutt,,,,,,,Trevino Lewis,13,16.0,Daniel Burgos,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,12:54,1674,7,0,-7,3,3,3,,,,,,,
8,Cal Lutheran,O,UPS,1,,1.0,1.0,0.0,10.0,-16.0,Coming Out,Pass,Incomplete,0.0,,,Mason Binning,,,Incomplete,Austin Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
9,Cal Lutheran,O,UPS,1,,1.0,2.0,2.0,10.0,-16.0,Coming Out,Pass,Complete,14.0,,,Mason Binning,,,Complete,Joe Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
10,Cal Lutheran,O,UPS,1,,1.0,3.0,1.0,10.0,-30.0,Gold Zone,Run,Rush,9.0,Silas Washington,right,,,,,,,,,Randal Voutt,Maxwell Nazarko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
11,Cal Lutheran,O,UPS,1,,1.0,4.0,2.0,1.0,-39.0,Gold Zone,Run,Rush,0.0,Silas Washington,left,,,,,,,,,Keshaun Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
12,Cal Lutheran,O,UPS,1,,1.0,5.0,3.0,1.0,-39.0,Gold Zone,Run,Rush,4.0,Silas Washington,right,,,,,,,,,Randal Voutt,Jalani Blade,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
13,Cal Lutheran,O,UPS,1,,1.0,6.0,1.0,10.0,-43.0,Gold Zone,Run,Rush,1.0,Mason Binning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
14,Cal Lutheran,O,UPS,1,,1.0,7.0,2.0,9.0,-44.0,Gold Zone,Run,Rush,5.0,Silas Washington,middle,,,,,,,,,Devon Goosby,Osi Aliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
