PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Concordia Chicago,K,CUC,1,,,,,,,KO Ret,Return,,,,,,,,,Justin Pierce,,,,,,,,17,31.0,Ryan Auer,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Concordia Chicago,O,RU,1,,1.0,1.0,0.0,10.0,-31.0,Pass,Complete,12.0,,,Complete,,,,,Brendon Baugh,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Concordia Chicago,O,RU,1,,1.0,2.0,1.0,10.0,-43.0,Pass,Complete,7.0,,,Complete,,,,,Travon Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Concordia Chicago,O,RU,1,,1.0,3.0,2.0,3.0,-50.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,15:00,1800,0,0,0,3,3,3,holding,CUC,,,,,10.0
5,Concordia Chicago,O,RU,1,,1.0,4.0,1.0,10.0,40.0,Run,Rush,13.0,,,,,,,,Martin Egbo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Concordia Chicago,O,RU,1,,1.0,5.0,1.0,10.0,27.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Concordia Chicago,O,RU,1,,1.0,6.0,2.0,10.0,27.0,Pass,Complete,4.0,,,Complete,,,,,Travon Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Concordia Chicago,O,RU,1,,1.0,7.0,3.0,6.0,23.0,Pass,Complete,7.0,,,Complete,,,,,Travon Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Concordia Chicago,O,RU,1,,1.0,8.0,1.0,10.0,16.0,Pass,Complete,6.0,,,Complete,,,,,Jayden Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Concordia Chicago,O,RU,1,,1.0,9.0,2.0,4.0,10.0,Pass,Complete,10.0,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Concordia Chicago,K,RU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerardo Zamudio,,,Good,,,,,,,,,12:16,1636,6,0,6,3,3,3,,,,,,,
12,Concordia Chicago,K,RU,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Gar McGregor,,,,,,,Jaylen Glass,0,32.0,Gerardo Zamudio,33.0,32.0,Return,,,,,,,,,,,,,,,,,,,12:16,1636,7,0,7,3,3,3,,,,,,,
13,Concordia Chicago,D,CUC,1,,1.0,1.0,0.0,10.0,-32.0,Run,Rush,7.0,Ty McKinney,,,,,,,Ja'uan Joiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,7,7,3,3,3,,,,,,,
14,Concordia Chicago,,CUC,1,,,,2.0,3.0,-39.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concordia Chicago,,,,,,,12:16,1636,0,7,7,3,3,3,,,,,,,
15,Concordia Chicago,D,CUC,1,,1.0,2.0,2.0,3.0,-39.0,Pass,Complete,6.0,,Troy Pratley,Complete,C. Covington,,,,Gar McGregor,Andrew Heath,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:27,1587,0,7,7,3,2,3,,,,,,,
16,Concordia Chicago,D,CUC,1,,1.0,3.0,1.0,10.0,-45.0,Run,Rush,4.0,Ty McKinney,,,,,,,Jordan Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:27,1587,0,7,7,3,2,3,,,,,,,
17,Concordia Chicago,D,CUC,1,,1.0,4.0,2.0,6.0,-49.0,Run,Rush,4.0,Troy Pratley,,,,,,,Maddux Rigsby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:27,1587,0,7,7,3,2,3,,,,,,,
18,Concordia Chicago,D,CUC,1,,1.0,5.0,3.0,2.0,47.0,Run,Rush,6.0,DeAndre Daniels,,,,,,,jaylen Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:27,1587,0,7,7,3,2,3,,,,,,,
19,Concordia Chicago,D,CUC,1,,1.0,6.0,1.0,10.0,41.0,Run,Rush,8.0,DeAndre Daniels,,,,,,,Ja'uan Joiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:27,1587,0,7,7,3,2,3,holding,CUC,,,,,10.0
20,Concordia Chicago,D,CUC,1,,1.0,7.0,1.0,12.0,43.0,Pass,Complete,7.0,,Troy Pratley,Complete,Nate Speed,,,,Jordan Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:27,1587,0,7,7,3,2,3,,,,,,,
21,Concordia Chicago,D,CUC,1,,1.0,8.0,2.0,5.0,36.0,Run,Rush,4.0,DeAndre Daniels,,,,,,,Andrew Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:27,1587,0,7,7,3,2,3,,,,,,,
22,Concordia Chicago,,CUC,1,,,,3.0,1.0,32.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:27,1587,0,7,7,3,2,3,false start,CUC,,,,,5.0
23,Concordia Chicago,D,CUC,1,,1.0,9.0,3.0,6.0,37.0,Run,Rush,4.0,Troy Pratley,,,,,,,Gar McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:27,1587,0,7,7,3,2,3,,,,,,,
24,Concordia Chicago,D,CUC,1,,1.0,10.0,4.0,2.0,33.0,Run,Rush,4.0,DeAndre Daniels,,,,,,,Andrew Heath,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:27,1587,0,7,7,3,2,3,,,,,,,
