PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Eureka,K,ECFB,1,,,,,,,,KO Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,34.0,-31.0,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Eureka,O,RU,1,,1.0,1.0,0.0,10.0,31.0,Take A Shot,Pass,Incomplete,0.0,,,,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Eureka,O,RU,1,,1.0,2.0,2.0,10.0,31.0,Take A Shot,Pass,Incomplete,0.0,,,,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Eureka,O,RU,1,,1.0,3.0,3.0,10.0,31.0,Take A Shot,Pass,Incomplete,0.0,,,,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Eureka,K,RU,1,,,,4.0,10.0,31.0,Take A Shot,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,-7.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Eureka,O,RU,1,,2.0,1.0,0.0,10.0,-7.0,Backed Up,Pass,Complete,4.0,,,,,,Complete,,,,,Jack Arnett,Brendan Durr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:33,1773,0,0,0,3,3,3,,,,,,,
7,Eureka,O,RU,1,,2.0,2.0,2.0,6.0,-11.0,Coming Out,Run,Rush,0.0,,,,,,,,,,,Kavion Nichols,Alex Brittain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:33,1773,0,0,0,3,3,3,,,,,,,
8,Eureka,O,RU,1,,2.0,3.0,3.0,6.0,-11.0,Coming Out,Pass,Complete,5.0,,,,,,Complete,,,,,M. Toussaint,Austin Hopkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:33,1773,0,0,0,3,3,3,,,,,,,
9,Eureka,,RU,1,,,,4.0,1.0,-16.0,Coming Out,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockford,,,,,,,14:33,1773,0,0,0,3,3,3,,,,,,,
10,Eureka,,RU,1,,,,4.0,1.0,-16.0,Coming Out,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,2,2,3,false start,RU,,,,,5.0
11,Eureka,K,RU,1,,,,4.0,6.0,-11.0,Coming Out,Punt,Return,,,,,,,,,,,,Carl Jones,,,,,,,Kavion Nichols,4,-30.0,,,,,,Kaden Finnestad,23.0,-34.0,Return,,,,,,,,,,,,,,12:55,1675,0,0,0,2,2,3,,,,,,,
12,Eureka,D,ECFB,1,,1.0,1.0,0.0,10.0,30.0,Take A Shot,Pass,Complete,30.0,,,Noah Berlett,,,Complete,P Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,12:46,1666,0,0,0,2,3,2,,,,,,,
13,Eureka,K,ECFB,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S Bartkus,,,Good,,,,,,,,,12:36,1656,6,0,-6,2,3,2,,,,,,,
14,Eureka,K,ECFB,1,,,,1.0,-35.0,-35.0,Gold Zone,KO Rec,,,,,,,,,,,,,,,,,,,,,,,S Bartkus,65.0,0.0,,,,,,,,,,,,,,,,,,,,12:36,1656,7,0,-7,2,3,2,,,,,,,
15,Eureka,O,RU,1,,3.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,2.0,,,,,,,,,,,Brendan Durr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:36,1656,0,7,-7,2,2,3,,,,,,,
16,Eureka,O,RU,1,,3.0,2.0,2.0,8.0,-27.0,Gold Zone,Run,Rush,2.0,,,,,,,,,,,Alex Brittain,Garrett Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:36,1656,0,7,-7,2,2,3,,,,,,,
17,Eureka,O,RU,1,,3.0,3.0,3.0,6.0,-29.0,Gold Zone,Pass,Incomplete,0.0,,,,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,12:36,1656,0,7,-7,2,2,3,pass interference,ECFB,Jack Arnett,,,,15.0
18,Eureka,,RU,1,,,,1.0,10.0,-44.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:36,1656,0,7,-7,2,2,3,false start,RU,,,,,5.0
19,Eureka,O,RU,1,,3.0,4.0,1.0,15.0,-39.0,Gold Zone,Run,Rush,2.0,,,,,,,,,,,D. Hathaway,Brendan Durr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:36,1656,0,7,-7,2,2,3,,,,,,,
