PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Anderson (IN),K,R-H,1,,,,,,,KO,Return,,,,,,,,,Caleb Brown,,,,,,,Sean McSmith,24,29.0,Brett Tuttle,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Anderson (IN),D,A-U,1,,1.0,1.0,0.0,10.0,29.0,Run,Rush,-3.0,Caden Robinson,,,,,,,Jonathan Anstett,Michael Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Anderson (IN),D,A-U,1,,1.0,2.0,2.0,13.0,26.0,Pass,Complete,7.0,,Tyson Harley,Complete,Caleb Brown,,,,Chaikou Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Anderson (IN),D,A-U,1,,1.0,3.0,3.0,6.0,33.0,Pass,Complete,4.0,,Tyson Harley,Complete,Caden Robinson,,,,Jonathan Anstett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Anderson (IN),K,A-U,1,,,,4.0,10.0,29.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Caleb Oliver,20.0,49.0,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Anderson (IN),O,R-H,1,,1.0,1.0,0.0,10.0,49.0,Run,Rush,3.0,Shane Welshans,,,,,,,Collin McCaffrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
7,Anderson (IN),O,R-H,1,,1.0,2.0,2.0,7.0,46.0,Pass,Complete,13.0,,Andrew Dion,Complete,Adam Tice-Saliu,,,,Javonte Malone,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
8,Anderson (IN),O,R-H,1,,1.0,3.0,1.0,10.0,33.0,Pass,Complete,20.0,,Andrew Dion,Complete,Daniel Huery,,,,Jose Olivo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
9,Anderson (IN),O,R-H,1,,1.0,4.0,1.0,10.0,13.0,Run,Rush,10.0,Shane Welshans,,,,,,,Trey Staley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
10,Anderson (IN),O,R-H,1,,1.0,5.0,1.0,3.0,3.0,Run,Rush,3.0,Shane Welshans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,12:52,1672,0,0,0,3,3,3,,,,,,,
11,Anderson (IN),K,R-H,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Oliger,,,Good,,,,,,,,,11:28,1588,6,0,6,3,3,3,,,,,,,
12,Anderson (IN),K,R-H,1,,,,1.0,10.0,35.0,KO,Return,,,,,,,,,Daniel Morford,,,,,,,Javonte Malone,25,25.0,Brett Tuttle,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,11:28,1588,7,0,7,3,3,3,,,,,,,
13,Anderson (IN),D,A-U,1,,2.0,1.0,0.0,10.0,25.0,Pass,Complete,3.0,,Tyson Harley,Complete,Caleb Brown,,,,Chaikou Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:16,1576,0,7,7,3,3,3,,,,,,,
14,Anderson (IN),D,A-U,1,,2.0,2.0,2.0,13.0,22.0,Pass,Interception,0.0,,Tyson Harley,Interception,,,Winston Amankwah,,Caden Robinson,,,,,,,Winston Amankwah,26,42.0,,,,,,,,,,,,,,,,,,,,,,Interception,11:16,1576,0,7,7,3,3,3,,,,,,,
15,Anderson (IN),O,R-H,1,,2.0,1.0,0.0,10.0,16.0,Run,Rush,0.0,Shane Welshans,,,,,,,Ross Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,1546,7,0,7,3,3,3,,,,,,,
16,Anderson (IN),O,R-H,1,,2.0,2.0,2.0,10.0,16.0,Pass,Complete,16.0,,Andrew Dion,Complete,Shane Welshans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,10:46,1546,7,0,7,3,3,3,,,,,,,
17,Anderson (IN),K,R-H,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Oliger,,,Good,,,,,,,,,10:11,1511,13,0,13,3,3,3,,,,,,,
18,Anderson (IN),K,R-H,1,,,,1.0,10.0,35.0,KO,Touchback,,,,,,,,,,,,,,,,,,,Brett Tuttle,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,10:11,1511,14,0,14,3,3,3,,,,,,,
19,Anderson (IN),D,A-U,1,,3.0,1.0,0.0,10.0,25.0,Pass,Incomplete,0.0,,Tyson Harley,Incomplete,Logan Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:11,1511,0,14,14,3,3,3,,,,,,,
20,Anderson (IN),D,A-U,1,,3.0,2.0,2.0,10.0,25.0,Pass,Incomplete,0.0,,Tyson Harley,Incomplete,Caleb Brown,,,Jonathan Anstett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:11,1511,0,14,14,3,3,3,,,,,,,
21,Anderson (IN),D,A-U,1,,3.0,3.0,3.0,10.0,25.0,Pass,Incomplete,0.0,,Tyson Harley,Incomplete,Logan Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:11,1511,0,14,14,3,3,3,,,,,,,
22,Anderson (IN),K,A-U,1,,,,4.0,10.0,25.0,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Caleb Oliver,18.0,43.0,Out of bounds,,,,,,,,,,,,,,10:11,1511,0,14,14,3,3,3,,,,,,,
23,Anderson (IN),O,R-H,1,,3.0,1.0,0.0,10.0,43.0,Run,Rush,17.0,Shane Welshans,,,,,,,Jose Olivo,Da'Marion Walker,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
24,Anderson (IN),O,R-H,1,,3.0,2.0,1.0,10.0,26.0,Pass,Complete,2.0,,Andrew Dion,Complete,Jailen Hobbs,,,,Sam Feola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
25,Anderson (IN),O,R-H,1,,3.0,3.0,2.0,8.0,24.0,Run,Rush,8.0,Shane Welshans,,,,,,,Cade McClain,Brandon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
26,Anderson (IN),O,R-H,1,,3.0,4.0,1.0,10.0,16.0,Run,Rush,3.0,Daniel Huery,,,,,,,Cayden Sotelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
27,Anderson (IN),O,R-H,1,,3.0,5.0,2.0,7.0,13.0,Pass,Complete,13.0,,Andrew Dion,Complete,Jailen Hobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,09:47,1487,14,0,14,3,3,3,,,,,,,
28,Anderson (IN),,R-H,1,,,,1.0,10.0,3.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:01,1381,20,0,20,3,3,3,,,,,,,5.0
29,Anderson (IN),K,R-H,1,,,,1.0,8.0,8.0,Extra Pt.,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Oliger,,,No Good,,,,,,,,,08:01,1381,20,0,20,3,3,3,,,,,,,
30,Anderson (IN),K,R-H,1,,,,1.0,10.0,35.0,KO,Touchback,,,,,,,,,,,,,,,,,,,Brett Tuttle,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,08:01,1381,20,0,20,3,3,3,,,,,,,
31,Anderson (IN),D,A-U,1,,4.0,1.0,0.0,10.0,25.0,Pass,Incomplete,0.0,,Tyson Harley,Incomplete,Caleb Brown,,,Tyler Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:01,1381,0,20,20,3,3,3,,,,,,,
32,Anderson (IN),D,A-U,1,,4.0,2.0,2.0,10.0,25.0,Pass,Complete,5.0,,Tyson Harley,Complete,Caden Robinson,,,,Michael Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:01,1381,0,20,20,3,3,3,,,,,,,
33,Anderson (IN),D,A-U,1,,4.0,3.0,3.0,5.0,30.0,Pass,Incomplete,0.0,,Tyson Harley,Incomplete,Caleb Brown,Winston Amankwah,,Michael Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:01,1381,0,20,20,3,3,3,,,,,,,
