PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wis.-Whitewater,K,UWW,1,,,,,,,KO Ret,Return,,,,,,,,,J. Hendrickson,Nate Tyley,,,,,,,15,18.0,Kacper Lupa,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wis.-Whitewater,O,SAL,1,,1.0,1.0,0.0,10.0,-18.0,Pass,Complete,8.0,,Jack Lanham,Complete,Hunter Cleaver,,,,Matt Burba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Wis.-Whitewater,O,SAL,1,,1.0,2.0,2.0,2.0,-26.0,Run,Rush,7.0,Joey Bildstein,,,,,,,Shane McGrail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Wis.-Whitewater,O,SAL,1,,1.0,3.0,1.0,10.0,-33.0,Run,Rush,-1.0,Lenard Prue,,,,,,,Dain Hudson,Tommy Matoska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wis.-Whitewater,O,SAL,1,,1.0,4.0,2.0,11.0,-32.0,Run,Rush,1.0,Joey Bildstein,,,,,,,M. Balanganayi,Niko Lemke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wis.-Whitewater,O,SAL,1,,1.0,5.0,3.0,10.0,-33.0,Pass,Incomplete,0.0,,Jack Lanham,Incomplete,Joey Bildstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Wis.-Whitewater,K,SAL,1,,,,4.0,10.0,-33.0,Punt,Blocked,,,,,,,,,Sam DeLany,,,,,,,,,,,,,,,,,-42.0,Blocked,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Wis.-Whitewater,D,UWW,1,,1.0,1.0,0.0,10.0,42.0,Run,Rush,6.0,Alex Peete,,,,,,,J. Celentano,Casey Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:13,1633,0,0,0,3,3,3,,,,,,,
9,Wis.-Whitewater,D,UWW,1,,1.0,2.0,2.0,4.0,36.0,Run,Rush,8.0,Alex Peete,,,,,,,Jamere Furbush,Sam Pagella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:13,1633,0,0,0,3,3,3,,,,,,,
10,Wis.-Whitewater,D,UWW,1,,1.0,3.0,1.0,10.0,28.0,Run,Rush,3.0,Alex Peete,,,,,,,Sam Pagella,J. Celentano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:13,1633,0,0,0,3,3,3,,,,,,,
11,Wis.-Whitewater,D,UWW,1,,1.0,4.0,2.0,7.0,25.0,Run,Rush,7.0,Alex Peete,,,,,,,Jamere Furbush,Sean Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:13,1633,0,0,0,3,3,3,,,,,,,
12,Wis.-Whitewater,D,UWW,1,,1.0,5.0,1.0,10.0,18.0,Pass,Complete,10.0,,Max Meylor,Complete,Derek Kumerow,,,,Myles Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:13,1633,0,0,0,3,3,3,,,,,,,
13,Wis.-Whitewater,D,UWW,1,,1.0,6.0,1.0,8.0,8.0,Pass,Incomplete,0.0,,Max Meylor,Incomplete,Ryan Wisniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:13,1633,0,0,0,3,3,3,,,,,,,
14,Wis.-Whitewater,D,UWW,1,,1.0,7.0,2.0,8.0,8.0,Pass,Complete,4.0,,Max Meylor,Complete,Sam DeLany,,,,Jamere Furbush,Ben Spiess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:13,1633,0,0,0,3,3,3,,,,,,,
15,Wis.-Whitewater,D,UWW,1,,1.0,8.0,3.0,4.0,4.0,Pass,Sack,-4.0,,Max Meylor,Sack,,,,,Casey Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:13,1633,0,0,0,3,3,3,,,,,,,
16,Wis.-Whitewater,D,UWW,1,,1.0,9.0,4.0,8.0,8.0,Run,Rush,-9.0,Nate Custer,,,,,,,Sean Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,12:13,1633,0,0,0,3,3,3,,,,,,,
17,Wis.-Whitewater,O,SAL,1,,2.0,1.0,0.0,10.0,-17.0,Run,Rush,1.0,Jack Lanham,,,,,,,Justin Allen,Ryan Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:48,1368,0,0,0,3,3,3,,,,,,,
18,Wis.-Whitewater,O,SAL,1,,2.0,2.0,2.0,9.0,-18.0,Pass,Complete,5.0,,Jack Lanham,Complete,Chris Clark,,,,M. Balanganayi,J. Hendrickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:48,1368,0,0,0,3,3,3,,,,,,,
19,Wis.-Whitewater,O,SAL,1,,2.0,3.0,3.0,4.0,-23.0,Run,Rush,5.0,Jack Lanham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:48,1368,0,0,0,3,3,3,,,,,,,
20,Wis.-Whitewater,O,SAL,1,,2.0,4.0,1.0,10.0,-28.0,Run,Rush,2.0,Shamar Gray,,,,,,,J. Hendrickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:48,1368,0,0,0,3,3,3,,,,,,,
21,Wis.-Whitewater,O,SAL,1,,2.0,5.0,2.0,8.0,-30.0,Pass,Incomplete,0.0,,Jack Lanham,Incomplete,Lenard Prue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:48,1368,0,0,0,3,3,3,,,,,,,
22,Wis.-Whitewater,O,SAL,1,,2.0,6.0,3.0,8.0,-30.0,Pass,Incomplete,0.0,,Jack Lanham,Incomplete,Shamar Gray,,,,Mark McGrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,07:48,1368,0,0,0,3,3,3,,,,,,,
