PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Stevenson,K,STE,1,,,,,,,,KO Rec,Touchback,,,,,,,,,,,,,,,,,,,,,,Zachary Rutsch,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Stevenson,O,SAL,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,0.0,Andre Matthews,middle,,,,,,,,,,,True,Andre Matthews,,SAL,Andre Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Stevenson,O,SAL,1,,1.0,2.0,2.0,10.0,-25.0,Coming Out,Run,Rush,10.0,Jaden Davis,left,,,,,,,,,Christopher Velardi,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Stevenson,O,SAL,1,,1.0,3.0,1.0,10.0,-35.0,Gold Zone,Run,Rush,-2.0,Andre Matthews,middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Stevenson,O,SAL,1,,1.0,4.0,2.0,12.0,-33.0,Gold Zone,Pass,Incomplete,0.0,,,Andre Matthews,short,middle,Incomplete,David Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Stevenson,O,SAL,1,,1.0,5.0,3.0,12.0,-33.0,Gold Zone,Run,Rush,20.0,Jaden Davis,right,,,,,,,,,Justice Pettus-Dixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,Illegal Block in Back,SAL,,,,,13.0
7,Stevenson,O,SAL,1,,1.0,6.0,3.0,25.0,-20.0,Coming Out,Run,Rush,8.0,Dario Belizaire,left,,,,,,,,,Tom Zatalava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Stevenson,K,SAL,1,,,,4.0,17.0,-28.0,Gold Zone,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,Noah Christenson,36.0,36.0,Out of bounds,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Stevenson,D,STE,1,,1.0,1.0,0.0,10.0,-36.0,Gold Zone,Pass,Complete,24.0,,,Ryan Sedgwick,deep,right,Complete,Brandon Booze,,,,Stevenson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:51,1611,0,0,0,3,3,3,,,,,,,
10,Stevenson,D,STE,1,,1.0,2.0,1.0,10.0,40.0,Go Zone,Run,Rush,3.0,Brandon Walker,middle,,,,,,,,,Chris Kallighan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:51,1611,0,0,0,3,3,3,,,,,,,
