PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Westminster (MO),K,SEWANEE,1,,,,,,,KO,Return,,,,,,,,,Tim Branneky,,,,,,,Dagem Samuel,39,-45.0,Tim Branneky,59.0,-6.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Westminster (MO),D,WESTMIN,1,,1.0,1.0,0.0,10.0,45.0,Pass,Incomplete,0.0,,Cooper Hancock,Incomplete,Grayson Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Westminster (MO),D,WESTMIN,1,,1.0,2.0,2.0,10.0,45.0,Run,Rush,2.0,Hunter Jones,,,,,,,B. Dickerson,Cole Amelunke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Westminster (MO),D,WESTMIN,1,,1.0,3.0,3.0,8.0,47.0,Pass,Complete,12.0,,Cooper Hancock,Complete,Hunter Jones,,,,Dillon Farrell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Westminster (MO),D,WESTMIN,1,,1.0,4.0,1.0,10.0,-41.0,Run,Rush,1.0,Michael McGhee,,,,,,,Cooper Mange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Westminster (MO),D,WESTMIN,1,,1.0,5.0,2.0,9.0,-40.0,Pass,Incomplete,0.0,,Cooper Hancock,Incomplete,C. McCullough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Westminster (MO),D,WESTMIN,1,,1.0,6.0,3.0,9.0,-40.0,Pass,Complete,7.0,,Cooper Hancock,Complete,Michael McGhee,,,,Blake Bolin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Westminster (MO),,WESTMIN,1,,,,4.0,2.0,-33.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,SEWANEE,Maverick Tucker,,,,5.0
9,Westminster (MO),K,WESTMIN,1,,,,4.0,7.0,-38.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,J. Satterfield,10.0,-28.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Westminster (MO),D,WESTMIN,1,,2.0,1.0,0.0,10.0,-28.0,Pass,Incomplete,0.0,,Wyatt Ellis,Incomplete,Casey Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
11,Westminster (MO),D,WESTMIN,1,,2.0,2.0,2.0,10.0,-28.0,Run,Rush,4.0,Taylor Dobbins,,,,,,,Jacob Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
12,Westminster (MO),D,WESTMIN,1,,2.0,3.0,3.0,6.0,-32.0,Pass,Complete,7.0,,Wyatt Ellis,Complete,Peyton James,,,,Thomas Latimer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
13,Westminster (MO),D,WESTMIN,1,,2.0,4.0,1.0,10.0,-39.0,Run,Rush,-3.0,Taylor Dobbins,,,,,,,Keegan Glaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
14,Westminster (MO),D,WESTMIN,1,,2.0,5.0,2.0,13.0,-36.0,Pass,Incomplete,0.0,,Wyatt Ellis,Incomplete,D. Clapsaddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
15,Westminster (MO),D,WESTMIN,1,,2.0,6.0,3.0,13.0,-36.0,Run,Rush,11.0,Wyatt Ellis,,,,,,,Harris Cravens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:12,1632,0,0,0,3,3,3,,,,,,,
16,Westminster (MO),K,WESTMIN,1,,,,4.0,2.0,-47.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Tim Branneky,30.0,23.0,,,,,,,,,,,True,,,,12:12,1632,0,0,0,3,3,3,Not found,SEWANEE,,Not found,WESTMIN,,
