PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Hendrix,K,SEWANEE,1,,,,,,,KO,Return,,,,,,,,,,,True,Kanyn Utley,,HENDRIX,Anthony Johnson,Kanyn Utley,0,26.0,Brody Palmer,39.0,26.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Hendrix,D,HENDRIX,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,8.0,Anthony Johnson,,,,,,,Jacob Jackson,Keegan Glaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Hendrix,D,HENDRIX,1,,1.0,2.0,2.0,2.0,-36.0,Run,Rush,9.0,Anthony Johnson,,,,,,,Jacob Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Hendrix,D,HENDRIX,1,,1.0,3.0,1.0,10.0,-45.0,Run,Rush,3.0,Anthony Johnson,,,,,,,Jacob Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Hendrix,D,HENDRIX,1,,1.0,4.0,2.0,7.0,-48.0,Pass,Complete,6.0,,Hunter Holden,Complete,Chris Childress,,,,Joseph Conwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Hendrix,D,HENDRIX,1,,1.0,5.0,3.0,1.0,46.0,Run,Rush,5.0,Anthony Johnson,,,,,,,Henry Proctor,Z. Swafford,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Hendrix,D,HENDRIX,1,,1.0,6.0,1.0,10.0,41.0,Run,Rush,29.0,Rayfield Conley,,,,,,,Kason Holder,Keegan Glaze,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Hendrix,D,HENDRIX,1,,1.0,7.0,1.0,10.0,12.0,Run,Rush,-1.0,Rayfield Conley,,,,,,,Mason Ware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Hendrix,D,HENDRIX,1,,1.0,8.0,2.0,11.0,13.0,Pass,Complete,13.0,,Hunter Holden,Complete,Colton Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Hendrix,K,HENDRIX,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bennett Ellis,,,Good,,,,,,,,,11:42,1602,6,0,-6,3,3,3,,,,,,,
