PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Crown (MN),K,CSS,1,,,,,,,,KO,Return,,,,,,,,,,,,Ian Strusz,,,,,,,Devaughn Batain,14,28.0,Jacob Andrews,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Crown (MN),D,CRO,1,,1.0,1.0,0.0,10.0,-28.0,Gold Zone,Pass,Sack,-6.0,,,Elijah Odom,,,Sack,,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
3,Crown (MN),D,CRO,1,,1.0,2.0,2.0,16.0,-22.0,Coming Out,Pass,Incomplete,0.0,,,Elijah Odom,short,left,Incomplete,Isaiah Anfield,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
4,Crown (MN),D,CRO,1,,1.0,3.0,3.0,16.0,-22.0,Coming Out,Pass,Incomplete,0.0,,,Elijah Odom,short,middle,Incomplete,Robert Mabra,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:57,1557,0,0,0,3,3,3,,,,,,,
5,Crown (MN),K,CRO,1,,,,4.0,16.0,-22.0,Coming Out,Punt Rec,,,,,,,,,,,,,10:57,,,,,,,,,,,,,,,,32.0,46.0,,,,,,,,,,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
6,Crown (MN),O,CSS,1,,1.0,1.0,0.0,10.0,-46.0,Go Zone,Pass,Complete,10.0,,,Donald West,short,left,Complete,Nick Schlender,,,,14:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,10:57,1557,0,0,0,3,3,3,Holding,CSS,Monty Wilson,,,,10.0
7,Crown (MN),O,CSS,1,,1.0,2.0,1.0,20.0,-36.0,Gold Zone,Run,Rush,6.0,Donald West,right,,,,,,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:05,1745,0,0,0,3,3,3,,,,,,,
8,Crown (MN),O,CSS,1,,1.0,3.0,2.0,14.0,-42.0,Gold Zone,Pass,Complete,16.0,,,Donald West,deep,middle,Complete,Nick Schlender,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
9,Crown (MN),O,CSS,1,,1.0,4.0,1.0,10.0,42.0,Go Zone,Run,Rush,5.0,Nick Schlender,middle,,,,,,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
10,Crown (MN),O,CSS,1,,1.0,5.0,1.0,10.0,32.0,Take A Shot,Pass,Complete,5.0,,,Donald West,short,right,Complete,Benjamin Hunter,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
11,Crown (MN),O,CSS,1,,1.0,6.0,2.0,5.0,27.0,Take A Shot,Run,Rush,4.0,Nick Schlender,middle,,,,,,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,0,0,3,3,3,,,,,,,
12,Crown (MN),O,CSS,1,,1.0,7.0,3.0,1.0,23.0,Take A Shot,Run,Rush,23.0,Ashton Hain,middle,,,,,,,,,11:36,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,10:57,1557,0,0,0,3,3,3,,,,,,,
13,Crown (MN),K,CSS,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,Donald H: West,,,,,,,,,,,,,,,,,,,,Kyle Oswald,,,Good,,,,,,,,,11:36,1596,6,0,6,3,3,3,,,,,,,
14,Crown (MN),K,CSS,1,,,,1.0,10.0,-35.0,Gold Zone,KO,Return,,,,,,,,,,,,John Bonner,,,,,,,Devaughn Batain,12,20.0,Jacob Andrews,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,11:36,1596,7,0,7,3,3,3,,,,,,,
15,Crown (MN),D,CRO,1,,2.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,8.0,Josh Wallace,middle,,,,,,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,7,7,3,3,3,,,,,,,
16,Crown (MN),D,CRO,1,,2.0,2.0,2.0,2.0,-28.0,Gold Zone,Run,Rush,1.0,Elijah Odom,middle,,,,,,,,,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,7,7,3,3,3,,,,,,,
17,Crown (MN),D,CRO,1,,2.0,3.0,3.0,1.0,-29.0,Gold Zone,Run,Rush,2.0,Josh Wallace,right,,,,,,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:00,1560,0,7,7,3,3,3,,,,,,,
18,Crown (MN),D,CRO,1,,2.0,4.0,1.0,10.0,-31.0,Gold Zone,Pass,Complete,3.0,,,Elijah Odom,short,right,Complete,Isaiah Anfield,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,7,7,3,3,3,,,,,,,
19,Crown (MN),D,CRO,1,,2.0,5.0,2.0,7.0,-34.0,Gold Zone,Pass,Complete,46.0,,,Isaiah Anfield,deep,right,Complete,Terry Warner,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,10:57,1557,0,7,7,3,3,3,UNR: Unnecessary Roughness,CRO,Elisha Green,,,,20.0
20,Crown (MN),D,CRO,1,,2.0,6.0,2.0,27.0,-14.0,Coming Out,Run,Rush,11.0,Elijah Odom,left,,,,,,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,0,7,7,3,3,3,,,,,,,
21,Crown (MN),D,CRO,1,,2.0,7.0,3.0,16.0,-25.0,Coming Out,Pass,Incomplete,0.0,,,Elijah Odom,short,right,Incomplete,Demetri Money,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:57,1557,0,7,7,3,3,3,,,,,,,
22,Crown (MN),K,CRO,1,,,,4.0,16.0,-25.0,Coming Out,Punt Rec,,,,,,,,,,,,,10:57,,,,,,,,,,,,,,,,42.0,33.0,,,,,,,,,,,,,,,10:57,1557,0,7,7,3,3,3,,,,,,,
23,Crown (MN),O,CSS,1,,2.0,1.0,0.0,10.0,-33.0,Gold Zone,Pass,Complete,2.0,,,Donald West,short,left,Complete,Benjamin Hunter,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,7,0,7,3,3,3,,,,,,,
24,Crown (MN),O,CSS,1,,2.0,2.0,2.0,8.0,-35.0,Gold Zone,Run,Rush,1.0,Nick Schlender,middle,,,,,,,,,08:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,7,0,7,3,3,3,,,,,,,
25,Crown (MN),O,CSS,1,,2.0,3.0,3.0,7.0,-36.0,Gold Zone,Pass,Incomplete,0.0,,,Donald West,short,right,Incomplete,RIcky Weber,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,08:33,1413,7,0,7,3,3,3,Pass Interference,CRO,Logan Disabella,,,,15.0
26,Crown (MN),O,CSS,1,,2.0,4.0,1.0,10.0,49.0,Go Zone,Run,Rush,12.0,Nick Schlender,left,,,,,,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:57,1557,7,0,7,3,3,3,,,,,,,
27,Crown (MN),O,CSS,1,,2.0,5.0,1.0,10.0,37.0,Go Zone,Run,Rush,3.0,Nick Schlender,middle,,,,,,,,,07:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,1557,7,0,7,3,3,3,,,,,,,
