PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Franklin & Marsh,K,FMC,1,,,,,,,KO Ret,Return,,,,,,,,,Jacob Hille,Will Higson,,,,,,Keith Green,14,17.0,Jack Rodenberge,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Franklin & Marsh,O,SUS,1,,1.0,1.0,0.0,10.0,-17.0,Run,Rush,2.0,Frankie Negrini,,,,,,,Peyton Snopek,Jake Perloski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Franklin & Marsh,O,SUS,1,,1.0,2.0,2.0,8.0,-19.0,Pass,Complete,8.0,,Michael Ruisch,Complete,Eddie Nugent,,,,Luke Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Franklin & Marsh,O,SUS,1,,1.0,3.0,1.0,10.0,-27.0,Pass,Complete,22.0,,Michael Ruisch,Complete,Samuel Darrell,,,,Dan DiBeneditto,Jacob Hille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Franklin & Marsh,O,SUS,1,,1.0,4.0,1.0,10.0,-49.0,Pass,Complete,7.0,,Michael Ruisch,Complete,Michael Lefever,,,,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Franklin & Marsh,O,SUS,1,,1.0,5.0,2.0,3.0,44.0,Pass,Complete,9.0,,Michael Ruisch,Complete,Samuel Darrell,,,,Dan DiBeneditto,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Franklin & Marsh,O,SUS,1,,1.0,6.0,1.0,10.0,35.0,Pass,Complete,29.0,,Michael Ruisch,Complete,Kyle Good,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Franklin & Marsh,O,SUS,1,,1.0,7.0,1.0,6.0,6.0,Run,Rush,-3.0,Frankie Negrini,,,,,,,Calvin Krippner,James Gilmartin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Franklin & Marsh,O,SUS,1,,1.0,8.0,2.0,9.0,9.0,Run,Rush,2.0,Frankie Negrini,,,,,,,Calvin Krippner,Jack O'Hearen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Franklin & Marsh,O,SUS,1,,1.0,9.0,3.0,7.0,7.0,Pass,Interception,0.0,,Michael Ruisch,Interception,,,Peter Orio,,,,,,,,,Peter Orio,1,2.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Franklin & Marsh,D,FMC,1,,1.0,1.0,0.0,10.0,-3.0,Run,Rush,1.0,Jermaine Conyer,,,,,,,Cameron Noble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:58,1498,0,0,0,3,3,3,,,,,,,
12,Franklin & Marsh,D,FMC,1,,1.0,2.0,2.0,9.0,-4.0,Run,Rush,1.0,Jermaine Conyer,,,,,,,Brendan Krumenacker,Riley Gaughan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:58,1498,0,0,0,3,3,3,,,,,,,
13,Franklin & Marsh,D,FMC,1,,1.0,3.0,3.0,8.0,-5.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Tim Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:58,1498,0,0,0,3,3,3,,,,,,,
14,Franklin & Marsh,K,FMC,1,,,,4.0,8.0,-5.0,Punt Ret,Return,,,,,,,,,Luke Dauberman,,,,,,,Kyle Good,12,-40.0,,,,,,Jack Rodenberge,47.0,48.0,Return,,,,,,,,,,,,,,09:58,1498,0,0,0,3,3,3,,,,,,,
15,Franklin & Marsh,O,SUS,1,,2.0,1.0,0.0,10.0,40.0,Run,Rush,16.0,Frankie Negrini,,,,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:09,1389,0,0,0,3,3,3,,,,,,,
16,Franklin & Marsh,O,SUS,1,,2.0,2.0,1.0,10.0,24.0,Run,Rush,4.0,Frankie Negrini,,,,,,,Peter Orio,James Gilmartin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:09,1389,0,0,0,3,3,3,,,,,,,
17,Franklin & Marsh,,SUS,1,,,,2.0,6.0,20.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:09,1389,0,0,0,3,3,3,false start,SUS,Cole Spencer,,,,5.0
18,Franklin & Marsh,O,SUS,1,,2.0,3.0,2.0,11.0,25.0,Pass,Incomplete,0.0,,Michael Ruisch,Incomplete,Eddie Nugent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:09,1389,0,0,0,3,3,3,,,,,,,
19,Franklin & Marsh,O,SUS,1,,2.0,4.0,3.0,11.0,25.0,Pass,Incomplete,0.0,,Michael Ruisch,Incomplete,Eddie Nugent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,08:09,1389,0,0,0,3,3,3,,,,,,,
20,Franklin & Marsh,K,SUS,1,,,,4.0,11.0,25.0,FG,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elijah Hoffman,42.0,No Good,,,,,,,,,,08:09,1389,0,0,0,3,3,3,sideline interference,FMC,,,,,0.0
21,Franklin & Marsh,D,FMC,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Jack O'Hearen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:26,1286,0,0,0,3,3,3,,,,,,,
22,Franklin & Marsh,D,FMC,1,,2.0,2.0,2.0,10.0,-25.0,Run,Rush,2.0,Jermaine Conyer,,,,,,,Anthony Scicchitano,Riley Gaughan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:26,1286,0,0,0,3,3,3,,,,,,,
23,Franklin & Marsh,,FMC,1,,,,3.0,8.0,-27.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin & Marsh,,,,,,,06:26,1286,0,0,0,3,3,3,,,,,,,
24,Franklin & Marsh,D,FMC,1,,2.0,3.0,3.0,8.0,-27.0,Pass,Complete,4.0,,Logan Clouse,Complete,Tyler Caso,,,,Aaron Beverly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,05:41,1241,0,0,0,3,2,3,,,,,,,
25,Franklin & Marsh,K,FMC,1,,,,4.0,4.0,-31.0,Punt Ret,Return,,,,,,,,,Luke Dauberman,,,,,,,Kyle Good,6,29.0,,,,,,Jack Rodenberge,46.0,23.0,Return,,,,,,,,,,,,,,05:41,1241,0,0,0,3,2,3,,,,,,,
26,Franklin & Marsh,O,SUS,1,,3.0,1.0,0.0,10.0,-29.0,Run,Rush,11.0,Kyle Good,,,,,,,Manny Quiles,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:47,1187,0,0,0,3,3,2,,,,,,,
27,Franklin & Marsh,O,SUS,1,,3.0,2.0,1.0,10.0,-40.0,Run,Rush,3.0,Frankie Negrini,,,,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:47,1187,0,0,0,3,3,2,,,,,,,
28,Franklin & Marsh,O,SUS,1,,3.0,3.0,2.0,7.0,-43.0,Pass,Complete,6.0,,Michael Ruisch,Complete,Michael Lefever,,,,Manny Quiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,04:47,1187,0,0,0,3,3,2,holding,SUS,,,,,7.0
