PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lycoming,K,LYCO,1,,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,,,,Ian Plankenhorn,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lycoming,O,SUSQU,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,5.0,Frankie Negrini,,,,,,,,,,Stephon Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Lycoming,O,SUSQU,1,,1.0,2.0,2.0,5.0,-30.0,Gold Zone,Pass,Complete,18.0,,,Michael Ruisch,,,Complete,Michael Lefever,,,,Emmanuel Assifo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Lycoming,O,SUSQU,1,,1.0,3.0,1.0,10.0,-48.0,Go Zone,Run,Rush,8.0,Frankie Negrini,,,,,,,,,,Emmanuel Assifo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Lycoming,O,SUSQU,1,,1.0,4.0,2.0,2.0,44.0,Go Zone,Pass,Complete,19.0,,,Michael Ruisch,,,Complete,Michael Lefever,,,,Hunter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Lycoming,,SUSQU,1,,,,1.0,10.0,25.0,Take A Shot,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,OFF,LYCO,,,,,5.0
7,Lycoming,O,SUSQU,1,,1.0,5.0,1.0,5.0,20.0,Red Zone High,Run,Rush,9.0,Frankie Negrini,,,,,,,,,,Stephon Payne,Hunter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Lycoming,O,SUSQU,1,,1.0,6.0,1.0,10.0,11.0,Red Zone,Run,Rush,0.0,Frankie Negrini,,,,,,,,,,Cole Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Lycoming,O,SUSQU,1,,1.0,7.0,2.0,10.0,11.0,Red Zone,Run,Rush,8.0,Frankie Negrini,,,,,,,,,,Kevin Gianoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Lycoming,O,SUSQU,1,,1.0,8.0,3.0,2.0,3.0,Red Zone Low,Pass,Complete,3.0,,,Michael Ruisch,,,Complete,Michael Lefever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Lycoming,K,SUSQU,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elijah Hoffman,,,Good,,,,,,,,,12:25,1645,6,0,6,3,3,3,,,,,,,
12,Lycoming,K,SUSQU,1,,,,1.0,-35.0,-35.0,Gold Zone,KO,Return,,,,,,,,,,,,Craig Lyttleton,,,,,,,Will Fish,20,32.0,Elijah Hoffman,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,12:25,1645,7,0,7,3,3,3,,,,,,,
13,Lycoming,D,LYCO,1,,1.0,1.0,0.0,10.0,-32.0,Gold Zone,Pass,Incomplete,0.0,,,Elijah Shemory,,,Incomplete,Brandon Timothy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
14,Lycoming,D,LYCO,1,,1.0,2.0,2.0,10.0,-32.0,Gold Zone,Run,Rush,3.0,Heath Jones,,,,,,,,,,John Nicosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
15,Lycoming,D,LYCO,1,,1.0,3.0,3.0,7.0,-35.0,Gold Zone,Pass,Sack,-2.0,,,Elijah Shemory,,,Sack,,,,,Tim Pherson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:15,1635,0,7,7,3,3,3,,,,,,,
16,Lycoming,K,LYCO,1,,,,4.0,9.0,-33.0,Gold Zone,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Coe,50.0,17.0,Out of bounds,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
