PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Abilene Christian,K,TARLETON,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Adrian Guzman,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Abilene Christian,D,ACU,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,-2.0,Tyrese White,,,,,,,C. Thibodeaux,S. Walton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Abilene Christian,D,ACU,1,,1.0,2.0,2.0,12.0,-23.0,Pass,Complete,0.0,,Peyton Mansell,Complete,Anthony Smith,,,,S. Walton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Abilene Christian,D,ACU,1,,1.0,3.0,3.0,12.0,-23.0,Pass,Complete,12.0,,Peyton Mansell,Complete,Kobe Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Abilene Christian,D,ACU,1,,1.0,4.0,1.0,10.0,-35.0,Pass,Complete,0.0,,Peyton Mansell,Complete,Davion Johnson,,,,M. Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Abilene Christian,D,ACU,1,,1.0,5.0,2.0,10.0,-35.0,Pass,Complete,1.0,,Peyton Mansell,Complete,Kobe Clark,,,,J. Carr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Abilene Christian,D,ACU,1,,1.0,6.0,3.0,9.0,-36.0,Pass,Incomplete,0.0,,Peyton Mansell,Incomplete,Kobe Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Abilene Christian,K,ACU,1,,,,4.0,9.0,-36.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Logan Burke,50.0,14.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Abilene Christian,O,TARLETON,1,,1.0,1.0,0.0,10.0,-14.0,Run,Rush,6.0,,,,,,,,Quent Titre,Brian Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:53,1613,0,0,0,3,3,3,,,,,,,
10,Abilene Christian,O,TARLETON,1,,1.0,2.0,2.0,4.0,-20.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:53,1613,0,0,0,3,3,3,,,,,,,
