PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wash. & Jeff.,K,WJC,1,,,,,,,KO Rec,,,,,,,,,,,,True,,,WJC,Jack Ryan,,,,Jaiso Mikelonis,60.0,5.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wash. & Jeff.,D,WJC,1,,1.0,1.0,0.0,10.0,22.0,Pass,Complete,22.0,,,Complete,Payton Skalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:50,1790,0,0,0,3,3,3,,,,,,,
3,Wash. & Jeff.,K,WJC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Disbrow,,,Good,,,,,,,,,14:31,1771,6,0,-6,3,3,3,,,,,,,
4,Wash. & Jeff.,K,WJC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Alan Snyder,,,,,,,Andre Rodgers,21,26.0,Jaiso Mikelonis,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,14:31,1771,7,0,-7,3,3,3,,,,,,,
5,Wash. & Jeff.,O,THI,1,,1.0,1.0,0.0,10.0,-26.0,Run,Rush,1.0,Deon Logan,,,,,,,Will Paczkoskie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:23,1763,0,7,-7,3,3,3,,,,,,,
6,Wash. & Jeff.,O,THI,1,,1.0,2.0,2.0,9.0,-27.0,Run,Rush,5.0,Marlon Brown,,,,,,,Sean Doran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:23,1763,0,7,-7,3,3,3,,,,,,,
7,Wash. & Jeff.,O,THI,1,,1.0,3.0,3.0,4.0,-32.0,Run,Rush,7.0,Deon Logan,,,,,,,Drew Ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:23,1763,0,7,-7,3,3,3,,,,,,,
8,Wash. & Jeff.,O,THI,1,,1.0,4.0,1.0,10.0,-39.0,Run,Rush,-4.0,Deon Logan,,,,,,,Delont Nunnally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:23,1763,0,7,-7,3,3,3,,,,,,,
9,Wash. & Jeff.,O,THI,1,,1.0,5.0,2.0,14.0,-35.0,Run,Rush,-1.0,Marlon Brown,,,,,,,Alex Bellinotti,Elijah Goosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:23,1763,0,7,-7,3,3,3,,,,,,,
10,Wash. & Jeff.,O,THI,1,,1.0,6.0,3.0,15.0,-34.0,Pass,Complete,1.0,,Brown LE,Complete,Jake Reddick,,,,Jason Hersh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:23,1763,0,7,-7,3,3,3,,,,,,,
11,Wash. & Jeff.,K,THI,1,,,,4.0,14.0,-35.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Jake Reddick,26.0,39.0,,,,,,,,,,,,,,,14:23,1763,0,7,-7,3,3,3,,,,,,,
12,Wash. & Jeff.,D,WJC,1,,2.0,1.0,0.0,10.0,-39.0,Pass,Complete,14.0,,,Complete,Justin Huss,,,,Randall Miller,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:08,1508,7,0,-7,3,3,3,,,,,,,
13,Wash. & Jeff.,D,WJC,1,,2.0,2.0,1.0,10.0,47.0,Run,Rush,6.0,Joey Koroly,,,,,,,Jarren Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,7,0,-7,3,3,3,,,,,,,
14,Wash. & Jeff.,D,WJC,1,,2.0,3.0,2.0,4.0,41.0,Run,Rush,6.0,Joey Koroly,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:08,1508,7,0,-7,3,3,3,,,,,,,
15,Wash. & Jeff.,D,WJC,1,,2.0,4.0,1.0,10.0,35.0,Pass,Complete,7.0,,,Complete,Cameron O'Brien,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,7,0,-7,3,3,3,,,,,,,
16,Wash. & Jeff.,D,WJC,1,,2.0,5.0,2.0,3.0,28.0,Run,Rush,10.0,Joey Koroly,,,,,,,Joe Stoutamire,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:08,1508,7,0,-7,3,3,3,,,,,,,
17,Wash. & Jeff.,D,WJC,1,,2.0,6.0,1.0,10.0,18.0,Pass,Complete,10.0,,,Complete,Payton Skalos,,,,Randall Miller,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:08,1508,7,0,-7,3,3,3,,,,,,,
18,Wash. & Jeff.,D,WJC,1,,2.0,7.0,1.0,8.0,8.0,Run,Rush,8.0,Joey Koroly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,10:08,1508,7,0,-7,3,3,3,,,,,,,
19,Wash. & Jeff.,K,WJC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Disbrow,,,Good,,,,,,,,,07:54,1374,13,0,-13,3,3,3,,,,,,,
20,Wash. & Jeff.,K,WJC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Jason Hersh,,,,,,,Andre Rodgers,20,28.0,Jaiso Mikelonis,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,07:54,1374,14,0,-14,3,3,3,,,,,,,
21,Wash. & Jeff.,,THI,1,,,,1.0,10.0,-28.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:46,1366,0,14,-14,3,3,3,false start,THI,Tyree Orange,,,,5.0
22,Wash. & Jeff.,O,THI,1,,2.0,1.0,0.0,15.0,-23.0,Run,Rush,11.0,Deon Logan,,,,,,,Max Garda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:46,1366,0,14,-14,3,3,3,,,,,,,
23,Wash. & Jeff.,O,THI,1,,2.0,2.0,2.0,4.0,-34.0,Run,Rush,2.0,Marlon Brown,,,,,,,Will Paczkoskie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:46,1366,0,14,-14,3,3,3,,,,,,,
24,Wash. & Jeff.,O,THI,1,,2.0,3.0,3.0,2.0,-36.0,Pass,Complete,6.0,,Brown middle,Complete,Justin Logan,,,,Max Garda,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:46,1366,0,14,-14,3,3,3,,,,,,,
25,Wash. & Jeff.,O,THI,1,,2.0,4.0,1.0,10.0,-42.0,Run,Rush,0.0,Deon Logan,,,,,,,Alex Bellinotti,Sean Doran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:46,1366,0,14,-14,3,3,3,,,,,,,
26,Wash. & Jeff.,O,THI,1,,2.0,5.0,2.0,10.0,-42.0,Pass,Sack,-13.0,,Marlon Brown,Sack,,,,,Alex Keith,,True,Marlon Brown,,WJC,Elijah Goosby,Elijah Goosby,29,-29.0,,,,,,,,,,,,,,,,,,True,,,,TD,07:46,1366,0,14,-14,3,3,3,,,,,,,
27,Wash. & Jeff.,K,WJC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Disbrow,,,Good,,,,,,,,,05:04,1204,20,0,-20,3,3,3,,,,,,,
28,Wash. & Jeff.,K,WJC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Alan Snyder,,,,,,,Andre Rodgers,22,32.0,Jaiso Mikelonis,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,05:04,1204,21,0,-21,3,3,3,,,,,,,
29,Wash. & Jeff.,,THI,1,,,,1.0,10.0,-32.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:59,1199,0,21,-21,3,3,3,false start,THI,Chris Slaven,,,,5.0
30,Wash. & Jeff.,O,THI,1,,3.0,1.0,0.0,15.0,-27.0,Run,Rush,8.0,Deon Logan,,,,,,,Alex Bellinotti,Nick Freiwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:59,1199,0,21,-21,3,3,3,,,,,,,
31,Wash. & Jeff.,O,THI,1,,3.0,2.0,2.0,7.0,-35.0,Run,Rush,2.0,Deon Logan,,,,,,,Alex Bellinotti,Justin Johns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:59,1199,0,21,-21,3,3,3,,,,,,,
32,Wash. & Jeff.,O,THI,1,,3.0,3.0,3.0,5.0,-37.0,Pass,Complete,2.0,,Brown middle,Complete,Justin Logan,,,,Alex Keith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:59,1199,0,21,-21,3,3,3,,,,,,,
33,Wash. & Jeff.,K,THI,1,,,,4.0,3.0,-39.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Jake Reddick,19.0,42.0,,,,,,,,,,,,,,,04:59,1199,0,21,-21,3,3,3,,,,,,,
34,Wash. & Jeff.,D,WJC,1,,3.0,1.0,0.0,10.0,-42.0,Pass,Complete,14.0,,,Complete,Justin Huss,,,,Darnell Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:56,1076,21,0,-21,3,3,3,,,,,,,
35,Wash. & Jeff.,D,WJC,1,,3.0,2.0,1.0,10.0,44.0,Run,Rush,24.0,EJ Thompson,,,,,,,Andrew Plowden,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:56,1076,21,0,-21,3,3,3,,,,,,,
36,Wash. & Jeff.,D,WJC,1,,3.0,3.0,1.0,10.0,20.0,Run,Rush,6.0,EJ Thompson,,,,,,,Jarren Daniels,Philip Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:56,1076,21,0,-21,3,3,3,,,,,,,
37,Wash. & Jeff.,D,WJC,1,,3.0,4.0,2.0,4.0,14.0,Pass,Incomplete,0.0,,,Incomplete,Cameron O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:56,1076,21,0,-21,3,3,3,,,,,,,
38,Wash. & Jeff.,D,WJC,1,,3.0,5.0,3.0,4.0,14.0,Pass,Complete,12.0,,,Complete,TJ Troxell,,,,Darnell Jordan,Philip Robinson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:56,1076,21,0,-21,3,3,3,,,,,,,
39,Wash. & Jeff.,D,WJC,1,,3.0,6.0,1.0,2.0,2.0,Run,Rush,2.0,EJ Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,02:56,1076,21,0,-21,3,3,3,,,,,,,
40,Wash. & Jeff.,K,WJC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Disbrow,,,Good,,,,,,,,,01:01,961,27,0,-27,3,3,3,,,,,,,
41,Wash. & Jeff.,K,WJC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,,,,,,,,Darien Mosley,0,4.0,Jaiso Mikelonis,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,01:01,961,28,0,-28,3,3,3,,,,,,,
42,Wash. & Jeff.,,THI,1,,,,1.0,10.0,-4.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:01,961,0,28,-28,3,3,3,false start,THI,Chris Slaven,,,,2.0
43,Wash. & Jeff.,O,THI,1,,4.0,1.0,0.0,12.0,-2.0,Run,Rush,-2.0,Deon Logan,,,,,,,Keith Knowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,TD,01:01,961,0,28,-28,3,3,3,,,,,,,
44,Wash. & Jeff.,K,THI,1,,,,1.0,-20.0,-20.0,KO,Return,,,,,,,,,,,,,,,,Justin Huss,74,0.0,Hunter Makosky,54.0,26.0,Return,,,,,,,,,,,,,,True,,,,,00:56,956,0,30,-30,3,3,3,,,,,,,
45,Wash. & Jeff.,K,WJC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Disbrow,,,Good,,,,,,,,,00:44,944,30,0,-36,3,3,3,,,,,,,
46,Wash. & Jeff.,K,WJC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Jason Hersh,Jack Ryan,,,,,,Darnell Jordan,14,18.0,Jaiso Mikelonis,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,00:44,944,31,0,-31,3,3,3,,,,,,,
47,Wash. & Jeff.,O,THI,1,,5.0,1.0,0.0,10.0,-18.0,Pass,Complete,9.0,,Kovalyak middle,Complete,Justin Logan,,,,Tanner Volpatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:38,938,0,37,-31,3,3,3,,,,,,,
48,Wash. & Jeff.,O,THI,2,,5.0,2.0,2.0,1.0,-27.0,Run,Rush,-3.0,Deon Logan,,,,,,,Will Paczkoskie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,37,-31,3,3,3,,,,,,,
49,Wash. & Jeff.,O,THI,2,,5.0,3.0,3.0,4.0,-24.0,Pass,Incomplete,0.0,,Kovalyak LE,Incomplete,Jake Reddick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,900,0,37,-31,3,3,3,,,,,,,
