PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bethany,K,BET,1,,,,,,,KO Ret,Return,,,,,,,,,D. Gilbert Jr,,,,,,,Darien Mosley,12,28.0,Sean Cole,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Bethany,O,THI,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,-4.0,Tyler Maddox,,,,,,,C. Longmire Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Bethany,O,THI,1,,1.0,2.0,2.0,14.0,-24.0,Run,Rush,4.0,A. Kovalyak,,,,,,,Rondell Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Bethany,O,THI,1,,1.0,3.0,3.0,10.0,-28.0,Run,Rush,4.0,A. Kovalyak,,,,,,,Brennon Smith,Shawn Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Bethany,K,THI,1,,,,4.0,6.0,-32.0,Punt,Return,,,,,,,,,Austin Huebner,A. Anderson,,,,,,D. McWhorter,5,41.0,,,,,,Jake Reddick,32.0,36.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,illegal block,BET,Joshua Brown,,,,10.0
6,Bethany,D,BET,1,,1.0,1.0,0.0,10.0,-31.0,Run,Rush,4.0,Colton Stoneman,,,,,,,Luke Faber,Donovan Lindsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43,1663,0,0,0,3,3,3,,,,,,,
7,Bethany,D,BET,1,,1.0,2.0,2.0,6.0,-35.0,Pass,Complete,10.0,,Dom Salinetro,Complete,Rob Taylor,,,,Darnell Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:43,1663,0,0,0,3,3,3,,,,,,,
8,Bethany,D,BET,1,,1.0,3.0,1.0,10.0,-45.0,Pass,Complete,7.0,,Dom Salinetro,Complete,Rob Taylor,,,,Darnell Jordan,Malik Beckford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43,1663,0,0,0,3,3,3,,,,,,,
9,Bethany,D,BET,1,,1.0,4.0,2.0,3.0,48.0,Run,Rush,-2.0,D. McWhorter,,,,,,,Joe Stoutamire,Jarren Daniels,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:43,1663,0,0,0,3,3,3,face mask,THI,Joe Stoutamire,,,,16.0
10,Bethany,D,BET,1,,1.0,5.0,1.0,10.0,34.0,Pass,Complete,10.0,,Dom Salinetro,Complete,Brennan Secrist,,,,Darien Mosley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:43,1663,0,0,0,3,3,3,,,,,,,
11,Bethany,D,BET,1,,1.0,6.0,1.0,10.0,24.0,Run,Rush,3.0,Dom Salinetro,,,,,,,Luke Faber,D. Knierman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43,1663,0,0,0,3,3,3,,,,,,,
