PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Carnegie Mellon,K,CMU,1,,,,,,,KO Ret,Return,,,,,,,,,Logan Young,,,,,,,Andre Rodgers,23,34.0,Arjun Zutshi,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Carnegie Mellon,O,THI,1,,1.0,1.0,0.0,10.0,-34.0,Pass,Complete,3.0,,A. Kovalyak,Complete,Austin Huebner,,,,Sean Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Carnegie Mellon,O,THI,1,,1.0,2.0,2.0,7.0,-37.0,Run,Rush,10.0,Deon Logan,,,,,,,Nick Cizik,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Carnegie Mellon,O,THI,1,,1.0,3.0,1.0,10.0,-47.0,Run,Rush,-7.0,Deon Logan,,,,,,,Robert Coury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Carnegie Mellon,O,THI,1,,1.0,4.0,2.0,17.0,-40.0,Pass,Incomplete,0.0,,A. Kovalyak,Incomplete,Justin Logan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Carnegie Mellon,O,THI,1,,1.0,5.0,3.0,17.0,-40.0,Pass,Interception,0.0,,A. Kovalyak,Interception,,,Aryan Hegde,,Donnovan Blue,,,,,,,Aryan Hegde,2,47.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Carnegie Mellon,D,CMU,1,,1.0,1.0,0.0,10.0,-49.0,Run,Rush,3.0,Tre Vasiliadis,,,,,,,Luke Faber,Hunter Knapczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:53,1673,0,0,0,3,3,3,,,,,,,
8,Carnegie Mellon,D,CMU,1,,1.0,2.0,2.0,7.0,48.0,Pass,Complete,48.0,,Ben Mills,Complete,Kris Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,12:53,1673,0,0,0,3,3,3,,,,,,,
9,Carnegie Mellon,K,CMU,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arjun Zutshi,,,Good,,,,,,,,,12:12,1632,6,0,-6,3,3,3,,,,,,,
10,Carnegie Mellon,K,CMU,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,N. Pitsenberger,Kevin Cooke,,,,,,Andre Rodgers,11,27.0,Arjun Zutshi,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,12:12,1632,7,0,-7,3,3,3,,,,,,,
