PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Trinity (Conn.),K,TUFTS,1,,,,,,,,KO,Fair Catch,,,,,,,,,,,,,,,,,,,,,,Patrick Walsh,57.0,3.0,Fair Catch,,,,,,,,,,,,,,,,,,open_kick,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Trinity (Conn.),D,TRINITY,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Pass,Complete,22.0,,,Spencer Fetter,,,Complete,Thomas Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Trinity (Conn.),D,TRINITY,1,,1.0,2.0,1.0,10.0,-47.0,Go Zone,Run,Rush,53.0,William Kirby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Trinity (Conn.),K,TRINITY,1,,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew Jumes,,,Good,,,,,,,,,14:14,1754,6,0,-6,3,3,3,,,,,,,
5,Trinity (Conn.),K,TRINITY,1,,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,,,,Hampton Trout,60.0,0.0,,,,,,,,,,,,,,,,,,,,14:14,1754,7,0,-7,3,3,3,,,,,,,
6,Trinity (Conn.),O,TUFTS,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Pass,Incomplete,0.0,,,Michael Berluti,,,Incomplete,Phil Lutz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:14,1754,0,7,-7,3,3,3,,,,,,,
7,Trinity (Conn.),O,TUFTS,1,,1.0,2.0,2.0,10.0,-25.0,Coming Out,Run,Rush,4.0,Tyler Johnson,,,,,,,,,,William Crowley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:14,1754,0,7,-7,3,3,3,,,,,,,
8,Trinity (Conn.),O,TUFTS,1,,1.0,3.0,3.0,6.0,-29.0,Gold Zone,Pass,Complete,2.0,,,Michael Berluti,,,Complete,Tyler Johnson,,,,William Crowley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:14,1754,0,7,-7,3,3,3,,,,,,,
9,Trinity (Conn.),O,TUFTS,1,,1.0,4.0,4.0,4.0,-31.0,Gold Zone,Run,Rush,-31.0,,,,,,,,,,,,,True,TEAM,,TUFTS,Michael Berluti,,,,,,,,,,,,,,,,,,,,,,,,True,Safety,14:14,1754,0,7,-7,3,3,3,,,,,,,
10,Trinity (Conn.),K,TUFTS,1,,,,,,,,KO,Return,,,,,,,,,,,,Kristian Rosario,,,,,,,Tyler DiNapoli,14,35.0,Patrick Walsh,39.0,21.0,Return,,,,,,,,,,,,,,,,,,,12:43,1663,0,9,-9,3,3,3,,,,,,,
