PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Grand Valley State,K,UWL,1,,,,,,,KO,Return,,,,,,,,,Elijah Alt,,,,,,,Jack Provencher,12,27.0,Ryan Beirne,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Grand Valley State,D,GV,1,,1.0,1.0,0.0,10.0,-27.0,Run,Rush,2.0,Tariq Reid,,,,,,,Elijah Alt,Jack Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Grand Valley State,D,GV,1,,1.0,2.0,2.0,8.0,-29.0,Pass,Complete,42.0,,Cade Peterson,Complete,Hunter Rison,,,,Max Brower,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Grand Valley State,D,GV,1,,1.0,3.0,1.0,10.0,29.0,Run,Rush,7.0,Tariq Reid,,,,,,,Jack Kelly,Elijah Alt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Grand Valley State,D,GV,1,,1.0,4.0,2.0,3.0,22.0,Pass,Complete,7.0,,Cade Peterson,Complete,Darrell Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Grand Valley State,D,GV,1,,1.0,5.0,1.0,10.0,15.0,Pass,Complete,11.0,,Cade Peterson,Complete,Scott Cooper,,,,Ryan Daines,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Grand Valley State,D,GV,1,,1.0,6.0,1.0,4.0,4.0,Run,Rush,0.0,Tariq Reid,,,,,,,Elijah Alt,Trevar Helland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Grand Valley State,D,GV,1,,1.0,7.0,2.0,4.0,4.0,Run,Rush,2.0,Tariq Reid,,,,,,,Reis Jesko,AJ Spychala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Grand Valley State,D,GV,1,,1.0,8.0,3.0,2.0,2.0,Run,Rush,2.0,Tariq Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Grand Valley State,K,GV,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Gorball,,,Good,,,,,,,,,11:00,1560,6,0,-6,3,3,3,,,,,,,
11,Grand Valley State,K,GV,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Kyle Nott,B. Young-Walls,,,,,,Jake Simuncak,14,18.0,Josh Gorball,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,11:00,1560,7,0,-7,3,3,3,,,,,,,
12,Grand Valley State,O,UWL,1,,1.0,1.0,0.0,10.0,-18.0,Pass,Complete,8.0,,Jakob Parks,Complete,Will Josten,,,,Antonio Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
13,Grand Valley State,O,UWL,1,,1.0,2.0,2.0,2.0,-26.0,Run,Rush,0.0,Joey Stutzman,,,,,,,Dennis Johnson,Jake Hlava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
14,Grand Valley State,O,UWL,1,,1.0,3.0,3.0,2.0,-26.0,Run,Rush,3.0,Joey Stutzman,,,,,,,Jake Hlava,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
15,Grand Valley State,O,UWL,1,,1.0,4.0,1.0,10.0,-29.0,Pass,Complete,8.0,,Jakob Parks,Complete,Dustin Schultz,,,,Antonio Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
16,Grand Valley State,O,UWL,1,,1.0,5.0,2.0,2.0,-37.0,Run,Rush,0.0,Joey Stutzman,,,,,,,Brendann Brown,X. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
17,Grand Valley State,O,UWL,1,,1.0,6.0,3.0,2.0,-37.0,Pass,Incomplete,0.0,,Jakob Parks,Incomplete,Jake Simuncak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:00,1560,0,7,-7,3,3,3,,,,,,,
18,Grand Valley State,K,UWL,1,,,,4.0,2.0,-37.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Sean Parker,38.0,25.0,Fair Catch,,,,,,,,,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
19,Grand Valley State,D,GV,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Interception,0.0,,Cade Peterson,Interception,,,Elijah Alt,,,,,,,,,Elijah Alt,0,46.0,,,,,,,,,,,,,,,,,,,,,,Interception,07:48,1368,7,0,-7,3,3,3,,,,,,,
20,Grand Valley State,O,UWL,1,,2.0,1.0,0.0,10.0,-46.0,Pass,Incomplete,0.0,,Jakob Parks,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:39,1359,0,7,-7,3,3,3,,,,,,,
21,Grand Valley State,O,UWL,1,,2.0,2.0,2.0,10.0,-46.0,Run,Rush,2.0,Joey Stutzman,,,,,,,Antonio Strong,Seth Hoonhorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:39,1359,0,7,-7,3,3,3,,,,,,,
22,Grand Valley State,O,UWL,1,,2.0,3.0,3.0,8.0,-48.0,Pass,Complete,16.0,,Jakob Parks,Complete,Jack Studer,,,,Abe Swanson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:39,1359,0,7,-7,3,3,3,,,,,,,
23,Grand Valley State,O,UWL,1,,2.0,4.0,1.0,10.0,36.0,Pass,Complete,3.0,,Jakob Parks,Complete,Jack Studer,,,,Antonio Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:39,1359,0,7,-7,3,3,3,,,,,,,
24,Grand Valley State,O,UWL,1,,2.0,5.0,2.0,7.0,33.0,Run,Rush,3.0,Joey Stutzman,,,,,,,Abe Swanson,Jack Gilchrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:39,1359,0,7,-7,3,3,3,,,,,,,
25,Grand Valley State,O,UWL,1,,2.0,6.0,3.0,4.0,30.0,Pass,Incomplete,0.0,,Jakob Parks,Incomplete,Brad Tobin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:39,1359,0,7,-7,3,3,3,,,,,,,
26,Grand Valley State,O,UWL,1,,2.0,7.0,4.0,4.0,30.0,Pass,Complete,19.0,,Jakob Parks,Complete,Joey Stutzman,,,,X. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:39,1359,0,7,-7,3,3,3,,,,,,,
27,Grand Valley State,O,UWL,1,,2.0,8.0,1.0,10.0,11.0,Pass,Incomplete,0.0,,Jakob Parks,Incomplete,Brant Bohman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:39,1359,0,7,-7,3,3,3,,,,,,,
28,Grand Valley State,O,UWL,1,,2.0,9.0,2.0,10.0,11.0,Pass,Incomplete,0.0,,Jakob Parks,Incomplete,PENALTY Sorenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,07:39,1359,0,7,-7,3,3,3,pass interference,GV,Jon'Tavous Webb,,,,10.0
29,Grand Valley State,O,UWL,1,,2.0,10.0,1.0,1.0,1.0,Pass,Complete,1.0,,Jakob Parks,Complete,Jake Simuncak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,07:39,1359,0,7,-7,3,3,3,,,,,,,
30,Grand Valley State,K,UWL,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Beirne,,,Good,,,,,,,,,04:40,1180,6,7,-1,3,3,3,,,,,,,
31,Grand Valley State,K,UWL,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Ryan Bartol,Brant Bohman,,,,,,Jacob Miller,17,28.0,Ryan Beirne,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,04:40,1180,7,7,0,3,3,3,,,,,,,
32,Grand Valley State,D,GV,1,,3.0,1.0,0.0,10.0,-28.0,Run,Rush,4.0,A. Cain-Veasey,,,,,,,,,True,A. Cain-Veasey,Elijah Alt,UWL,Elijah Alt,,,-30.0,,,,,,,,,,,,,,,,,,,,,,Fumble,04:40,1180,7,7,0,3,3,3,,,,,,,
33,Grand Valley State,O,UWL,1,,3.0,1.0,0.0,10.0,30.0,Pass,Complete,30.0,,Jakob Parks,Complete,Jake Simuncak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,04:28,1168,7,7,0,3,3,3,,,,,,,
34,Grand Valley State,K,UWL,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Beirne,,,Good,,,,,,,,,04:21,1161,13,7,6,3,3,3,,,,,,,
35,Grand Valley State,K,UWL,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Jake Schara,Brad Tobin,,,,,,Jacob Miller,33,34.0,Ryan Beirne,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,04:21,1161,14,7,7,3,3,3,,,,,,,
36,Grand Valley State,D,GV,1,,4.0,1.0,0.0,10.0,-34.0,Pass,Complete,6.0,,Cade Peterson,Complete,Juwan Johnson,,,,Trevar Helland,Max Brower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:21,1161,7,14,7,3,3,3,,,,,,,
37,Grand Valley State,D,GV,1,,4.0,2.0,2.0,4.0,-40.0,Pass,Complete,1.0,,Cade Peterson,Complete,Juwan Johnson,,,,Cade Osborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:21,1161,7,14,7,3,3,3,,,,,,,
38,Grand Valley State,D,GV,1,,4.0,3.0,3.0,3.0,-41.0,Pass,Incomplete,0.0,,Cade Peterson,Incomplete,Hunter Rison,,,,Max Brower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:21,1161,7,14,7,3,3,3,,,,,,,
39,Grand Valley State,K,GV,1,,,,4.0,3.0,-41.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Josh Gorball,49.0,10.0,Fair Catch,,,,,,,,,,,,,,04:21,1161,7,14,7,3,3,3,,,,,,,
40,Grand Valley State,O,UWL,1,,4.0,1.0,0.0,10.0,-10.0,Run,Rush,9.0,Joey Stutzman,,,,,,,Antonio Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:51,1071,14,7,7,3,3,3,,,,,,,
41,Grand Valley State,O,UWL,1,,4.0,2.0,2.0,1.0,-19.0,Run,Rush,5.0,Joey Stutzman,,,,,,,Damon Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:51,1071,14,7,7,3,3,3,,,,,,,
42,Grand Valley State,O,UWL,1,,4.0,3.0,1.0,10.0,-24.0,Pass,Complete,7.0,,Jakob Parks,Complete,Jake Simuncak,,,,Damonte McCurdy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:51,1071,14,7,7,3,3,3,,,,,,,
43,Grand Valley State,O,UWL,1,,4.0,4.0,2.0,3.0,-31.0,Run,Rush,-1.0,Joey Stutzman,,,,,,,Colton Hyble,Jake Hlava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:51,1071,14,7,7,3,3,3,,,,,,,
