PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bethel (Minn.),K,BET,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,,,,,,,,,20,27.0,David Erickson,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Bethel (Minn.),O,UWP,1,,1.0,1.0,0.0,10.0,-27.0,Gold Zone,Pass,Incomplete,0.0,,,,short,right,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Bethel (Minn.),O,UWP,1,,1.0,2.0,2.0,10.0,-27.0,Gold Zone,Run,Rush,3.0,No Huddle-Shotgun,middle,,,,,,,,,Collin Curtis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,Bethel (Minn.),O,UWP,1,,1.0,3.0,3.0,7.0,-30.0,Gold Zone,Pass,Complete,35.0,,,,deep,left,Complete,Austin for Guy,,,,Kamari Durmas,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Bethel (Minn.),O,UWP,1,,1.0,4.0,1.0,10.0,35.0,Take A Shot,Run,Rush,1.0,Shotgun Habedank,middle,,,,,,,,,Aidan Thomas,Reese Pantila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Bethel (Minn.),O,UWP,1,,1.0,5.0,2.0,9.0,34.0,Take A Shot,Pass,Complete,11.0,,,,deep,right,Complete,Brandt for Stare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
7,Bethel (Minn.),O,UWP,1,,1.0,6.0,1.0,10.0,23.0,Take A Shot,Pass,Complete,11.0,,,,deep,right,Complete,Brandt for Stare,,,,Matthew Feldick,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
8,Bethel (Minn.),O,UWP,1,,1.0,7.0,1.0,10.0,12.0,Red Zone,Pass,Incomplete,0.0,,,,short,right,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
9,Bethel (Minn.),O,UWP,1,,1.0,8.0,2.0,10.0,12.0,Red Zone,Pass,Complete,5.0,,,,short,left,Complete,Austin for Guy,,,,Kamari Durmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
10,Bethel (Minn.),O,UWP,1,,1.0,9.0,3.0,5.0,7.0,Red Zone,Run,Rush,3.0,Shotgun Watters,left,,,,,,,,,Matthew Feldick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,14:55,1795,0,0,0,3,3,3,,,,,,,
11,Bethel (Minn.),K,UWP,1,,,,4.0,2.0,4.0,Red Zone Low,FG,No Good,,,,,,,,,,,,Brady H: Lease,,,,,,,,,,,,,,,,,,,,Andrew field Schweigert,21.0,No Good,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
12,Bethel (Minn.),D,BET,1,,1.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,2.0,Bryce Kunkle,middle,,,,,,,,,Peyton Lind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
13,Bethel (Minn.),D,BET,1,,1.0,2.0,2.0,8.0,-22.0,Coming Out,Pass,Complete,14.0,,,George Bolt,deep,right,Complete,Aaron Ellingson,,,,Samuel Tausz,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
14,Bethel (Minn.),D,BET,1,,1.0,3.0,1.0,10.0,-36.0,Gold Zone,Pass,Incomplete,0.0,,,George Bolt,short,left,Incomplete,Joey Kidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
15,Bethel (Minn.),D,BET,1,,1.0,4.0,2.0,10.0,-36.0,Gold Zone,Run,Rush,3.0,Bryce Kunkle,middle,,,,,,,,,Sam Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
16,Bethel (Minn.),D,BET,1,,1.0,5.0,3.0,7.0,-39.0,Gold Zone,Pass,Incomplete,0.0,,,George Bolt,short,middle,Incomplete,Triston Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:12,1512,0,0,0,3,3,3,,,,,,,
