PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wis.-Stevens Point,K,Sim,1,,,,,,,,KO,Return,,,,,,,,,,,,Mason Ramirez,,,,,,,Brycen Cashin,30,32.0,Micah Baumhoefner,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wis.-Stevens Point,D,WSP,1,,1.0,1.0,0.0,10.0,-32.0,Gold Zone,Run,Rush,4.0,Reed Smith,middle,,,,,,,,,Michael Robinson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Wis.-Stevens Point,D,WSP,1,,1.0,2.0,2.0,6.0,-36.0,Gold Zone,Run,Rush,-1.0,Brycen Cashin,left,,,,,,,,,Wyatt Schaben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Wis.-Stevens Point,D,WSP,1,,1.0,3.0,3.0,7.0,-35.0,Gold Zone,Pass,Incomplete,0.0,,,Trey Schroeder,short,middle,Incomplete,DJ Jacob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Wis.-Stevens Point,K,WSP,1,,,,4.0,7.0,-35.0,Gold Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Carter Unger,37.0,28.0,Fair Catch,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Wis.-Stevens Point,O,Sim,1,,1.0,1.0,0.0,10.0,,,Run,Rush,4.0,Desmond Alexander,middle,,,,,,,,,Cody Trowbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:19,1699,0,0,0,3,3,3,,,,,,,
7,Wis.-Stevens Point,O,Sim,1,,1.0,2.0,2.0,6.0,,,Pass,Incomplete,0.0,,,Hunter Dahlgren,short,right,Incomplete,Hunter Dahlgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:19,1699,0,0,0,3,3,3,,,,,,,
8,Wis.-Stevens Point,O,Sim,1,,1.0,3.0,3.0,6.0,,,Pass,Complete,3.0,,,J III,short,left,Complete,Cameron Jones,,,,Tysen White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:19,1699,0,0,0,3,3,3,,,,,,,
9,Wis.-Stevens Point,K,Sim,1,,,,4.0,3.0,,,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,27.0,Fair Catch,,,,,,,,,,,,,,13:19,1699,0,0,0,3,3,3,,,,,,,
10,Wis.-Stevens Point,D,WSP,1,,2.0,1.0,0.0,10.0,-27.0,Gold Zone,Run,Rush,2.0,Seth Forbes,middle,,,,,,,,,Wyatt Schaben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
11,Wis.-Stevens Point,D,WSP,1,,2.0,2.0,2.0,8.0,-29.0,Gold Zone,Run,Rush,3.0,Brycen Cashin,right,,,,,,,,,Laronte Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
