PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Gust. Adolphus,K,UWS,1,,,,,,,,KO,Return,,,,,,,,,,,,Elton Myhre,,,,,,,Dalton Thelen,19,21.0,Luke Cool,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Gust. Adolphus,D,GAC,1,,1.0,1.0,0.0,10.0,-21.0,Coming Out,Pass,Complete,6.0,,,Daniel Rennie,short,left,Complete,Matthew Kipper,,,,Mason Priebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
3,Gust. Adolphus,D,GAC,1,,1.0,2.0,2.0,4.0,-27.0,Gold Zone,Run,Rush,9.0,David Peal,left,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,Face Mask,GAC,David Peal,,,,15.0
4,Gust. Adolphus,D,GAC,1,,1.0,3.0,2.0,15.0,-16.0,Coming Out,Pass,Complete,20.0,,,Daniel Rennie,deep,right,Complete,Dalton Thelen,,,,Nate Rewald,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
5,Gust. Adolphus,D,GAC,1,,1.0,4.0,1.0,10.0,-36.0,Gold Zone,Pass,Complete,35.0,,,Daniel Rennie,deep,middle,Complete,Jake Breitbach,,,,Nick Arguedas,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
6,Gust. Adolphus,D,GAC,1,,1.0,5.0,1.0,10.0,29.0,Take A Shot,Run,Rush,9.0,Rohee Konde,right,,,,,,,,,Mason Priebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
7,Gust. Adolphus,D,GAC,1,,1.0,6.0,2.0,1.0,20.0,Red Zone High,Pass,Complete,20.0,,,Daniel Rennie,deep,middle,Complete,Ethan Sindelir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:56,1796,0,0,0,3,3,3,,,,,,,
8,Gust. Adolphus,K,GAC,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Blocked,,,,,,,,,,,,Owen H: Casteel,,,,,,,,,,,,,,,,,,,Nathan Williamson,Dmitry McDougle,,,Blocked,,,,,,,,,12:21,1641,6,0,-6,3,3,3,,,,,,,
9,Gust. Adolphus,K,GAC,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,William Hawkins,,,,,,,Arthur Cox,22,36.0,Dmitry McDougle,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,12:21,1641,6,0,-6,3,3,3,,,,,,,
10,Gust. Adolphus,O,UWS,1,,1.0,1.0,0.0,10.0,-36.0,Gold Zone,Run,Rush,0.0,Sean Borgerding,middle,,,,,,,,,Isaak Knutson,Braden Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,6,-6,3,3,3,,,,,,,
