PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Western New England,K,UTICA,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Cory Lichtman,65.0,10.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Western New England,D,WNE91821,1,,1.0,1.0,0.0,10.0,25.0,Run,Rush,4.0,EJ Dudley,,,,,,,John Stroughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Western New England,D,WNE91821,1,,1.0,2.0,2.0,6.0,29.0,Run,Rush,7.0,EJ Dudley,,,,,,,AnthonyMcDonald,Kwasi Addo,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Western New England,D,WNE91821,1,,1.0,3.0,1.0,10.0,36.0,Pass,Complete,8.0,,B Karstetter,Complete,Connor Dunn,,,,Jamel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Western New England,D,WNE91821,1,,1.0,4.0,2.0,2.0,44.0,Run,Rush,5.0,Dillon Kohl,,,,,,,Kwasi Addo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Western New England,D,WNE91821,1,,1.0,5.0,1.0,10.0,49.0,Pass,Complete,5.0,,B Karstetter,Complete,S Fedorchak,,,,T. Toussaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Western New England,D,WNE91821,1,,1.0,6.0,2.0,5.0,46.0,Run,Rush,2.0,Dillon Kohl,,,,,,,Daryl Savage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Western New England,D,WNE91821,1,,1.0,7.0,3.0,3.0,44.0,Run,Rush,2.0,EJ Dudley,,,,,,,Kwasi Addo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Western New England,D,WNE91821,1,,1.0,8.0,4.0,1.0,42.0,Run,Rush,2.0,EJ Dudley,,,,,,,Kwasi Addo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Western New England,D,WNE91821,1,,1.0,9.0,1.0,10.0,40.0,Pass,Interception,0.0,,B Karstetter,Interception,,,Dan Amady,,Cade Watkins,,,,,,,Dan Amady,15,20.0,,,,,,,,,,,,,,,,,True,,True,,,,15:00,1800,0,0,0,3,3,3,roughing passer,UTICA,Josh Powell,,,,15.0
11,Western New England,D,WNE91821,1,,1.0,10.0,1.0,10.0,25.0,Pass,Complete,25.0,,B Karstetter,Complete,S Fedorchak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Western New England,K,WNE91821,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Gilbert,,,Good,,,,,,,,,11:44,1604,6,0,-6,3,3,3,,,,,,,
13,Western New England,K,WNE91821,1,,,,1.0,35.0,35.0,KO Ret,Return,,,,,,,,,Greg Perry,,,,,,,Matt Brantley,36,49.0,Matt Gilbert,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,11:44,1604,7,0,-7,3,3,3,,,,,,,
14,Western New England,O,UTICA,1,,1.0,1.0,0.0,10.0,-49.0,Run,Rush,4.0,JamariousMorgan rush,,,,,,,Joshua Salem,B. Wotherspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:36,1596,0,7,-7,3,3,3,,,,,,,
15,Western New England,O,UTICA,1,,1.0,2.0,2.0,6.0,47.0,Run,Rush,8.0,JamariousMorgan rush,,,,,,,Erich Keutmann,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:36,1596,0,7,-7,3,3,3,,,,,,,
16,Western New England,O,UTICA,1,,1.0,3.0,1.0,10.0,39.0,Run,Rush,2.0,JamariousMorgan rush,,,,,,,Joe Shea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:36,1596,0,7,-7,3,3,3,,,,,,,
17,Western New England,O,UTICA,1,,1.0,4.0,2.0,8.0,37.0,Pass,Complete,24.0,,Sonny Badyna,Complete,Matt Brantley,,,,Aaron Lamar,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:36,1596,0,7,-7,3,3,3,,,,,,,
18,Western New England,O,UTICA,1,,1.0,5.0,1.0,10.0,13.0,Pass,Incomplete,0.0,,Sonny Badyna,Incomplete,Clifton Manns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:36,1596,0,7,-7,3,3,3,,,,,,,
19,Western New England,O,UTICA,1,,1.0,6.0,2.0,10.0,13.0,Run,Rush,9.0,Sonny Badyna,,,,,,,T. Hartmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:36,1596,0,7,-7,3,3,3,,,,,,,
20,Western New England,O,UTICA,1,,1.0,7.0,3.0,1.0,4.0,Run,Rush,0.0,JamariousMorgan rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,11:36,1596,0,7,-7,3,3,3,,,,,,,
21,Western New England,,UTICA,1,,,,4.0,1.0,4.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utica College,,,,,,,11:36,1596,0,7,-7,3,3,3,,,,,,,
22,Western New England,K,UTICA,1,,,,4.0,1.0,4.0,FG,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maki Medici,21.0,Good,,,,,,,,,,07:12,1332,0,7,-7,2,2,3,,,,,,,
23,Western New England,K,UTICA,1,,,,1.0,-35.0,-35.0,KO,,,,,,,,,,,,,,,,,,,,Cory Lichtman,65.0,10.0,,,,,,,,,,,,,,,,,,,,07:08,1328,3,7,-4,2,2,3,,,,,,,
24,Western New England,D,WNE91821,1,,2.0,1.0,0.0,10.0,25.0,Run,Rush,-5.0,Jamaurie James,,,,,,,Devin Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:08,1328,7,3,-4,2,3,2,,,,,,,
25,Western New England,D,WNE91821,1,,2.0,2.0,2.0,15.0,20.0,Run,Rush,0.0,Dillon Kohl,,,,,,,Jimmie Warren,Darius Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:08,1328,7,3,-4,2,3,2,,,,,,,
26,Western New England,D,WNE91821,1,,2.0,3.0,3.0,15.0,20.0,Run,Rush,7.0,,,,,,,,Jordan Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:08,1328,7,3,-4,2,3,2,unsportsmanlike conduct,UTICA,Devin Bryant,,,,31.0
27,Western New England,D,WNE91821,1,,2.0,4.0,1.0,10.0,42.0,Pass,Complete,18.0,,B Karstetter,Complete,S Fedorchak,,,,Amari Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:08,1328,7,3,-4,2,3,2,,,,,,,
28,Western New England,D,WNE91821,1,,2.0,5.0,1.0,10.0,24.0,Run,Rush,1.0,Ryan Carlson,,,,,,,AnthonyMcDonald,Josh Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:08,1328,7,3,-4,2,3,2,,,,,,,
29,Western New England,D,WNE91821,1,,2.0,6.0,2.0,9.0,23.0,Pass,Complete,23.0,,B Karstetter,Complete,Adam Razza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,07:08,1328,7,3,-4,2,3,2,,,,,,,
30,Western New England,K,WNE91821,1,,,,1.0,3.0,3.0,Extra Pt. Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Gilbert,,,No Good,,,,,True,,,,04:48,1188,13,3,-10,2,3,2,offside,UTICA,,,,,1.0
