PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,DePauw,K,DPU,1,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,Jack Drake,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,DePauw,O,WAB,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,6.0,Donovan Snyder,,,,,,,Joe Zanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,DePauw,O,WAB,1,,1.0,2.0,2.0,4.0,-31.0,Run,Rush,3.0,Donovan Snyder,,,,,,,Brevon Gude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42,1782,0,0,0,3,3,3,,,,,,,
4,DePauw,O,WAB,1,,1.0,3.0,3.0,1.0,-34.0,Run,Rush,2.0,Liam Thompson,,,,,,,Ben Burger,Joe Zanca,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:06,1746,0,0,0,3,3,3,,,,,,,
5,DePauw,O,WAB,1,,1.0,4.0,1.0,10.0,-36.0,Run,Rush,6.0,Donovan Snyder,,,,,,,Joe Zanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:35,1715,0,0,0,3,3,3,,,,,,,
6,DePauw,O,WAB,1,,1.0,5.0,2.0,4.0,-42.0,Run,Rush,4.0,Liam Thompson,,,,,,,Luke Marsh,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:05,1685,0,0,0,3,3,3,,,,,,,
7,DePauw,O,WAB,1,,1.0,6.0,1.0,10.0,-46.0,Run,Rush,2.0,Donovan Snyder,,,,,,,Ethan Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:31,1651,0,0,0,3,3,3,,,,,,,
8,DePauw,O,WAB,1,,1.0,7.0,2.0,8.0,-48.0,Run,Rush,-7.0,Liam Thompson,,,,,,,,,True,Liam Thompson,,DPU,Ben Burger,,,,,,,,,,,,,,,,,,,,,,,,,Fumble,11:58,1618,0,0,0,3,3,3,,,,,,,
9,DePauw,D,DPU,1,,1.0,1.0,0.0,10.0,38.0,Pass,Complete,6.0,,,Complete,Trey Shaw,,,,Avery Epstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:36,1596,0,0,0,3,3,3,,,,,,,
10,DePauw,D,DPU,1,,1.0,2.0,2.0,4.0,32.0,Run,Rush,10.0,Gus Baumgartner,,,,,,,Jose Franco,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:16,1576,0,0,0,3,3,3,,,,,,,
11,DePauw,D,DPU,1,,1.0,3.0,1.0,10.0,22.0,Run,Rush,0.0,Gus Baumgartner,,,,,,,Joe Rios,Will Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:52,1552,0,0,0,3,3,3,,,,,,,
12,DePauw,D,DPU,1,,1.0,4.0,2.0,10.0,22.0,Run,Rush,8.0,Gus Baumgartner,,,,,,,Jose Franco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:11,1511,0,0,0,3,3,3,,,,,,,
13,DePauw,D,DPU,1,,1.0,5.0,3.0,2.0,14.0,Run,Rush,14.0,Gus Baumgartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,09:42,1482,0,0,0,3,3,3,,,,,,,
14,DePauw,K,DPU,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Sullivan,,,Good,,,,,,,,,09:11,1451,6,0,-6,3,3,3,,,,,,,
15,DePauw,K,DPU,1,,,,1.0,-35.0,-35.0,KO Rec,,,,,,,,,,,,,,,,,,,,Jack Drake,65.0,0.0,,,,,,,,,,,,,,,,,,,,09:11,1451,7,0,-7,3,3,3,,,,,,,
16,DePauw,O,WAB,1,,2.0,1.0,0.0,10.0,-25.0,Run,Rush,1.0,Donovan Snyder,,,,,,,Henry Locke,Luke Marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:11,1451,0,7,-7,3,3,3,,,,,,,
17,DePauw,O,WAB,1,,2.0,2.0,2.0,9.0,-26.0,Pass,Incomplete,0.0,,Thompson LE,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:56,1436,0,7,-7,3,3,3,,,,,,,
