PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wis.-Stout,K,WAR,1,,,,,,,,KO,Return,,,,,,,,,,,,,,,,,,,Patrick Corcoran,10,25.0,Cael O'Neill,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,10.0
2,Wis.-Stout,D,UWS,1,,1.0,1.0,0.0,10.0,-15.0,Coming Out,Run,Rush,2.0,Matt Pomietlo,left,,,,,,,,,Owen Grover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
3,Wis.-Stout,D,UWS,1,,1.0,2.0,2.0,1.0,-17.0,Coming Out,Pass,Incomplete,0.0,,,Sean Borgerding,short,left,Incomplete,Levy Hamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
4,Wis.-Stout,D,UWS,1,,1.0,3.0,3.0,1.0,-17.0,Coming Out,Pass,Sack,-10.0,,,Sean Borgerding,,,Sack,,,,,Riley Konrardy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:51,1791,0,0,0,3,3,3,,,,,,,
5,Wis.-Stout,K,UWS,1,,,,4.0,11.0,-7.0,Backed Up,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Karls,26.0,-33.0,Out of bounds,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
6,Wis.-Stout,O,WAR,1,,1.0,1.0,0.0,10.0,33.0,Take A Shot,Run,Rush,2.0,Hunter Clasen,middle,,,,,,,,,Nathan Williamson,Nate Rewald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:23,1703,0,0,0,3,3,3,,,,,,,
7,Wis.-Stout,O,WAR,1,,1.0,2.0,2.0,8.0,31.0,Take A Shot,Pass,Complete,9.0,,,Nile McLaughlin,short,left,Complete,Carter Henry,,,,Mack Klafter,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:23,1703,0,0,0,3,3,3,,,,,,,
8,Wis.-Stout,O,WAR,1,,1.0,3.0,1.0,10.0,22.0,Take A Shot,Run,Rush,0.0,Hunter Clasen,right,,,,,,,,,Mack Klafter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:23,1703,0,0,0,3,3,3,,,,,,,
9,Wis.-Stout,,WAR,1,,,,2.0,10.0,22.0,Take A Shot,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:23,1703,0,0,0,3,3,3,,,,,,,5.0
10,Wis.-Stout,O,WAR,1,,1.0,4.0,2.0,15.0,27.0,Take A Shot,Pass,Incomplete,0.0,,,Nile McLaughlin,short,middle,Incomplete,Drake George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,13:23,1703,0,0,0,3,3,3,,,,,,,14.0
