PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Geneva,K,WJC,1,,,,,,,KO,Return,,,,,,,,,Jack Ryan,,,,,,,McClain,21,31.0,Nate Witkowsky,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Geneva,D,GEN,1,,1.0,1.0,0.0,10.0,-31.0,Run,Rush,7.0,,,,,,,,Justin Johns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Geneva,D,GEN,1,,1.0,2.0,2.0,3.0,-38.0,Run,Rush,4.0,,,,,,,,Nick Freiwald,Tanner Volpatti,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Geneva,D,GEN,1,,1.0,3.0,1.0,10.0,-42.0,Run,Rush,5.0,,,,,,,,Alex Keith,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,Personal Foul,WJC,Elijah Goosby,,,,15.0
5,Geneva,D,GEN,1,,1.0,4.0,1.0,10.0,38.0,Run,Rush,9.0,,,,,,,,Alex Bellinotti,Tanner Volpatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Geneva,D,GEN,1,,1.0,5.0,2.0,1.0,29.0,Run,Rush,9.0,,,,,,,,Max Garda,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Geneva,D,GEN,1,,1.0,6.0,1.0,10.0,20.0,Run,Rush,2.0,,,,,,,,Sean Doran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Geneva,D,GEN,1,,1.0,7.0,2.0,8.0,18.0,Run,Rush,12.0,,,,,,,,Max Garda,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
9,Geneva,D,GEN,1,,1.0,8.0,1.0,6.0,6.0,Run,Rush,4.0,,,,,,,,Max Garda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
10,Geneva,D,GEN,1,,1.0,9.0,2.0,2.0,2.0,Run,Rush,0.0,,,,,,,,Justin Johns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
11,Geneva,D,GEN,1,,1.0,10.0,3.0,2.0,2.0,Run,Rush,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:54,1794,0,0,0,3,3,3,,,,,,,
12,Geneva,K,GEN,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel kick Nordaas,,,Good,,,,,,,,,11:05,1565,6,0,-6,3,3,3,,,,,,,
13,Geneva,K,GEN,1,,,,1.0,10.0,-35.0,KO Rec,Touchback,,,,,,,,,,,,,,,,,,,Daniel kickoff Nordaas,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,11:05,1565,7,0,-7,3,3,3,,,,,,,
14,Geneva,O,WJC,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,16.0,,Justin Heacock,Complete,Josh Burns,,,,Derrick Sneed,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
15,Geneva,,WJC,1,,,,1.0,10.0,-41.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,7,-7,3,3,3,False Start,WJC,Tyler Caragein,,,,5.0
16,Geneva,,WJC,1,,,,1.0,15.0,-36.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,7,-7,3,3,3,False Start,WJC,Angelo Fratini,,,,5.0
17,Geneva,O,WJC,1,,1.0,2.0,1.0,20.0,-31.0,Pass,Complete,2.0,,Justin Heacock,Complete,Andrew Wolf,,,,James Clark,Dave Hines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
18,Geneva,O,WJC,1,,1.0,3.0,2.0,18.0,-33.0,Pass,Complete,7.0,,Justin Heacock,Complete,Andrew Wolf,,,,Kaden Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
19,Geneva,O,WJC,1,,1.0,4.0,3.0,11.0,-40.0,Pass,Complete,31.0,,Justin Heacock,Complete,Cameron O'Brien,,,,Ray Richard,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
20,Geneva,O,WJC,1,,1.0,5.0,1.0,10.0,29.0,Run,Rush,1.0,Joey Koroly,,,,,,,Dakota Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
