PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Case Western Reserve,K,WJC,1,,,,,,,,KO,Return,,,,,,,,,,,,Tyler Sabo,,,,,,,,5,15.0,Deven Wyandt,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,illegal block,CWR,,,,,8.0
2,Case Western Reserve,D,CWR,1,,1.0,1.0,0.0,10.0,-7.0,Backed Up,Run,Rush,4.0,,,,,,,,,,,T. Volpatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Case Western Reserve,,CWR,1,,,,2.0,6.0,-11.0,Coming Out,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,CWR,,,,,5.0
4,Case Western Reserve,D,CWR,1,,1.0,2.0,2.0,11.0,-6.0,Backed Up,Pass,Complete,1.0,,,,,,Complete,,,,,Dawson Dietz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Case Western Reserve,D,CWR,1,,1.0,3.0,3.0,10.0,-7.0,Backed Up,Run,Rush,5.0,,,,,,,,,,,T. Volpatti,Adam Rudzinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Case Western Reserve,K,CWR,1,,,,4.0,5.0,-12.0,Coming Out,Punt Rec,Return,,,,,,,,,,,,Gage Duesler,,,,,,,,2,45.0,,,,,,,45.0,43.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Case Western Reserve,O,WJC,1,,1.0,1.0,0.0,10.0,-45.0,Go Zone,Pass,Complete,10.0,,,Colton Jones,,,Complete,Anthony Rosati,,,,Gabe Troch,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Case Western Reserve,O,WJC,1,,1.0,2.0,1.0,10.0,45.0,Go Zone,Run,Rush,1.0,Justin Huss,,,,,,,,,,Ian Kipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Case Western Reserve,O,WJC,1,,1.0,3.0,2.0,9.0,44.0,Go Zone,Pass,Complete,27.0,,,Colton Jones,,,Complete,Anthony Rosati,,,,Dominic Sais,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Case Western Reserve,,WJC,1,,,,1.0,10.0,17.0,Red Zone High,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,WJC,,,,,5.0
11,Case Western Reserve,O,WJC,1,,1.0,4.0,1.0,15.0,22.0,Take A Shot,Pass,Incomplete,0.0,,,Colton Jones,,,Incomplete,TJ Troxell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Case Western Reserve,O,WJC,1,,1.0,5.0,2.0,15.0,22.0,Take A Shot,Pass,Complete,3.0,,,Colton Jones,,,Complete,Justin Huss,,,,D.J. Wolf,Gabe Troch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Case Western Reserve,O,WJC,1,,1.0,6.0,3.0,12.0,19.0,Red Zone High,Pass,Sack,-8.0,,,Colton Jones,,,Sack,,,,,Ryan Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
14,Case Western Reserve,O,WJC,1,,1.0,7.0,4.0,20.0,27.0,Take A Shot,Pass,Incomplete,0.0,,,Colton Jones,,,Incomplete,John Peduzzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,1800,0,0,0,3,3,3,,,,,,,
15,Case Western Reserve,D,CWR,1,,2.0,1.0,0.0,10.0,-27.0,Gold Zone,Pass,Incomplete,0.0,,,,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
16,Case Western Reserve,D,CWR,1,,2.0,2.0,2.0,10.0,-27.0,Gold Zone,Run,Rush,2.0,,,,,,,,,,,T. Volpatti,Dawson Dietz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
17,Case Western Reserve,D,CWR,1,,2.0,3.0,3.0,8.0,-29.0,Gold Zone,Pass,Complete,61.0,,,,,,Complete,,,,,Dillon Rebuck,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
18,Case Western Reserve,D,CWR,1,,2.0,4.0,1.0,10.0,10.0,Red Zone,Run,Rush,3.0,,,,,,,,,,,Dawson Dietz,Justin Johns,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,12:21,1641,0,0,0,3,3,3,illegal formation,CWR,,,,,5.0
19,Case Western Reserve,D,CWR,1,,2.0,5.0,1.0,15.0,15.0,Red Zone High,Pass,Complete,2.0,,,,,,Complete,,,,,T. Volpatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
20,Case Western Reserve,D,CWR,1,,2.0,6.0,2.0,13.0,13.0,Red Zone,Pass,Incomplete,0.0,,,,,,Incomplete,,,,,Tyler Sabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
21,Case Western Reserve,D,CWR,1,,2.0,7.0,3.0,13.0,13.0,Red Zone,Run,Rush,3.0,,,,,,,,,,,Tyler Sabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,12:21,1641,0,0,0,3,3,3,,,,,,,
22,Case Western Reserve,K,CWR,1,,,,4.0,10.0,10.0,Red Zone,FG Block,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,Blocked,,,,,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
23,Case Western Reserve,O,WJC,1,,2.0,1.0,0.0,10.0,-14.0,Coming Out,Run,Rush,2.0,Justin Huss,,,,,,,,,,Colin Schuster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
24,Case Western Reserve,O,WJC,1,,2.0,2.0,2.0,8.0,-16.0,Coming Out,Run,Rush,2.0,Justin Huss,,,,,,,,,,Gabe Troch,Sean Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
25,Case Western Reserve,O,WJC,1,,2.0,3.0,3.0,6.0,-18.0,Coming Out,Pass,Sack,-4.0,,,Colton Jones,,,Sack,,,,,Kaden Tong,,True,Colton Jones,,WJC,Tyler Caragein,,,,,,,,,,,,,,,,,,,,,,,,,Punt,05:44,1244,0,0,0,3,3,3,,,,,,,
26,Case Western Reserve,K,WJC,1,,,,4.0,15.0,-9.0,Backed Up,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Deven Wyandt,32.0,-41.0,Fair Catch,,,,,,,,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
27,Case Western Reserve,D,CWR,1,,3.0,1.0,0.0,10.0,41.0,Go Zone,Pass,Incomplete,0.0,,,,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
28,Case Western Reserve,D,CWR,1,,3.0,2.0,2.0,10.0,41.0,Go Zone,Pass,Complete,5.0,,,,,,Complete,,,,,Justin Johns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
29,Case Western Reserve,,CWR,1,,,,3.0,5.0,36.0,Go Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case Western Reserve,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
30,Case Western Reserve,D,CWR,1,,3.0,3.0,3.0,5.0,36.0,Go Zone,Pass,Complete,7.0,,,,,,Complete,,,,,A. Carothers,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:43,1063,0,0,0,3,2,3,,,,,,,
31,Case Western Reserve,D,CWR,1,,3.0,4.0,1.0,10.0,29.0,Take A Shot,Run,Rush,4.0,,,,,,,,,,,Dillon Rebuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:43,1063,0,0,0,3,2,3,,,,,,,
32,Case Western Reserve,D,CWR,1,,3.0,5.0,2.0,6.0,25.0,Take A Shot,Run,Rush,3.0,,,,,,,,,,,Justin Johns,Dawson Dietz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:43,1063,0,0,0,3,2,3,,,,,,,
33,Case Western Reserve,D,CWR,1,,3.0,6.0,3.0,3.0,22.0,Take A Shot,Run,Rush,1.0,,,,,,,,,,,Tyler Sabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:43,1063,0,0,0,3,2,3,,,,,,,
34,Case Western Reserve,D,CWR,1,,3.0,7.0,4.0,2.0,21.0,Take A Shot,Run,Rush,0.0,,,,,,,,,,,Drew Ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,02:43,1063,0,0,0,3,2,3,,,,,,,
35,Case Western Reserve,O,WJC,1,,3.0,1.0,0.0,10.0,-21.0,Coming Out,Pass,Complete,7.0,,,Colton Jones,,,Complete,John Peduzzi,,,,Nate Cikalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:43,1063,0,0,0,3,3,2,,,,,,,
36,Case Western Reserve,O,WJC,2,,3.0,2.0,2.0,3.0,-28.0,Gold Zone,Run,Rush,1.0,Justin Huss,,,,,,,,,,AJ Dudowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,3,3,2,,,,,,,
37,Case Western Reserve,O,WJC,2,,3.0,3.0,3.0,2.0,-29.0,Gold Zone,Pass,Complete,1.0,,,Colton Jones,,,Complete,Samuel Vessah,,,,Dominic Sais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,900,0,0,0,3,3,2,,,,,,,
38,Case Western Reserve,,WJC,2,,,,4.0,1.0,-30.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,3,3,2,false start,WJC,,,,,5.0
39,Case Western Reserve,K,WJC,2,,,,4.0,6.0,-25.0,Coming Out,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Deven Wyandt,42.0,33.0,Fair Catch,,,,,,,,,,,,,,15:00,900,0,0,0,3,3,2,,,,,,,
40,Case Western Reserve,D,CWR,2,,4.0,1.0,0.0,10.0,-33.0,Gold Zone,Run,Rush,3.0,,,,,,,,,,,T. Volpatti,Tyler Sabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,3,2,3,,,,,,,
41,Case Western Reserve,D,CWR,2,,4.0,2.0,2.0,7.0,-36.0,Gold Zone,Pass,Complete,6.0,,,,,,Complete,,,,,A. Carothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,3,2,3,,,,,,,
42,Case Western Reserve,D,CWR,2,,4.0,3.0,3.0,1.0,-42.0,Gold Zone,Run,Rush,3.0,,,,,,,,,,,Justin Johns,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,0,0,0,3,2,3,,,,,,,
43,Case Western Reserve,D,CWR,2,,4.0,4.0,1.0,10.0,-45.0,Go Zone,Pass,Sack,-3.0,,,,,,Sack,,,,,Dawson Dietz,Jaren Thimons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,3,2,3,,,,,,,
44,Case Western Reserve,D,CWR,2,,4.0,5.0,2.0,13.0,-42.0,Gold Zone,Pass,Incomplete,0.0,,,,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,3,2,3,,,,,,,
45,Case Western Reserve,D,CWR,2,,4.0,6.0,3.0,13.0,-42.0,Gold Zone,Pass,Sack,-11.0,,,,,,Sack,,,,,Alex Keith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,900,0,0,0,3,2,3,,,,,,,
46,Case Western Reserve,K,CWR,2,,,,4.0,24.0,-31.0,Gold Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,28.0,,,,,,,,,,,,,,,15:00,900,0,0,0,3,2,3,,,,,,,
47,Case Western Reserve,O,WJC,2,,4.0,1.0,0.0,10.0,-28.0,Gold Zone,Pass,Complete,18.0,,,Colton Jones,,,Complete,Anthony Rosati,,,,D.J. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:32,812,0,0,0,3,3,2,,,,,,,
48,Case Western Reserve,O,WJC,2,,4.0,2.0,1.0,10.0,-46.0,Go Zone,Pass,Complete,0.0,,,Colton Jones,,,Complete,Justin Huss,,,,Ryan Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,0,0,0,3,3,2,,,,,,,
49,Case Western Reserve,O,WJC,2,,4.0,3.0,2.0,10.0,-46.0,Go Zone,Pass,Sack,-13.0,,,Colton Jones,,,Sack,,,,,Marco Toth,,True,Colton Jones,,WJC,Leon Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,812,0,0,0,3,3,2,,,,,,,
50,Case Western Reserve,O,WJC,2,,4.0,4.0,3.0,23.0,-33.0,Gold Zone,Pass,Complete,7.0,,,Colton Jones,,,Complete,Justin Huss,,,,Gabe Troch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:32,812,0,0,0,3,3,2,,,,,,,
51,Case Western Reserve,K,WJC,2,,,,4.0,16.0,-40.0,Gold Zone,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Deven Wyandt,38.0,22.0,Fair Catch,,,,,,,,,,,,,,13:32,812,0,0,0,3,3,2,,,,,,,
