PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Methodist,K,WLU,1,,,,,,,,KO,Return,,,,,,,,,,,,Burke Cogelske,,,,,,,Kobe Praylow,24,26.0,Arturo Ramirez,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Methodist,D,MUFB,1,,1.0,1.0,0.0,10.0,-26.0,Gold Zone,Pass,Complete,16.0,,,Bullins middle,,,Complete,Kobe Praylow,,,,Charlie Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Methodist,D,MUFB,1,,1.0,2.0,1.0,10.0,-42.0,Gold Zone,Run,Rush,6.0,Brandon Bullins,middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,Methodist,D,MUFB,1,,1.0,3.0,2.0,4.0,-48.0,Go Zone,Run,Rush,3.0,Keyshaun Pete,middle,,,,,,,,,Jalen Todd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Methodist,D,MUFB,1,,1.0,4.0,3.0,1.0,49.0,Go Zone,Run,Rush,-1.0,Keyshaun Pete,middle,,,,,,,,,David Onyejekwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Methodist,K,MUFB,1,,,,4.0,2.0,-50.0,Go Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Hargett,49.0,1.0,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
7,Methodist,,WLU,1,,,,1.0,10.0,-1.0,Backed Up,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28,1648,0,0,0,3,3,3,offside defense,MUFB,,,,,5.0
8,Methodist,O,WLU,1,,1.0,1.0,0.0,5.0,-6.0,Backed Up,Run,Rush,1.0,Alex Wertz,middle,,,,,,,,,Damian Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28,1648,0,0,0,3,3,3,,,,,,,
9,Methodist,O,WLU,1,,1.0,2.0,2.0,4.0,-7.0,Backed Up,Run,Rush,3.0,Alex Wertz,middle,,,,,,,,,K. Voyles Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28,1648,0,0,0,3,3,3,,,,,,,
10,Methodist,O,WLU,1,,1.0,3.0,3.0,1.0,-10.0,Backed Up,Run,Rush,-3.0,Stephen Murrin,left,,,,,,,,,,,True,Stephen Murrin,,MUFB,Alex Boyd,,,,,,,,,,,,,,,,,,,,,,,,,Fumble,12:28,1648,0,0,0,3,3,3,,,,,,,
11,Methodist,D,MUFB,1,,2.0,1.0,0.0,7.0,7.0,Red Zone,Run,Rush,7.0,Tyquan Eaddy,middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,11:23,1583,0,0,0,3,3,3,,,,,,,
12,Methodist,K,MUFB,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Hargett,,,Good,,,,,,,,,11:18,1578,6,0,-6,3,3,3,,,,,,,
13,Methodist,K,MUFB,1,,,,1.0,-35.0,-35.0,Gold Zone,KO Rec,,,,,,,,,,,,,,,,,,,,,,,Trevor Hargett,65.0,0.0,,,,,,,,,,,,,,,,,,,,11:18,1578,7,0,-7,3,3,3,,,,,,,
14,Methodist,O,WLU,1,,2.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,3.0,Jacob Romero,right,,,,,,,,,Josh Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
15,Methodist,O,WLU,1,,2.0,2.0,2.0,7.0,-28.0,Gold Zone,Run,Rush,1.0,Alex Wertz,middle,,,,,,,,,R. Christian Jr,K. Voyles Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
16,Methodist,O,WLU,1,,2.0,3.0,3.0,6.0,-29.0,Gold Zone,Pass,Complete,7.0,,,,,,Complete,Dryden Duggins,,,,DeIrvin Grate,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
17,Methodist,O,WLU,1,,2.0,4.0,1.0,10.0,-36.0,Gold Zone,Pass,Incomplete,0.0,,,,,,Incomplete,Ian Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,11:18,1578,0,7,-7,3,3,3,offside defense,MUFB,,,,,5.0
18,Methodist,O,WLU,1,,2.0,5.0,1.0,5.0,-41.0,Gold Zone,Run,Rush,6.0,Stephen Murrin,left,,,,,,,,,R. Christian Jr,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
19,Methodist,O,WLU,1,,2.0,6.0,1.0,10.0,-47.0,Go Zone,Run,Rush,7.0,Alex Wertz,middle,,,,,,,,,Isiah McMullens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
20,Methodist,O,WLU,1,,2.0,7.0,2.0,3.0,46.0,Go Zone,Run,Rush,6.0,Alex Wertz,right,,,,,,,,,C. Boston,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
21,Methodist,O,WLU,1,,2.0,8.0,1.0,10.0,40.0,Go Zone,Run,Rush,0.0,Cameron Reed,left,,,,,,,,,K. Voyles Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,11:18,1578,0,7,-7,3,3,3,false start,WLU,Michael Spedale,,,,5.0
22,Methodist,O,WLU,1,,2.0,9.0,1.0,15.0,45.0,Go Zone,Pass,Incomplete,0.0,,,,,,Incomplete,Dryden Duggins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
23,Methodist,O,WLU,1,,2.0,10.0,2.0,15.0,45.0,Go Zone,Run,Rush,3.0,Alex Wertz,middle,,,,,,,,,Alex Boyd,Isiah McMullens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
24,Methodist,O,WLU,1,,2.0,11.0,3.0,12.0,42.0,Go Zone,Run,Rush,13.0,Stephen Murrin,right,,,,,,,,,DaQuinton Grady,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
25,Methodist,O,WLU,1,,2.0,12.0,1.0,10.0,29.0,Take A Shot,Run,Rush,6.0,Jacob Romero,left,,,,,,,,,Isiah McMullens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
26,Methodist,O,WLU,1,,2.0,13.0,2.0,4.0,23.0,Take A Shot,Run,Rush,10.0,Alex Wertz,middle,,,,,,,,,Josh Hill,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
27,Methodist,O,WLU,1,,2.0,14.0,1.0,10.0,13.0,Red Zone,Run,Rush,7.0,Alex Wertz,middle,,,,,,,,,Isiah McMullens,DaQuinton Grady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
28,Methodist,O,WLU,1,,2.0,15.0,2.0,3.0,6.0,Red Zone,Run,Rush,2.0,Stephen Murrin,right,,,,,,,,,R. Christian Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
29,Methodist,O,WLU,1,,2.0,16.0,3.0,1.0,4.0,Red Zone Low,Run,Rush,1.0,Stephen Murrin,middle,,,,,,,,,K. Voyles Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:18,1578,0,7,-7,3,3,3,,,,,,,
30,Methodist,O,WLU,1,,2.0,17.0,1.0,3.0,3.0,Red Zone Low,Run,Rush,3.0,Alex Wertz,middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,11:18,1578,0,7,-7,3,3,3,,,,,,,
31,Methodist,K,WLU,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arturo Ramirez,,,Blocked,,,,,,,,,03:29,1109,6,7,-1,3,3,3,,,,,,,
