PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Waynesburg,K,WES,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Joshua Byers,42.0,23.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Waynesburg,D,WAY,1,,1.0,1.0,0.0,10.0,-23.0,Pass,Complete,1.0,,Josh Gibbons,Complete,D. Romantino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Waynesburg,D,WAY,1,,1.0,2.0,2.0,9.0,-24.0,Run,Rush,5.0,Nick Hall,,,,,,,N. Treloar,Bryce Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Waynesburg,D,WAY,1,,1.0,3.0,3.0,4.0,-29.0,Run,Rush,-3.0,Tilmon Vaughn,,,,,,,Brice Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Waynesburg,K,WAY,1,,,,4.0,7.0,-26.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Mason Mangham,36.0,38.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Waynesburg,O,WES,1,,1.0,1.0,0.0,10.0,-38.0,Run,Rush,0.0,Vincent Giles,,,,,,,JaVionne Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
7,Waynesburg,O,WES,1,,1.0,2.0,2.0,10.0,-38.0,Pass,Complete,17.0,,Cole Konieczka,Complete,Ryan Gomes,,,,James Davis,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
8,Waynesburg,O,WES,1,,1.0,3.0,1.0,10.0,45.0,Run,Rush,6.0,Ryan Gomes,,,,,,,Samuel Hamilton,Tom Hanik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
9,Waynesburg,O,WES,1,,1.0,4.0,2.0,4.0,39.0,Pass,Incomplete,0.0,,Cole Konieczka,Incomplete,Denny Dennison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
10,Waynesburg,O,WES,1,,1.0,5.0,3.0,4.0,39.0,Run,Rush,5.0,Cole Konieczka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
11,Waynesburg,O,WES,1,,1.0,6.0,1.0,10.0,34.0,Run,Rush,1.0,Ryan Gomes,,,,,,,Bret Hicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
12,Waynesburg,O,WES,1,,1.0,7.0,2.0,9.0,33.0,Pass,Complete,25.0,,Cole Konieczka,Complete,Tylon Eilam,,,,Luke Menges,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
13,Waynesburg,O,WES,1,,1.0,8.0,1.0,8.0,8.0,Run,Rush,0.0,Ryan Gomes,,,,,,,Tom Hanik,Zach Baughman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
14,Waynesburg,O,WES,1,,1.0,9.0,2.0,8.0,8.0,Run,Rush,-2.0,Ryan Gomes,,,,,,,Lucas Donley,J. Ruffing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
15,Waynesburg,O,WES,1,,1.0,10.0,3.0,10.0,10.0,Pass,Incomplete,0.0,,Cole Konieczka,Incomplete,Chevy Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,12:50,1670,0,0,0,3,3,3,,,,,,,
16,Waynesburg,K,WES,1,,,,4.0,10.0,10.0,FG,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joshua Byers,27.0,Good,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
17,Waynesburg,K,WES,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Bryce Thomas,,,,,,,JaVionne Smith,16,25.0,Joshua Byers,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,08:58,1438,3,0,3,3,3,3,,,,,,,
18,Waynesburg,D,WAY,1,,2.0,1.0,0.0,10.0,-25.0,Run,Rush,3.0,Nick Hall,,,,,,,Tyree Reeder,N. Treloar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:53,1433,0,3,3,3,3,3,,,,,,,
19,Waynesburg,D,WAY,1,,2.0,2.0,2.0,7.0,-28.0,Run,Rush,1.0,Nick Hall,,,,,,,N. Treloar,Ian Barr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:53,1433,0,3,3,3,3,3,,,,,,,
20,Waynesburg,,WAY,1,,,,3.0,6.0,-29.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:53,1433,0,3,3,3,3,3,delay of game,WAY,Josh Gibbons,,,,5.0
21,Waynesburg,D,WAY,1,,2.0,3.0,3.0,11.0,-24.0,Pass,Incomplete,0.0,,Josh Gibbons,Incomplete,Trenton Kerns,,,,Bryce Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:53,1433,0,3,3,3,3,3,,,,,,,
22,Waynesburg,K,WAY,1,,,,4.0,11.0,-24.0,Punt Rec,Return,,,,,,,,,Trenton Kerns,James Davis,,,,,,Denny Dennison,8,,,,,,,Mason Mangham,34.0,42.0,Return,,,,,,,,,,,,,,08:53,1433,0,3,3,3,3,3,,,,,,,
23,Waynesburg,O,WES,1,,2.0,1.0,0.0,10.0,-50.0,Run,Rush,23.0,Ryan Gomes,,,,,,,James Davis,Samuel Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:56,1316,3,0,3,3,3,3,,,,,,,
24,Waynesburg,O,WES,1,,2.0,2.0,1.0,10.0,27.0,Pass,Complete,0.0,,Cole Konieczka,Complete,J. Washington,,,,James Davis,Monroe Mohler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:56,1316,3,0,3,3,3,3,,,,,,,
25,Waynesburg,O,WES,1,,2.0,3.0,2.0,10.0,27.0,Pass,Complete,3.0,,Cole Konieczka,Complete,J. Washington,,,,Tom Hanik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:56,1316,3,0,3,3,3,3,,,,,,,
