PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,North Central (IL),K,NCC,1,,,,,,,KO Rec,Return,,,,,,,,,Z. Orr,,,,,,,,21,32.0,T Rains,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,North Central (IL),O,WHEATON,1,,1.0,1.0,0.0,10.0,-32.0,Pass,Incomplete,0.0,,Luke Anthony,Incomplete,Ma Tucker,,,,D. Cremeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,North Central (IL),O,WHEATON,1,,1.0,2.0,2.0,10.0,-32.0,Run,Rush,3.0,,,,,,,,B. Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,North Central (IL),O,WHEATON,1,,1.0,3.0,3.0,7.0,-35.0,Pass,Complete,32.0,,Luke Anthony,Complete,,,,,D. Cremeens,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,North Central (IL),O,WHEATON,1,,1.0,4.0,1.0,10.0,33.0,Pass,Incomplete,0.0,,Luke Anthony,Incomplete,,,,,T. Rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,North Central (IL),O,WHEATON,1,,1.0,5.0,2.0,10.0,33.0,Run,Rush,4.0,,,,,,,,T. Rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,North Central (IL),,WHEATON,1,,,,3.0,6.0,29.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,WHEATON,,,,,5.0
8,North Central (IL),O,WHEATON,1,,1.0,6.0,3.0,11.0,34.0,Pass,Complete,12.0,,Luke Anthony,Complete,,,,,D. Cremeens,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,North Central (IL),O,WHEATON,1,,1.0,7.0,1.0,10.0,22.0,Run,Rush,5.0,,,,,,,,N. Rummell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,North Central (IL),O,WHEATON,1,,1.0,8.0,2.0,5.0,17.0,Run,Rush,4.0,,,,,,,,S. Taviani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,North Central (IL),O,WHEATON,1,,1.0,9.0,3.0,1.0,13.0,Run,Rush,4.0,,,,,,,,B. Lindmark,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,North Central (IL),O,WHEATON,1,,1.0,10.0,1.0,9.0,9.0,Pass,Complete,9.0,,Luke Anthony,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
13,North Central (IL),K,WHEATON,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,10:09,1509,6,0,6,3,3,3,,,,,,,
14,North Central (IL),K,WHEATON,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Ryan Schwartz,,,,,,,,11,24.0,,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,10:09,1509,7,0,7,3,3,3,,,,,,,
15,North Central (IL),D,NCC,1,,1.0,1.0,0.0,10.0,-24.0,Run,Rush,4.0,,,,,,,,Bunnel,Shindledecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:04,1504,0,7,7,3,3,3,,,,,,,
16,North Central (IL),D,NCC,1,,1.0,2.0,2.0,6.0,-28.0,Pass,Incomplete,0.0,,,Incomplete,A Wolff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:04,1504,0,7,7,3,3,3,,,,,,,
17,North Central (IL),D,NCC,1,,1.0,3.0,3.0,6.0,-28.0,Pass,Complete,38.0,,,Complete,D Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:04,1504,0,7,7,3,3,3,,,,,,,
18,North Central (IL),D,NCC,1,,1.0,4.0,1.0,10.0,34.0,Run,Rush,5.0,,,,,,,,W. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:04,1504,0,7,7,3,3,3,,,,,,,
19,North Central (IL),D,NCC,1,,1.0,5.0,2.0,5.0,29.0,Run,Rush,3.0,,,,,,,,B. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:04,1504,0,7,7,3,3,3,,,,,,,
20,North Central (IL),D,NCC,1,,1.0,6.0,3.0,2.0,26.0,Run,Rush,0.0,,,,,,,,Ryan Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:04,1504,0,7,7,3,3,3,,,,,,,
21,North Central (IL),D,NCC,1,,1.0,7.0,4.0,2.0,26.0,Run,Rush,8.0,,,,,,,,Gammichia,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,10:04,1504,0,7,7,3,3,3,illegal formation,NCC,,,,,5.0
22,North Central (IL),D,NCC,1,,1.0,8.0,4.0,7.0,31.0,Pass,Incomplete,0.0,,,Incomplete,D Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,10:04,1504,0,7,7,3,3,3,,,,,,,
