PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,La Verne,K,VERNE,1,,,,,,,KO Rec,Return,,,,,,,,,Arthur Delgado,,,,,,,Andres Ruvalcab,22,30.0,Kapena Kamakawi,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,La Verne,O,WHITTIER,1,,1.0,1.0,0.0,10.0,-30.0,Pass,Complete,19.0,,Nicholas Burton,Complete,Moises Gonzalez,,,,KJ Macatiag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:49,1789,0,0,0,3,3,3,,,,,,,
3,La Verne,O,WHITTIER,1,,1.0,2.0,1.0,10.0,-49.0,Run,Rush,7.0,Chandler McCaff,,,,,,,Khary Sanders,Isaiah Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:49,1789,0,0,0,3,3,3,,,,,,,
4,La Verne,O,WHITTIER,1,,1.0,3.0,2.0,3.0,44.0,Pass,Complete,4.0,,Nicholas Burton,Complete,Moises Gonzalez,,,,Derek Guzman,Artist Orange I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:49,1789,0,0,0,3,3,3,,,,,,,
5,La Verne,O,WHITTIER,1,,1.0,4.0,1.0,10.0,40.0,Run,Rush,-1.0,Chandler McCaff,,,,,,,KJ Macatiag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:49,1789,0,0,0,3,3,3,face mask,VERNE,,,,,15.0
6,La Verne,O,WHITTIER,1,,1.0,5.0,1.0,10.0,26.0,Pass,Incomplete,0.0,,Nicholas Burton,Incomplete,Tyson Tapley,,,,Raymond Moronez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:49,1789,0,0,0,3,3,3,,,,,,,
7,La Verne,O,WHITTIER,1,,1.0,6.0,2.0,10.0,26.0,Pass,Incomplete,0.0,,Nicholas Burton,Incomplete,Hakim Williams,,,,Derek Guzman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:49,1789,0,0,0,3,3,3,,,,,,,
8,La Verne,,WHITTIER,1,,,,3.0,10.0,26.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whittier,,,,,,,14:49,1789,0,0,0,3,3,3,,,,,,,
9,La Verne,O,WHITTIER,1,,1.0,7.0,3.0,10.0,26.0,Pass,Complete,5.0,,Nicholas Burton,Complete,Tyson Tapley,,,,Artist Orange I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,12:12,1632,0,0,0,2,2,3,,,,,,,
10,La Verne,K,WHITTIER,1,,,,4.0,5.0,21.0,FG,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noah Handel,37.0,Good,,,,,,,,,,12:12,1632,0,0,0,2,2,3,,,,,,,
11,La Verne,K,WHITTIER,1,,,,,,,KO,Return,,,,,,,,,Alex Ortiz-Vale,Andrew Tarango,,,,,,Jacob Barriga,17,30.0,Noah Handel,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,11:23,1583,3,0,3,2,2,3,,,,,,,
12,La Verne,D,VERNE,1,,1.0,1.0,0.0,10.0,-30.0,Run,Rush,20.0,Abel Cueva,,,,,,,Matt Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15,1575,0,3,3,2,3,2,,,,,,,
13,La Verne,D,VERNE,1,,1.0,2.0,1.0,10.0,-50.0,Run,Rush,2.0,Abel Cueva,,,,,,,Hussayn Abdul-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15,1575,0,3,3,2,3,2,,,,,,,
14,La Verne,D,VERNE,1,,1.0,3.0,2.0,8.0,48.0,Run,Rush,1.0,Abel Cueva,,,,,,,Nicholas Hanama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15,1575,0,3,3,2,3,2,,,,,,,
15,La Verne,D,VERNE,1,,1.0,4.0,3.0,7.0,47.0,Pass,Incomplete,0.0,,Tyrone Williams,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,11:15,1575,0,3,3,2,3,2,intentional grounding,VERNE,Tyrone Williams,,,,0.0
16,La Verne,D,VERNE,1,,1.0,5.0,3.0,7.0,47.0,Pass,Complete,46.0,,Tyrone Williams,Complete,Jonathon Torres,,,,Sha'Cobe Marzet,Sam Aseh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15,1575,0,3,3,2,3,2,,,,,,,
17,La Verne,D,VERNE,1,,1.0,6.0,1.0,1.0,1.0,Run,Rush,1.0,Abel Cueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,11:15,1575,0,3,3,2,3,2,,,,,,,
18,La Verne,K,VERNE,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapena Kamakawi,,,Good,,,,,,,,,08:46,1426,6,3,-3,2,3,2,,,,,,,
19,La Verne,K,VERNE,1,,,,,,,KO Rec,Return,,,,,,,,,Mason Montanez,,,,,,,Hakim Williams,18,26.0,Kapena Kamakawi,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,08:46,1426,7,3,-4,2,3,2,,,,,,,
20,La Verne,,WHITTIER,1,,,,1.0,10.0,-26.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whittier,,,,,,,08:40,1420,3,7,-4,2,2,3,,,,,,,
21,La Verne,O,WHITTIER,1,,2.0,1.0,0.0,10.0,-26.0,Run,Rush,3.0,Chandler McCaff,,,,,,,Tyler Le,JaVontay Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:40,1420,3,7,-4,1,1,3,,,,,,,
22,La Verne,O,WHITTIER,1,,2.0,2.0,2.0,7.0,-29.0,Pass,Incomplete,0.0,,Nicholas Burton,Incomplete,Moises Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:40,1420,3,7,-4,1,1,3,,,,,,,
23,La Verne,O,WHITTIER,1,,2.0,3.0,3.0,7.0,-29.0,Pass,Incomplete,0.0,,Nicholas Burton,Incomplete,Hakim Williams,,,,Mason Montanez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:40,1420,3,7,-4,1,1,3,,,,,,,
