PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Carnegie Mellon,K,CMU,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Evan Roper,,,,,,,Matthew Fiesta,15,22.0,Cole Hanna,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Carnegie Mellon,O,WHTWTRAV,1,,1.0,1.0,0.0,10.0,-22.0,Coming Out,Pass,Complete,3.0,,,Jaedyn Prewitt,,,Complete,Riley Morrison,,,,Jackson Lajoie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Carnegie Mellon,O,WHTWTRAV,1,,1.0,2.0,2.0,7.0,-25.0,Coming Out,Run,Rush,1.0,Solo Hines,,,,,,,,,,Ben Coyne,Eric Hoeffel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Carnegie Mellon,,WHTWTRAV,1,,,,3.0,6.0,-26.0,Gold Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitworth,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Carnegie Mellon,O,WHTWTRAV,1,,1.0,3.0,3.0,6.0,-26.0,Gold Zone,Pass,Complete,7.0,,,Jaedyn Prewitt,,,Complete,Solo Hines,,,,A. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:30,1710,0,0,0,2,2,3,,,,,,,
6,Carnegie Mellon,O,WHTWTRAV,1,,1.0,4.0,1.0,10.0,-33.0,Gold Zone,Run,Rush,-4.0,Solo Hines,,,,,,,,,,Logan Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,2,2,3,,,,,,,
7,Carnegie Mellon,O,WHTWTRAV,1,,1.0,5.0,2.0,14.0,-29.0,Gold Zone,Pass,Complete,12.0,,,Jaedyn Prewitt,,,Complete,Riley Morrison,,,,Jackson Lajoie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,2,2,3,,,,,,,
8,Carnegie Mellon,O,WHTWTRAV,1,,1.0,6.0,3.0,2.0,-41.0,Gold Zone,Run,Rush,0.0,Ryan Black,,,,,,,,,,Vincent Ceci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:30,1710,0,0,0,2,2,3,,,,,,,
9,Carnegie Mellon,K,WHTWTRAV,1,,,,4.0,2.0,-41.0,Gold Zone,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,23.0,Fair Catch,,,,,,,,,,,,,,13:30,1710,0,0,0,2,2,3,,,,,,,
10,Carnegie Mellon,D,CMU,1,,1.0,1.0,0.0,10.0,-23.0,Coming Out,Run,Rush,2.0,Tre Vasiliadis,,,,,,,,,,Derrick Platt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,0,0,2,3,2,,,,,,,
