PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wilkes University,K,KEYSTONE,1,,,,,,,,KO,Return,,,,,,,,,,,,Jayon Burnside,,,,,,,W. Lewis,29,40.0,Josue Hernandez,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wilkes University,D,WUFB,1,,1.0,1.0,0.0,10.0,-40.0,Gold Zone,Pass,Complete,17.0,,,I. Rodriguez,,,Complete,E. Jules,,,,Jeremyiah Johns,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Wilkes University,D,WUFB,1,,1.0,2.0,1.0,10.0,43.0,Go Zone,Run,Rush,3.0,W. Lewis,,,,,,,,,,Jamir Spencer-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Wilkes University,D,WUFB,1,,1.0,3.0,2.0,7.0,40.0,Go Zone,Run,Rush,7.0,W. Lewis,,,,,,,,,,Jeremyiah Johns,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Wilkes University,D,WUFB,1,,1.0,4.0,1.0,10.0,33.0,Take A Shot,Pass,Complete,25.0,,,I. Rodriguez,,,Complete,E. Jules,,,,Sean Pettway,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Wilkes University,D,WUFB,1,,1.0,5.0,1.0,8.0,8.0,Red Zone,Run,Rush,3.0,I. Rodriguez,,,,,,,,,,Tyshaun McClain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,Wilkes University,D,WUFB,1,,1.0,6.0,2.0,5.0,5.0,Red Zone Low,Run,Rush,4.0,W. Lewis,,,,,,,,,,Sean Pettway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
8,Wilkes University,D,WUFB,1,,1.0,7.0,3.0,1.0,1.0,Red Zone Low,Run,Rush,1.0,W. Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
9,Wilkes University,D,WUFB,1,,1.0,8.0,0.0,3.0,3.0,Red Zone Low,Pass,No Good,,,,J. Schweizerhof,,,,,,,,fumbled,,,,,,,,,,,,,,,,,,,,,,,,No Good,,,,,,,TD,10:45,1545,6,0,-6,3,3,3,,,,,,,
10,Wilkes University,K,WUFB,1,,,,1.0,-35.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,B. Schwanewede,J. Mazuera,,,,,,Zac Cost,19,38.0,B. Shire,46.0,19.0,Return,,,,,,,,,,,,,,,,,,,10:45,1545,6,0,-6,3,3,3,,,,,,,
11,Wilkes University,O,KEYSTONE,1,,1.0,1.0,0.0,10.0,-38.0,Gold Zone,Run,Rush,7.0,Mujaheed Muhamm,,,,,,,,,,B. Holcomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:38,1538,0,6,-6,3,3,3,,,,,,,
12,Wilkes University,O,KEYSTONE,1,,1.0,2.0,2.0,3.0,-45.0,Go Zone,Run,Rush,3.0,Jorden Cook,,,,,,,,,,Mackey-Woodson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:38,1538,0,6,-6,3,3,3,,,,,,,
13,Wilkes University,O,KEYSTONE,1,,1.0,3.0,1.0,10.0,-48.0,Go Zone,Run,Rush,0.0,Mujaheed Muhamm,,,,,,,,,,A. Ramos,B. Holcomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:38,1538,0,6,-6,3,3,3,,,,,,,
14,Wilkes University,O,KEYSTONE,1,,1.0,4.0,2.0,10.0,-48.0,Go Zone,Pass,Incomplete,0.0,,,Tom Roach,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:38,1538,0,6,-6,3,3,3,,,,,,,
15,Wilkes University,O,KEYSTONE,1,,1.0,5.0,3.0,10.0,-48.0,Go Zone,Pass,Complete,7.0,,,Tom Roach,,,Complete,Zac Cost,,,,J. Addesso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:38,1538,0,6,-6,3,3,3,,,,,,,
16,Wilkes University,O,KEYSTONE,1,,1.0,6.0,4.0,3.0,45.0,Go Zone,Run,Rush,4.0,Sean Tocci,,,,,,,,,,B. Holcomb,J. Addesso,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:38,1538,0,6,-6,3,3,3,,,,,,,
17,Wilkes University,O,KEYSTONE,1,,1.0,7.0,1.0,10.0,41.0,Go Zone,Pass,Incomplete,0.0,,,Tom Roach,,,Incomplete,Chad Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:38,1538,0,6,-6,3,3,3,,,,,,,
18,Wilkes University,O,KEYSTONE,1,,1.0,8.0,2.0,10.0,41.0,Go Zone,Pass,Complete,18.0,,,Tom Roach,,,Complete,Jorden Cook,,,,J. Addesso,J. Hernandez,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:38,1538,0,6,-6,3,3,3,,,,,,,
