PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Puget Sound,K,UPS,1,,,,,,,KO Ret,Out of bounds,,,,,,,,,,,,,,,,,,,Jonah Mendelsohn,43.0,22.0,Out of bounds,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Puget Sound,O,WIL,1,,1.0,1.0,0.0,10.0,-35.0,Pass,Incomplete,0.0,,Aidan pass Kuykendall,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Puget Sound,O,WIL,1,,1.0,2.0,2.0,10.0,-35.0,Pass,Complete,11.0,,Aidan pass Kuykendall,Complete,Max for Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Puget Sound,O,WIL,1,,1.0,3.0,1.0,10.0,-46.0,Pass,Complete,6.0,,Aidan pass Kuykendall,Complete,Max for Andersen,,,,Izaiah Jerenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Puget Sound,O,WIL,1,,1.0,4.0,2.0,4.0,48.0,Run,Rush,9.0,Aidan rush Kuykendall,,,,,,,Izaiah Jerenz,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Puget Sound,O,WIL,1,,1.0,5.0,1.0,10.0,39.0,Run,Rush,13.0,Aidan rush Kuykendall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Puget Sound,O,WIL,1,,1.0,6.0,1.0,10.0,26.0,Pass,Complete,5.0,,Aidan pass Kuykendall,Complete,Sam for Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Puget Sound,O,WIL,1,,1.0,7.0,2.0,5.0,21.0,Pass,Complete,21.0,,Aidan pass Kuykendall,Complete,Noah for Niblett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Puget Sound,K,WIL,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camdin kick Dirnberger,,,Good,,,,,,,,,12:10,1630,6,0,6,3,3,3,,,,,,,
10,Puget Sound,K,WIL,1,,,,,,,KO,Return,,,,,,,,,Luke Lowe,,,,,,,Tyler Stone,15,34.0,Camdin kickoff Dirnberger,46.0,19.0,Return,,,,,,,,,,,,,,,,,,,12:10,1630,7,0,7,3,3,3,,,,,,,
