PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lincoln (CA),K,LIN,1,,,,,,,KO Ret,Return,,,,,,,,,David Walker,,,,,,,,17,32.0,Oswaldo Ochoa,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lincoln (CA),O,WIL,1,,1.0,1.0,0.0,10.0,-32.0,Run,Rush,1.0,,,,,,,,14:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Lincoln (CA),O,WIL,1,,1.0,2.0,2.0,9.0,-33.0,Pass,Complete,1.0,,,Complete,Noah for Niblett,,,,13:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:48,1788,0,0,0,3,3,3,,,,,,,
4,Lincoln (CA),O,WIL,1,,1.0,3.0,3.0,8.0,-34.0,Pass,Complete,1.0,,,Complete,Noah for Niblett,,,,13:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:56,1736,0,0,0,3,3,3,,,,,,,
5,Lincoln (CA),K,WIL,1,,,,4.0,9.0,-33.0,Punt,Return,,,,,,,,,13:08,,,,,,,Faizon Knight,45,-31.0,,,,,,,43.0,24.0,Return,,,,,,,,,,,,,,13:08,1688,0,0,0,3,3,3,,,,,,,
6,Lincoln (CA),D,LIN,1,,1.0,1.0,0.0,10.0,31.0,Pass,Complete,3.0,,,Complete,Damone Drew,,,,12:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
7,Lincoln (CA),D,LIN,1,,1.0,2.0,2.0,7.0,28.0,Pass,Complete,4.0,,,Complete,Je'Quari Godfrey,,,,11:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:10,1630,0,0,0,3,3,3,,,,,,,
8,Lincoln (CA),D,LIN,1,,1.0,3.0,3.0,3.0,24.0,Run,Rush,4.0,,,,,,,,10:46,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:26,1586,0,0,0,3,3,3,,,,,,,
9,Lincoln (CA),D,LIN,1,,1.0,4.0,1.0,10.0,20.0,Run,Rush,2.0,,,,,,,,10:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,1546,0,0,0,3,3,3,,,,,,,
10,Lincoln (CA),D,LIN,1,,1.0,5.0,2.0,8.0,18.0,Pass,Incomplete,0.0,,,Incomplete,Lamar Housely,,,,10:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:29,1529,0,0,0,3,3,3,,,,,,,
11,Lincoln (CA),D,LIN,1,,1.0,6.0,3.0,8.0,18.0,Run,Rush,18.0,,,,,,,,10:19,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,10:29,1529,0,0,0,3,3,3,,,,,,,
12,Lincoln (CA),K,LIN,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oswaldo Ochoa,,,Good,,,,,,,,,10:19,1519,6,0,-6,3,3,3,,,,,,,
13,Lincoln (CA),K,LIN,1,,,,,,,KO Ret,Return,,,,,,,,,Larry Whitfield,,,,,,,,23,38.0,Oswaldo Ochoa,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,10:19,1519,7,0,-7,3,3,3,,,,,,,
14,Lincoln (CA),O,WIL,1,,2.0,1.0,0.0,10.0,-38.0,Pass,Sack,-5.0,,,Sack,,,,,10:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:13,1513,0,7,-7,3,3,3,,,,,,,
15,Lincoln (CA),,WIL,1,,,,2.0,15.0,-33.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:06,1506,0,7,-7,3,3,3,Delay Of Game,WIL,,,,,5.0
16,Lincoln (CA),O,WIL,1,,2.0,2.0,2.0,20.0,-28.0,Pass,Incomplete,0.0,,,Incomplete,,,,,08:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:06,1506,0,7,-7,3,3,3,,,,,,,
17,Lincoln (CA),O,WIL,1,,2.0,3.0,3.0,20.0,-28.0,Pass,Incomplete,0.0,,,Incomplete,,,,,08:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:49,1429,0,7,-7,3,3,3,,,,,,,
18,Lincoln (CA),K,WIL,1,,,,4.0,20.0,-28.0,Punt,Return,,,,,,,,,08:39,,,,,,,Jaquez Williams-Christ,36,-35.0,,,,,,,43.0,29.0,Return,,,,,,,,,,,,,,08:44,1424,0,7,-7,3,3,3,Personal Foul,LIN,Damone Drew,,,,15.0
19,Lincoln (CA),D,LIN,1,,2.0,1.0,0.0,10.0,-23.0,Pass,Complete,30.0,,,Complete,Larry Whitfield,,,,08:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,08:25,1405,7,0,-7,3,3,3,Illegal Block in Back,LIN,Terence Robertson,,,,10.0
20,Lincoln (CA),D,LIN,1,,2.0,2.0,1.0,20.0,-13.0,Run,Rush,1.0,Lamar Housely,,,,,,,Keaton Adams,Dom Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:14,1394,7,0,-7,3,3,3,,,,,,,
21,Lincoln (CA),D,LIN,1,,2.0,3.0,2.0,19.0,-14.0,Pass,Incomplete,0.0,,,Incomplete,Demond Short,,,,07:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:14,1394,7,0,-7,3,3,3,,,,,,,
