PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bates,K,WILLIAMS,1,,,,,,,KO,Return,,,,,,,,,Ethan Scott,,,,,,,Christian Olivi,13,19.0,Ivan Shuran,54.0,6.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Bates,D,BATES,1,,1.0,1.0,0.0,10.0,-19.0,Pass,Incomplete,0.0,,Brendan Costa,Incomplete,Christian Olivi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Bates,D,BATES,1,,1.0,2.0,2.0,10.0,-19.0,Pass,Complete,7.0,,Brendan Costa,Complete,Derek Marino,,,,Rocco Giandomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Bates,D,BATES,1,,1.0,3.0,3.0,3.0,-26.0,Pass,Complete,6.0,,Brendan Costa,Complete,Sean Bryant,,,,Alex Dehmel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Bates,D,BATES,1,,1.0,4.0,1.0,10.0,-32.0,Run,Rush,2.0,,Chris Capo,,,,,,Coleston Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Bates,D,BATES,1,,1.0,5.0,2.0,8.0,-34.0,Pass,Incomplete,0.0,,Brendan Costa,Incomplete,Chris Capo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Bates,D,BATES,1,,1.0,6.0,3.0,8.0,-34.0,Pass,Complete,11.0,,Brendan Costa,Complete,Derek Marino,,,,Chaz Cotton,Drew Michalek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Bates,D,BATES,1,,1.0,7.0,1.0,10.0,-45.0,Run,Rush,3.0,,Chris Capo,,,,,,C.J Vilfort,Coleston Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Bates,D,BATES,1,,1.0,8.0,2.0,7.0,-48.0,Pass,Incomplete,0.0,,Brendan Costa,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Bates,D,BATES,1,,1.0,9.0,3.0,7.0,-48.0,Run,Rush,4.0,,Brendan Costa,,,,,,Coleston Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Bates,D,BATES,1,,1.0,10.0,4.0,3.0,48.0,Pass,Complete,11.0,,Brendan Costa,Complete,Sean Bryant,,,,James Hemmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Bates,D,BATES,1,,1.0,11.0,1.0,10.0,37.0,Run,Rush,0.0,,Brendan Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Bates,D,BATES,1,,1.0,12.0,2.0,10.0,37.0,Pass,Complete,31.0,,Brendan Costa,Complete,Chris Capo,,,,Drew Michalek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
14,Bates,D,BATES,1,,1.0,13.0,1.0,6.0,6.0,Pass,Incomplete,0.0,,Brendan Costa,Incomplete,Derek Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
15,Bates,D,BATES,1,,1.0,14.0,2.0,6.0,6.0,Run,Rush,-7.0,,Caleb Bolden,,,,,,Ian Devine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
16,Bates,D,BATES,1,,1.0,15.0,3.0,13.0,13.0,Pass,Incomplete,0.0,,Brendan Costa,Incomplete,Sean Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,15:00,1800,0,0,0,3,3,3,,,,,,,
17,Bates,K,BATES,1,,,,4.0,13.0,13.0,FG Block,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ian Devine,Simon Redfern,30.0,Blocked,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
18,Bates,O,WILLIAMS,1,,1.0,1.0,0.0,10.0,-20.0,Pass,Complete,55.0,,Bobby Maimaron,Complete,Cameron Lee,,,,Jarrin Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,
19,Bates,O,WILLIAMS,1,,1.0,2.0,1.0,10.0,25.0,Run,Rush,5.0,,Dan Vaughn,,,,,,Jack Ryan,Tony Hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,
20,Bates,O,WILLIAMS,1,,1.0,3.0,2.0,5.0,20.0,Run,Rush,3.0,,Dan Vaughn,,,,,,Jack Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,
21,Bates,O,WILLIAMS,1,,1.0,4.0,3.0,2.0,17.0,Run,Rush,6.0,,Dan Vaughn,,,,,,Mike Bulman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,
22,Bates,O,WILLIAMS,1,,1.0,5.0,1.0,10.0,11.0,Run,Rush,5.0,,Joel Nicholas,,,,,,Tony Hooks,Mike Bulman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,
23,Bates,O,WILLIAMS,1,,1.0,6.0,2.0,5.0,6.0,Pass,Sack,-4.0,,Bobby Maimaron,Sack,,,,,Jack Ryan,Mike Bulman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,
24,Bates,O,WILLIAMS,1,,1.0,7.0,3.0,9.0,10.0,Run,Rush,6.0,,Joel Nicholas,,,,,,Spencer Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,08:35,1415,0,0,0,3,3,3,,,,,,,
25,Bates,K,WILLIAMS,1,,,,4.0,3.0,4.0,FG,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Shuran,21.0,Good,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,
26,Bates,K,WILLIAMS,1,,,,1.0,10.0,-40.0,KO,Return,,,,,,,,,Zach Barnes,Mario Fischetti,,,,,,Christian Olivi,11,15.0,Ivan Shuran,56.0,4.0,Return,,,,,,,,,,,,,,,,,,,04:00,1140,3,0,3,3,3,3,,,,,,,
27,Bates,D,BATES,1,,2.0,1.0,0.0,10.0,-15.0,Run,Rush,2.0,,Caleb Bolden,,,,,,C.J Vilfort,T.J. Rothman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:52,1132,0,3,3,3,3,3,,,,,,,
28,Bates,D,BATES,1,,2.0,2.0,2.0,8.0,-17.0,Pass,Incomplete,0.0,,Brendan Costa,Incomplete,Liam Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:52,1132,0,3,3,3,3,3,,,,,,,
29,Bates,D,BATES,1,,2.0,3.0,3.0,8.0,-17.0,Pass,Incomplete,0.0,,Brendan Costa,Incomplete,Derek Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,03:52,1132,0,3,3,3,3,3,,,,,,,
