PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Southern Virginia,K,WCQ,1,,,,,,,,KO,Return,,,,,,,,,,,,Sean Hollenbeck,Joey Weikel,,,,,,Jireek Washington,0,25.0,Connor Bucksath,40.0,25.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Southern Virginia,D,SVU,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Pass,Complete,7.0,,,Colten Shumway,short,middle,Complete,Jake Schenk,,,,Jake Sheriff,Joey Weikel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Southern Virginia,D,SVU,1,,1.0,2.0,2.0,3.0,-32.0,Gold Zone,Run,Rush,5.0,Jacob Wood,middle,,,,,,,,,Devin Speck,Jarod Lee,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,Southern Virginia,D,SVU,1,,1.0,3.0,1.0,10.0,-37.0,Gold Zone,Run,Rush,-3.0,Colten Shumway,right,,,,,,,,,Austin Aiello,Quentin Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Southern Virginia,D,SVU,1,,1.0,4.0,2.0,13.0,-34.0,Gold Zone,Pass,Incomplete,0.0,,,Colten Shumway,short,middle,Incomplete,Jalan Troy,Jarod Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Southern Virginia,D,SVU,1,,1.0,5.0,3.0,13.0,-34.0,Gold Zone,Pass,Complete,2.0,,,Colten Shumway,short,right,Complete,Jacob Wood,,,,Jarod Lee,Joey Weikel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,1795,0,0,0,3,3,3,,,,,,,
7,Southern Virginia,K,SVU,1,,,,4.0,15.0,-32.0,Gold Zone,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake Schenk,33.0,35.0,Out of bounds,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
8,Southern Virginia,O,WCQ,1,,1.0,1.0,0.0,10.0,-35.0,Gold Zone,Run,Rush,3.0,Yvan Tientcheu,middle,,,,,,,,,Kymani VaiVai,Colby Hyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:06,1626,0,0,0,3,3,3,,,,,,,
9,Southern Virginia,O,WCQ,1,,1.0,2.0,2.0,7.0,-38.0,Gold Zone,Run,Rush,2.0,Yvan Tientcheu,right,,,,,,,,,Kymani VaiVai,Cole Oldham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:06,1626,0,0,0,3,3,3,,,,,,,
10,Southern Virginia,O,WCQ,1,,1.0,3.0,3.0,5.0,-40.0,Gold Zone,Pass,Complete,6.0,,,Adam Dixon,short,left,Complete,Courtland Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:06,1626,0,0,0,3,3,3,,,,,,,
