PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Otterbein,K,WIL,1,,,,,,,,KO,Return,,,,,,,,,,,,Justin Harrison,,,,,,,,11,20.0,Seth Best,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Otterbein,D,OTT,1,,1.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,8.0,No Huddle-Shotgun,left,,,,,,,,,Jarod Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
3,Otterbein,D,OTT,1,,1.0,2.0,2.0,2.0,-28.0,Gold Zone,Run,Rush,-9.0,No Huddle-Shotgun,middle,,,,,,,,,Zac Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
4,Otterbein,D,OTT,1,,1.0,3.0,3.0,11.0,-19.0,Coming Out,Pass,Sack,-11.0,,,,,,Sack,,,,,Alijah Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:56,1796,0,0,0,3,3,3,,,,,,,
5,Otterbein,,OTT,1,,,,4.0,22.0,-8.0,Backed Up,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilmington (OH),,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
6,Otterbein,K,OTT,1,,,,4.0,22.0,-8.0,Backed Up,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adyn punt Snyder,45.0,47.0,,,,,,,,,,,,,,,13:54,1734,0,0,0,3,3,3,,,,,,,
7,Otterbein,O,WIL,1,,1.0,1.0,0.0,10.0,-47.0,Go Zone,Pass,Complete,3.0,,,Adam Dixon,short,right,Complete,Taurus Hill,,,,Zach Hymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
8,Otterbein,O,WIL,1,,1.0,2.0,2.0,7.0,-50.0,Go Zone,Pass,Complete,5.0,,,Adam Dixon,short,left,Complete,Ace Taylor,,,,Tayon Howard,Zach Hymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
9,Otterbein,O,WIL,1,,1.0,3.0,3.0,2.0,45.0,Go Zone,Pass,Interception,0.0,,,Adam Dixon,,,Interception,,,Colton at Doup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interception,13:39,1719,0,0,0,3,3,3,,,,,,,
10,Otterbein,D,OTT,1,,2.0,1.0,0.0,10.0,-43.0,Gold Zone,Pass,Complete,5.0,,,,short,right,Complete,Adyn for Snyder,,,,Jalaun Covington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:23,1643,0,0,0,3,3,3,,,,,,,
11,Otterbein,D,OTT,1,,2.0,2.0,2.0,5.0,-48.0,Go Zone,Pass,Complete,8.0,,,,short,right,Complete,Damien for Whaley,,,,Jalaun Covington,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:23,1643,0,0,0,3,3,3,,,,,,,
12,Otterbein,D,OTT,1,,2.0,3.0,1.0,10.0,44.0,Go Zone,Run,Rush,9.0,No Huddle-Shotgun,middle,,,,,,,,,Jake Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:23,1643,0,0,0,3,3,3,,,,,,,
13,Otterbein,D,OTT,1,,2.0,4.0,2.0,1.0,35.0,Take A Shot,Run,Rush,0.0,No Huddle-Shotgun,left,,,,,,,,,Trafford Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:23,1643,0,0,0,3,3,3,,,,,,,
14,Otterbein,D,OTT,1,,2.0,5.0,3.0,1.0,35.0,Take A Shot,Run,Rush,0.0,No Huddle-Shotgun,middle,,,,,,,,,Jake Sheriff,Christian Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:23,1643,0,0,0,3,3,3,,,,,,,
15,Otterbein,D,OTT,1,,2.0,6.0,4.0,1.0,35.0,Take A Shot,Run,Rush,0.0,No Huddle-Shotgun,right,,,,,,,,,Austin Aiello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,12:23,1643,0,0,0,3,3,3,,,,,,,
16,Otterbein,O,WIL,1,,2.0,1.0,0.0,10.0,-35.0,Gold Zone,Run,Rush,7.0,Ben Hobbs,right,,,,,,,,,Nick Cipriano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,0,0,3,3,3,,,,,,,
17,Otterbein,O,WIL,1,,2.0,2.0,2.0,3.0,-42.0,Gold Zone,Run,Rush,0.0,Ben Hobbs,middle,,,,,,,,,Travis Clodfelter,Nick Cipriano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,0,0,3,3,3,,,,,,,
18,Otterbein,O,WIL,1,,2.0,3.0,3.0,3.0,-42.0,Gold Zone,Pass,Complete,29.0,,,Adam Dixon,deep,middle,Complete,Lathan Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:44,1484,0,0,0,3,3,3,,,,,,,
19,Otterbein,O,WIL,1,,2.0,4.0,1.0,10.0,29.0,Take A Shot,Pass,Incomplete,0.0,,,Adam Dixon,short,right,Incomplete,Ace Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,0,0,3,3,3,,,,,,,
20,Otterbein,O,WIL,1,,2.0,5.0,2.0,10.0,29.0,Take A Shot,Pass,Sack,-8.0,,,Adam Dixon,,,Sack,,,,,Travis Clodfelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,0,0,0,3,3,3,,,,,,,
