PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Berry,K,BER,1,,,,,,,KO Ret,Return,,,,,,,,,Cameron Kawa,Shaquan Brooks,,,,,,Sam DeLany,18,24.0,Christian Rivera,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Berry,O,UWW,1,,1.0,1.0,0.0,10.0,-24.0,Pass,Complete,6.0,,Max Meylor,Complete,Ryan Wisniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Berry,O,UWW,1,,1.0,2.0,2.0,4.0,-30.0,Run,Rush,2.0,Alex Peete,,,,,,,Connor Cheyunski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Berry,,UWW,1,,,,3.0,2.0,-32.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,False Start ,UWW,,,,,5.0
5,Berry,O,UWW,1,,1.0,3.0,3.0,7.0,-27.0,Run,Rush,6.0,Max Meylor,,,,,,,Jake Weitkamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Berry,K,UWW,1,,,,4.0,1.0,-33.0,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Nate Custer,28.0,39.0,Out of bounds,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Berry,D,BER,1,,1.0,1.0,0.0,10.0,-39.0,Pass,Incomplete,0.0,,Gavin Gray,Incomplete,Tarin Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:42,1662,0,0,0,3,3,3,,,,,,,
8,Berry,D,BER,1,,1.0,2.0,2.0,10.0,-39.0,Pass,Complete,6.0,,Gavin Gray,Complete,Brandon Cade,,,,Shane McGrail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:42,1662,0,0,0,3,3,3,,,,,,,
9,Berry,D,BER,1,,1.0,3.0,3.0,4.0,-45.0,Pass,Complete,16.0,,Gavin Gray,Complete,Tarin Westbrook,,,Reed Farrington,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:42,1662,0,0,0,3,3,3,,,,,,,
10,Berry,D,BER,1,,1.0,4.0,1.0,10.0,39.0,Run,Rush,3.0,Brandon Cade,,,,,,,Justin Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:42,1662,0,0,0,3,3,3,,,,,,,
11,Berry,D,BER,1,,1.0,5.0,2.0,7.0,36.0,Pass,Incomplete,0.0,,Gavin Gray,Incomplete,Cameron Kawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:42,1662,0,0,0,3,3,3,,,,,,,
12,Berry,D,BER,1,,1.0,6.0,3.0,7.0,36.0,Pass,Incomplete,0.0,,Gavin Gray,Incomplete,Brandon Cade,,,Niko Lemke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:42,1662,0,0,0,3,3,3,,,,,,,
13,Berry,K,BER,1,,,,4.0,7.0,36.0,Punt Ret,Touchback,,,,,,,,,,,,,,,,,,,,,,,,Mathew Syverson,36.0,0.0,Touchback,,,,,,,,,,,,,,12:42,1662,0,0,0,3,3,3,,,,,,,
14,Berry,O,UWW,1,,2.0,1.0,0.0,10.0,-20.0,Pass,Incomplete,0.0,,Max Meylor,Incomplete,Ryan Wisniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:55,1495,0,0,0,3,3,3,,,,,,,
15,Berry,O,UWW,1,,2.0,2.0,2.0,10.0,-20.0,Pass,Incomplete,0.0,,Max Meylor,Incomplete,Derek Kumerow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:55,1495,0,0,0,3,3,3,,,,,,,
16,Berry,O,UWW,1,,2.0,3.0,3.0,10.0,-20.0,Run,Rush,14.0,Max Meylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:55,1495,0,0,0,3,3,3,,,,,,,
17,Berry,O,UWW,1,,2.0,4.0,1.0,10.0,-34.0,Run,Rush,8.0,Alex Peete,,,,,,,Jake Weitkamp,Elohim Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:55,1495,0,0,0,3,3,3,,,,,,,
18,Berry,O,UWW,1,,2.0,5.0,2.0,2.0,-42.0,Pass,Incomplete,0.0,,Max Meylor,Incomplete,Derek Kumerow,Devin Grier,,Brock Skinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:55,1495,0,0,0,3,3,3,,,,,,,
19,Berry,O,UWW,1,,2.0,6.0,3.0,2.0,-42.0,Run,Rush,5.0,Alex Peete,,,,,,,Jake Weitkamp,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:55,1495,0,0,0,3,3,3,,,,,,,
20,Berry,O,UWW,1,,2.0,7.0,1.0,10.0,-47.0,Pass,Incomplete,0.0,,Max Meylor,Incomplete,Ryan Wisniewski,Kristofer Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,09:55,1495,0,0,0,3,3,3,Pass Interference,BER,,,,,15.0
