PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,UW-Oshkosh,K,UWO,1,,,,,,,KO Ret,Return,,,,,,,,,Daniel Fynaardt,,,,,,,Ryan Wisniewski,18,21.0,Jaydon Haag,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,UW-Oshkosh,O,UWW,1,,1.0,1.0,0.0,10.0,-21.0,Pass,Complete,6.0,,Max Meylor,Complete,Derek Kumerow,,,,Tyler Staerkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,UW-Oshkosh,O,UWW,1,,1.0,2.0,2.0,4.0,-27.0,Run,Rush,3.0,Alex Peete,,,,,,,Tory Jandrin,Brandon Kolgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,UW-Oshkosh,O,UWW,1,,1.0,3.0,3.0,1.0,-30.0,Run,Rush,2.0,Alex Peete,,,,,,,Mitch Borkovec,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,UW-Oshkosh,O,UWW,1,,1.0,4.0,1.0,10.0,-32.0,Run,Rush,2.0,Alex Peete,,,,,,,Trenton LaCombe,Tory Jandrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,UW-Oshkosh,O,UWW,1,,1.0,5.0,2.0,8.0,-34.0,Run,Rush,2.0,Max Meylor,,,,,,,Brandon Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,UW-Oshkosh,O,UWW,1,,1.0,6.0,3.0,6.0,-36.0,Pass,Complete,5.0,,Max Meylor,Complete,Ryan Wisniewski,,,,Nick Noethe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
8,UW-Oshkosh,K,UWW,1,,,,4.0,1.0,-41.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Nate Custer,32.0,27.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,UW-Oshkosh,D,UWO,1,,1.0,1.0,0.0,10.0,-27.0,Pass,Complete,4.0,,Kobe Berghammer,Complete,Tony Steger,,,,A. Sturdevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,0,0,3,3,3,,,,,,,
10,UW-Oshkosh,D,UWO,1,,1.0,2.0,2.0,6.0,-31.0,Run,Rush,3.0,Mitch Gerhartz,,,,,,,Egon Hein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,0,0,3,3,3,,,,,,,
