PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lakeland,K,LAK,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Matt Glogowski,,,,,,,Jordan Jewell,13,25.0,Payton LoBianco,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lakeland,O,WLC,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,1.0,Justin Parbs,left,,,,,,,,,Justin McMahon,Quintrell Randle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Lakeland,O,WLC,1,,1.0,2.0,2.0,9.0,-26.0,Gold Zone,Pass,Incomplete,0.0,,,Matthew Davis,short,right,Incomplete,Jordan Jewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:55,1795,0,0,0,3,3,3,Offside,LAK,Vyron Roquist-Wallace,,,,5.0
4,Lakeland,O,WLC,1,,1.0,3.0,2.0,4.0,-31.0,Gold Zone,Pass,Incomplete,0.0,,,Matthew Davis,short,right,Incomplete,Javier Murillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Lakeland,O,WLC,1,,1.0,4.0,3.0,4.0,-31.0,Gold Zone,Run,Rush,0.0,Justin Parbs,left,,,,,,,,,Jayson Wilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Lakeland,K,WLC,1,,,,4.0,4.0,-31.0,Gold Zone,Punt,,,,,,,,,,,,,,,True,Krystian Allen,,LAK,Krystian Allen,,,,,,,,,Drew Mears,30.0,39.0,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,Kick Catch Interference,WLC,Carter Schneider,,,,15.0
7,Lakeland,D,LAK,1,,1.0,1.0,0.0,10.0,47.0,Go Zone,Run,Rush,2.0,Jatron Bevly,right,,,,,,,,,Kyle Kubacki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:29,1709,0,0,0,3,3,3,,,,,,,
8,Lakeland,D,LAK,1,,1.0,2.0,2.0,8.0,45.0,Go Zone,Pass,Complete,5.0,,,Robert Michael,short,left,Complete,Jatron Bevly,,,,Gabe Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:29,1709,0,0,0,3,3,3,,,,,,,
9,Lakeland,D,LAK,1,,1.0,3.0,3.0,3.0,40.0,Go Zone,Run,Rush,2.0,Robert Michael,middle,,,,,,,,,Savon Goodwin,Ty Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:29,1709,0,0,0,3,3,3,,,,,,,
10,Lakeland,D,LAK,1,,1.0,4.0,4.0,1.0,38.0,Go Zone,Run,Rush,6.0,Jatron Bevly,middle,,,,,,,,,Ty Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:29,1709,0,0,0,3,3,3,,,,,,,
