PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ohio Wesleyan,K,OWU,1,,,,,,,KO Ret,Return,,,,,,,,,Zay Radcliff,,,,,,,Matt Ulishney,28,35.0,Gabe Philhower,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ohio Wesleyan,O,WOO,1,,1.0,1.0,0.0,10.0,-35.0,Pass,Incomplete,0.0,,Mateo Renteria,Incomplete,EJ Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Ohio Wesleyan,O,WOO,1,,1.0,2.0,2.0,10.0,-35.0,Run,Rush,-1.0,Troy Baughman,,,,,,,Shane Quin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Ohio Wesleyan,O,WOO,1,,1.0,3.0,3.0,11.0,-34.0,Pass,Sack,-3.0,,Mateo Renteria,Sack,,,,,K.D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Ohio Wesleyan,K,WOO,1,,,,4.0,14.0,-31.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Matt Pardi,58.0,11.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Ohio Wesleyan,D,OWU,1,,1.0,1.0,0.0,10.0,-11.0,Run,Rush,3.0,T.J. Weems,,,,,,,Neil Clayton,Domenic DeMuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
7,Ohio Wesleyan,,OWU,1,,,,2.0,7.0,-14.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,false start,OWU,Kyle Dirk,,,,5.0
8,Ohio Wesleyan,D,OWU,1,,1.0,2.0,2.0,12.0,-9.0,Pass,Complete,24.0,,Austin Womack,Complete,T.J. Weems,,,,Josh Pond,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
9,Ohio Wesleyan,D,OWU,1,,1.0,3.0,1.0,10.0,-33.0,Run,Rush,3.0,T.J. Weems,,,,,,,Andrew Armile,Domenic DeMuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
10,Ohio Wesleyan,D,OWU,1,,1.0,4.0,2.0,7.0,-36.0,Run,Rush,0.0,Hunter Swetokos,,,,,,,Neil Clayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
11,Ohio Wesleyan,D,OWU,1,,1.0,5.0,3.0,7.0,-36.0,Pass,Incomplete,0.0,,Kaden Buza,Incomplete,Jay Hines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:26,1706,0,0,0,3,3,3,,,,,,,
12,Ohio Wesleyan,K,OWU,1,,,,4.0,7.0,-36.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Gabe Philhower,54.0,10.0,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
13,Ohio Wesleyan,O,WOO,1,,2.0,1.0,0.0,10.0,-10.0,Run,Rush,2.0,Troy Baughman,,,,,,,Travis Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:12,1572,0,0,0,3,3,3,,,,,,,
14,Ohio Wesleyan,O,WOO,1,,2.0,2.0,2.0,8.0,-12.0,Pass,Complete,3.0,,Mateo Renteria,Complete,Troy Baughman,,,,Trevar Meese,Owen Albers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:12,1572,0,0,0,3,3,3,,,,,,,
15,Ohio Wesleyan,O,WOO,1,,2.0,3.0,3.0,5.0,-15.0,Pass,Complete,32.0,,Mateo Renteria,Complete,Cole Hissong,,,,Ian Riddle,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:12,1572,0,0,0,3,3,3,holding,WOO,EJ Humphries,,,,10.0
16,Ohio Wesleyan,O,WOO,1,,2.0,4.0,1.0,10.0,-37.0,Pass,Complete,7.0,,Mateo Renteria,Complete,Andrew Yanssens,,,,Trevar Meese,Owen Albers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:12,1572,0,0,0,3,3,3,,,,,,,
17,Ohio Wesleyan,O,WOO,1,,2.0,5.0,2.0,3.0,-44.0,Run,Rush,0.0,Andrew Yanssens,,,,,,,Terrell Burton,Travis Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:12,1572,0,0,0,3,3,3,,,,,,,
