PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Juniata,K,SUSQFB,1,,,,,,,KO,Return,,,,,,,,,Garrett Swank,,,,,,,Charles Debose,23,33.0,Elijah Hoffman,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Juniata,D,JCFB21,1,,1.0,1.0,0.0,10.0,33.0,Pass,Complete,2.0,,Aaron Golberg,Complete,Clay Spencer,,,,Sal Gurnari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Juniata,D,JCFB21,1,,1.0,2.0,2.0,8.0,35.0,Run,Rush,3.0,Aaron Golberg,,,,,,,A. Scicchitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Juniata,D,JCFB21,1,,1.0,3.0,3.0,5.0,38.0,Pass,Complete,11.0,,Aaron Golberg,Complete,Javon Heggs,,,,Naphtali Stine,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Juniata,D,JCFB21,1,,1.0,4.0,1.0,10.0,49.0,Run,Rush,3.0,Charles Debose,,,,,,,Josh Buck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Juniata,D,JCFB21,1,,1.0,5.0,2.0,7.0,48.0,Pass,Complete,14.0,,Aaron Golberg,Complete,Austin Nash,,,,David Gilchrist,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Juniata,D,JCFB21,1,,1.0,6.0,1.0,10.0,34.0,Run,Rush,6.0,Aaron Golberg,,,,,,,Craig Roumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Juniata,D,JCFB21,1,,1.0,7.0,2.0,4.0,28.0,Pass,Sack,-4.0,,Aaron Golberg,Sack,,,,,Riley Gaughan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Juniata,D,JCFB21,1,,1.0,8.0,3.0,8.0,32.0,Pass,Complete,2.0,,Aaron Golberg,Complete,Charles Debose,,,,John Nicosia,Craig Roumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Juniata,D,JCFB21,1,,1.0,9.0,4.0,6.0,30.0,Pass,Incomplete,0.0,,Aaron Golberg,Incomplete,Javon Heggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Juniata,O,SUSQFB,1,,1.0,1.0,0.0,10.0,-30.0,Run,Rush,3.0,Frankie Negrini,,,,,,,Logan Peachey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
12,Juniata,O,SUSQFB,1,,1.0,2.0,2.0,7.0,-33.0,Pass,Complete,3.0,,Michael Ruisch,Complete,Eddie Nugent,,,,Noah Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
13,Juniata,O,SUSQFB,1,,1.0,3.0,3.0,4.0,-36.0,Pass,Interception,0.0,,Michael Ruisch,Interception,,,Jr Harrison,,,,,,,,,Jr Harrison,14,-36.0,,,,,,,,,,,,,,,,,,,,,,Interception,10:08,1508,0,0,0,3,3,3,,,,,,,
14,Juniata,D,JCFB21,1,,2.0,1.0,0.0,10.0,36.0,Run,Rush,4.0,Charles Debose,,,,,,,Drew Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:48,1428,0,0,0,3,3,3,,,,,,,
15,Juniata,D,JCFB21,1,,2.0,2.0,2.0,6.0,32.0,Run,Rush,-2.0,Charles Debose,,,,,,,Josh Buck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:48,1428,0,0,0,3,3,3,,,,,,,
16,Juniata,D,JCFB21,1,,2.0,3.0,3.0,8.0,34.0,Pass,Complete,1.0,,Aaron Golberg,Complete,Charles Debose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:48,1428,0,0,0,3,3,3,,,,,,,
17,Juniata,D,JCFB21,1,,2.0,4.0,4.0,9.0,35.0,Pass,Incomplete,0.0,,Aaron Golberg,Incomplete,Isaiah Collison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,08:48,1428,0,0,0,3,3,3,,,,,,,
18,Juniata,O,SUSQFB,1,,2.0,1.0,0.0,10.0,-35.0,Pass,Complete,5.0,,Michael Ruisch,Complete,Eddie Nugent,,,,Seth Bernstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58,1318,0,0,0,3,3,3,,,,,,,
19,Juniata,O,SUSQFB,1,,2.0,2.0,2.0,5.0,-40.0,Pass,Complete,15.0,,Michael Ruisch,Complete,Michael Lefever,,,,Seth Bernstein,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:58,1318,0,0,0,3,3,3,,,,,,,
20,Juniata,O,SUSQFB,1,,2.0,3.0,1.0,10.0,45.0,Pass,Complete,7.0,,Michael Ruisch,Complete,Eddie Nugent,,,,Noah Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58,1318,0,0,0,3,3,3,,,,,,,
21,Juniata,O,SUSQFB,1,,2.0,4.0,2.0,3.0,38.0,Run,Rush,0.0,Frankie Negrini,,,,,,,Nathan Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58,1318,0,0,0,3,3,3,,,,,,,
22,Juniata,O,SUSQFB,1,,2.0,5.0,3.0,3.0,38.0,Pass,Complete,4.0,,Michael Ruisch,Complete,Michael Lefever,,,,Jr Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:58,1318,0,0,0,3,3,3,,,,,,,
23,Juniata,O,SUSQFB,1,,2.0,6.0,1.0,10.0,34.0,Pass,Complete,15.0,,Michael Ruisch,Complete,Kyle Good,,,,Adam Grajewski,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:58,1318,0,0,0,3,3,3,,,,,,,
24,Juniata,O,SUSQFB,1,,2.0,7.0,1.0,10.0,19.0,Run,Rush,8.0,Frankie Negrini,,,,,,,Nathan Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58,1318,0,0,0,3,3,3,,,,,,,
25,Juniata,O,SUSQFB,1,,2.0,8.0,2.0,2.0,11.0,Run,Rush,11.0,Frankie Negrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,06:58,1318,0,0,0,3,3,3,,,,,,,
26,Juniata,K,SUSQFB,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elijah Hoffman,,,Good,,,,,,,,,02:31,1051,6,0,6,3,3,3,,,,,,,
27,Juniata,K,SUSQFB,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Naphtali Stine,,,,,,,Isaiah Collison,7,10.0,Elijah Hoffman,62.0,13.0,Return,,,,,,,,,,,,,,,,,,,02:31,1051,7,0,7,3,3,3,,,,,,,
28,Juniata,D,JCFB21,1,,3.0,1.0,0.0,10.0,10.0,Run,Rush,1.0,Hunter Wolfley,,,,,,,Josh Buck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:24,1044,0,7,7,3,3,3,,,,,,,
29,Juniata,D,JCFB21,1,,3.0,2.0,2.0,9.0,11.0,Run,Rush,2.0,Hunter Wolfley,,,,,,,Craig Roumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:24,1044,0,7,7,3,3,3,,,,,,,
30,Juniata,D,JCFB21,1,,3.0,3.0,3.0,7.0,13.0,Pass,Incomplete,0.0,,Noah Wright,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,02:24,1044,0,7,7,3,3,3,,,,,,,
31,Juniata,K,JCFB21,1,,,,4.0,7.0,13.0,Punt Ret,Return,,,,,,,,,,,,,,,,Kyle Good,1,33.0,,,,,,Beckett Leary,21.0,-34.0,Return,,,,,,,,,,,,,,02:24,1044,0,7,7,3,3,3,,,,,,,
32,Juniata,O,SUSQFB,1,,3.0,1.0,0.0,10.0,33.0,Run,Rush,14.0,Michael Ruisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,00:18,918,7,0,7,3,3,3,,,,,,,
33,Juniata,O,SUSQFB,2,,3.0,2.0,1.0,10.0,19.0,Run,Rush,2.0,Frankie Negrini,,,,,,,Seth Bernstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,7,0,7,3,3,3,,,,,,,
34,Juniata,O,SUSQFB,2,,3.0,3.0,2.0,8.0,17.0,Pass,Complete,7.0,,Michael Ruisch,Complete,Samuel Darrell,,,,Dan Drop Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,7,0,7,3,3,3,,,,,,,
35,Juniata,O,SUSQFB,2,,3.0,4.0,3.0,1.0,10.0,Run,Rush,6.0,Michael Ruisch,,,,,,,Michael Grapin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,7,0,7,3,3,3,,,,,,,
36,Juniata,O,SUSQFB,2,,3.0,5.0,1.0,4.0,4.0,Pass,Complete,0.0,,Michael Ruisch,Complete,Kyle Good,,,,Adam Grajewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,7,0,7,3,3,3,,,,,,,
37,Juniata,O,SUSQFB,2,,3.0,6.0,2.0,4.0,4.0,Run,Rush,4.0,Frankie Negrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,900,7,0,7,3,3,3,,,,,,,
38,Juniata,K,SUSQFB,2,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elijah Hoffman,,,Good,,,,,,,,,12:31,751,13,0,13,3,3,3,,,,,,,
39,Juniata,K,SUSQFB,2,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Logan Arnold,John Nicosia,,,,,,Isaiah Collison,17,27.0,Elijah Hoffman,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,12:31,751,14,0,14,3,3,3,,,,,,,
40,Juniata,D,JCFB21,2,,4.0,1.0,0.0,10.0,27.0,Run,Rush,1.0,Hunter Wolfley,,,,,,,A. Scicchitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:25,745,0,14,14,3,3,3,,,,,,,
41,Juniata,D,JCFB21,2,,4.0,2.0,2.0,9.0,28.0,Run,Rush,2.0,Aaron Golberg,,,,,,,Craig Roumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:25,745,0,14,14,3,3,3,,,,,,,
42,Juniata,D,JCFB21,2,,4.0,3.0,3.0,7.0,30.0,Pass,Incomplete,0.0,,Aaron Golberg,Incomplete,Isaiah Collison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:25,745,0,14,14,3,3,3,,,,,,,
43,Juniata,K,JCFB21,2,,,,4.0,7.0,30.0,Punt Ret,Return,,,,,,,,,Chris Gatlos,,,,,,,Kyle Good,2,18.0,,,,,,Beckett Leary,54.0,16.0,Return,,,,,,,,,,,,,,12:25,745,0,14,14,3,3,3,,,,,,,
44,Juniata,O,SUSQFB,2,,4.0,1.0,0.0,10.0,-18.0,Pass,Complete,10.0,,Michael Ruisch,Complete,Kyle Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:07,667,14,0,14,3,3,3,,,,,,,
45,Juniata,O,SUSQFB,2,,4.0,2.0,1.0,10.0,-28.0,Pass,Complete,53.0,,Michael Ruisch,Complete,Michael Lefever,,,,Nathan Barron,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:07,667,14,0,14,3,3,3,,,,,,,
46,Juniata,O,SUSQFB,2,,4.0,3.0,1.0,10.0,19.0,Pass,Incomplete,0.0,,Michael Ruisch,Incomplete,Kyle Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:07,667,14,0,14,3,3,3,,,,,,,
47,Juniata,O,SUSQFB,2,,4.0,4.0,2.0,10.0,19.0,Run,Rush,2.0,Frankie Negrini,,,,,,,Ian Brunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:07,667,14,0,14,3,3,3,,,,,,,
