PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,#25 Susquehanna,K,SUFB,1,,,,,,,KO Ret,Return,,,,,,,,,Edwin Maxwell,John Nicosia,,,,,,Tony Holden,24,28.0,Elijah Hoffman,61.0,4.0,Return,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,#25 Susquehanna,O,UC,1,,1.0,1.0,0.0,10.0,-28.0,Pass,Complete,2.0,,Jack Psenicska,Complete,Kevin DePrince,,,,David Gilchrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,#25 Susquehanna,O,UC,1,,1.0,2.0,2.0,8.0,-30.0,Pass,Complete,0.0,,Jack Psenicska,Complete,Billy Cook,,,,David Gilchrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,#25 Susquehanna,,UC,1,,,,3.0,8.0,-30.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Susquehanna,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,#25 Susquehanna,O,UC,1,,1.0,3.0,3.0,8.0,-30.0,Run,Rush,2.0,Jack Psenicska,,,,,,,David Gilchrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:49,1729,0,0,0,3,3,2,,,,,,,
6,#25 Susquehanna,K,UC,1,,,,4.0,6.0,-32.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,Billy Cook,34.0,34.0,Fair Catch,,,,,,,,,,,,,,13:49,1729,0,0,0,3,3,2,,,,,,,
7,#25 Susquehanna,D,SUFB,1,,1.0,1.0,0.0,10.0,-34.0,Pass,Complete,8.0,,Michael Ruisch,Complete,Michael Lefever,,,,Anthony Trazzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:03,1683,0,0,0,3,2,3,,,,,,,
8,#25 Susquehanna,D,SUFB,1,,1.0,2.0,2.0,2.0,-42.0,Pass,Complete,3.0,,Michael Ruisch,Complete,Michael Lefever,,,,Brendan Shadle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:03,1683,0,0,0,3,2,3,,,,,,,
9,#25 Susquehanna,D,SUFB,1,,1.0,3.0,1.0,10.0,-45.0,Pass,Complete,4.0,,Michael Ruisch,Complete,Kyle Good,,,,Aaron Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:03,1683,0,0,0,3,2,3,,,,,,,
10,#25 Susquehanna,,SUFB,1,,,,2.0,6.0,-49.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:03,1683,0,0,0,3,2,3,offside,UC,,,,,5.0
