PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Juniata,K,URSINUS,1,,,,,,,KO,Return,,,,,,,,,Bailey Delp,,,,,,,Kyhlil Jones,16,26.0,Dakota Wherrity,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Juniata,D,JUNIATA,1,,1.0,1.0,0.0,10.0,-26.0,Pass,Incomplete,0.0,,Aaron Golberg,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Juniata,D,JUNIATA,1,,1.0,2.0,2.0,10.0,-26.0,Run,Rush,4.0,Hunter Wolfley,,,,,,,Anthony Trazzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Juniata,D,JUNIATA,1,,1.0,3.0,3.0,6.0,-30.0,Run,Rush,5.0,Aaron Golberg,,,,,,,Julian Jones,Jonathan Klee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Juniata,,JUNIATA,1,,,,4.0,1.0,-35.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursinus,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Juniata,K,JUNIATA,1,,,,4.0,1.0,-35.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Beckett Leary,49.0,16.0,,,,,,,,,,,,,,,13:18,1698,0,0,0,2,3,2,,,,,,,
7,Juniata,O,URSINUS,1,,1.0,1.0,0.0,10.0,-16.0,Run,Rush,6.0,Samuel Ragland,,,,,,,Michael Grapin,Ethan Hurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,2,2,3,,,,,,,
8,Juniata,O,URSINUS,1,,1.0,2.0,2.0,4.0,-22.0,Run,Rush,4.0,Samuel Ragland,,,,,,,Nathan Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,2,2,3,,,,,,,
9,Juniata,O,URSINUS,1,,1.0,3.0,1.0,10.0,-26.0,Pass,Complete,11.0,,Jack Psenicska,Complete,Kevin DePrince,,,,Adam Grajewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,2,2,3,,,,,,,
10,Juniata,O,URSINUS,1,,1.0,4.0,1.0,10.0,-37.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Zachary Throne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,2,2,3,,,,,,,
