PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Stevenson,K,STE,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,Zachary Rutsch,65.0,0.0,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Stevenson,O,PRIDE,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,1.0,Shawn Thompson,,,,,,,Ethan Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Stevenson,O,PRIDE,1,,1.0,2.0,2.0,9.0,-26.0,Run,Rush,2.0,Shawn Thompson,,,,,,,Sean Sullivan,Orion Twitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Stevenson,O,PRIDE,1,,1.0,3.0,3.0,7.0,-28.0,Pass,Complete,13.0,,Triston Harris,Complete,Tevin Hill,,,,Corey Jones-Pen,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Stevenson,O,PRIDE,1,,1.0,4.0,1.0,10.0,-41.0,Run,Rush,1.0,Shawn Thompson,,,,,,,Jason Scott,Brennen Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Stevenson,O,PRIDE,1,,1.0,5.0,2.0,9.0,-42.0,Pass,Complete,16.0,,Triston Harris,Complete,James Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Stevenson,O,PRIDE,1,,1.0,6.0,1.0,10.0,42.0,Pass,Complete,6.0,,Triston Harris,Complete,,,,,Isaiah Snead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Stevenson,O,PRIDE,1,,1.0,7.0,2.0,4.0,36.0,Run,Rush,15.0,Shawn Thompson,,,,,,,Orion Twitty,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Stevenson,O,PRIDE,1,,1.0,8.0,1.0,10.0,21.0,Run,Rush,1.0,Shawn Thompson,,,,,,,Sean Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Stevenson,O,PRIDE,1,,1.0,9.0,2.0,9.0,20.0,Run,Rush,13.0,Shawn Thompson,,,,,,,Mario McIntyre,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
