PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Keystone College,K,WUFB,1,,,,,,,KO,Return,,,,,,,,,K. Elamin,J. Addesso,,,,,,Darrien Tabb,14,202125.0,A. Orlando,54.0,202111.0,Return,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Keystone College,D,KCFB2021,1,,1.0,1.0,0.0,10.0,202125.0,Pass,Complete,4.0,,Tom Roach,Complete,Kevin Lewis,,,,J. Washington,S. Hess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Keystone College,D,KCFB2021,1,,1.0,2.0,2.0,6.0,202129.0,Run,Rush,0.0,Kevin Lewis,,,,,,,N. Gazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Keystone College,D,KCFB2021,1,,1.0,3.0,3.0,6.0,202129.0,Pass,Incomplete,0.0,,Tom Roach,Incomplete,Kevin Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Keystone College,K,KCFB2021,1,,,,4.0,6.0,202129.0,Punt Ret,Return,,,,,,,,,Troy McEwen,Da'Juan Vales,,,,,,E. Jules,7,46.0,,,,,Zac Cost,32.0,39.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Keystone College,O,WUFB,1,,1.0,1.0,0.0,10.0,-46.0,Pass,Incomplete,0.0,,J. Tabora,Incomplete,L. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
7,Keystone College,O,WUFB,1,,1.0,2.0,2.0,10.0,-46.0,Run,Rush,9.0,J. Tabora,,,,,,,Tysha McClain,Carlos Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
8,Keystone College,O,WUFB,1,,1.0,3.0,3.0,1.0,202145.0,Pass,Complete,15.0,,J. Tabora,Complete,J. Schweizerhof,,,,Troy McEwen,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
9,Keystone College,O,WUFB,1,,1.0,4.0,1.0,10.0,202130.0,Run,Rush,4.0,E. Jules,,,,,,,Troy McEwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
10,Keystone College,O,WUFB,1,,1.0,5.0,2.0,6.0,202126.0,Run,Rush,8.0,K. Reed,,,,,,,Carlos Perez,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
