PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Misericordia,K,MIFB,1,,,,,,,KO Ret,Return,,,,,,,,,Nichol Schafer,,,,,,,N. Whitaker,26,36.0,Nic Neidlinger,55.0,10.0,Return,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Misericordia,O,WUFB,1,,1.0,1.0,0.0,10.0,-36.0,Pass,Complete,44.0,,J. Tabora,Complete,J. Moore,,,,Jared Skidds,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Misericordia,O,WUFB,1,,1.0,2.0,1.0,10.0,20.0,Run,Rush,4.0,K. Reed,,,,,,,Logan Baxter,Tavion Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Misericordia,O,WUFB,1,,1.0,3.0,2.0,6.0,16.0,Run,Rush,2.0,K. Reed,,,,,,,Zachary Orzell,Tavion Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Misericordia,O,WUFB,1,,1.0,4.0,3.0,4.0,14.0,Pass,Incomplete,0.0,,J. Tabora,Incomplete,R. Ermeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Misericordia,,WUFB,1,,,,4.0,5.0,14.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,holding,WUFB,,,,,10.0
7,Misericordia,O,WUFB,1,,1.0,5.0,4.0,15.0,24.0,Pass,Incomplete,0.0,,J. Tabora,Incomplete,C. Pelzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Misericordia,D,MIFB,1,,1.0,1.0,0.0,10.0,-24.0,Run,Rush,12.0,Mitchel Micale,,,,,,,A. Piston,L. Marshall,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:29,1649,0,0,0,3,3,3,,,,,,,
9,Misericordia,D,MIFB,1,,1.0,2.0,1.0,10.0,-36.0,Pass,Complete,7.0,,Mitchel Micale,Complete,Michael Gawlik,,,,P. Ricci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,1649,0,0,0,3,3,3,,,,,,,
10,Misericordia,D,MIFB,1,,1.0,3.0,2.0,3.0,-43.0,Run,Rush,2.0,Mitchel Micale,,,,,,,B. Costner,D. Gazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,1649,0,0,0,3,3,3,,,,,,,
11,Misericordia,D,MIFB,1,,1.0,4.0,3.0,1.0,-45.0,Run,Rush,-4.0,Mitchel Micale,,,,,,,P. Ricci,B. Costner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:29,1649,0,0,0,3,3,3,,,,,,,
12,Misericordia,K,MIFB,1,,,,4.0,5.0,-41.0,Punt Ret,Return,,,,,,,,,Alex Hafner,,,,,,,E. Jules,1,24.0,,,,,To Weiskircher,36.0,23.0,Return,,,,,,,,,,,,,,12:29,1649,0,0,0,3,3,3,,,,,,,
