School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
Adrian,Bulldogs,"Adrian, MI",MIAA,4,Turf,1723,Adrian,http://www.adrianbulldogs.com/sports/football/schedule/2021,http://www.adrianbulldogs.com/sports/football/schedule/2022
Albion,Britons,"Albion, MI",MIAA,4,Turf,1448,Albion,http://gobrits.com/sports/football/schedule/2021,http://gobrits.com/sports/football/schedule/2022
Albright,Lions,"Reading, PA",MAC,1,Turf,1701,Albright,http://www.albrightathletics.com/sports/football/schedule/2021,http://www.albrightathletics.com/sports/football/schedule/2022
Alfred State,Pioneers,"Alfred, NY",ECFC,1,Turf,3482,Alfred St.,http://www.alfredstateathletics.com//sports/fball/2021-22/schedule,http://www.alfredstateathletics.com//sports/fball/2022-23/schedule
Alfred,Saxons,"Alfred, NY",E8,2,Turf,1639,Alfred,http://gosaxons.com//sports/football/schedule/2021,http://gosaxons.com//sports/football/schedule/2022
Allegheny,Gators,"Meadville, PA",NCAC,4,Turf,1711,Allegheny,http://www.alleghenysports.com//sports/football/schedule/2021,http://www.alleghenysports.com//sports/football/schedule/2022
Alma,Scots,"Alma, MI",MIAA,4,Turf,1396,Alma College,https://almascots.com/sports/fball/2021-22/schedule,https://almascots.com/sports/fball/2022-23/schedule
Alvernia,Golden Wolves,"Reading, PA",MAC,1,Turf,1655,Alvernia,http://athletics.alvernia.edu//sports/football/schedule/2021,http://athletics.alvernia.edu//sports/football/schedule/2022
Amherst,Mammoths,"Amherst, MA",NESCAC,1,Turf,1839,Amherst,https://athletics.amherst.edu/sports/football/schedule/2021,https://athletics.amherst.edu/sports/football/schedule/2022
Anderson,Ravens,"Anderson, IN",HCAC,4,Turf,1213,Anderson (Ind.),http://athletics.anderson.edu//sports/fball/2021-22/schedule,http://athletics.anderson.edu//sports/fball/2022-23/schedule
Anna Maria,Amcats,"Paxton, MA",ECFC,1,Turf,924,Anna Maria,http://goamcats.com//sports/fball/2021-22/schedule,http://goamcats.com//sports/fball/2022-23/schedule
Augsburg,Auggies,"Minneapolis, MN",MIAC,6,Turf,2166,Augsburg University,http://athletics.augsburg.edu//sports/football/schedule/2021,http://athletics.augsburg.edu//sports/football/schedule/2022
Augustana,Vikings,"Rock Island, IL",CCIW,5,Turf,2523,Augustana College,http://www.athletics.augustana.edu/sports/football/schedule/2021,http://www.athletics.augustana.edu/sports/football/schedule/2022
Aurora,Spartans,"Aurora, IL",NACC,5,Turf,3679,Aurora University,http://athletics.aurora.edu//sports/football/schedule/2021,http://athletics.aurora.edu//sports/football/schedule/2022
Austin,Kangaroos,"Sherman, TX",ASC,3,Grass,1290,Austin College,http://www.acroos.com//sports/fball/2021-22/schedule,http://www.acroos.com//sports/fball/2022-23/schedule
Averett,Cougars,"Danville, VA",USAC,3,Turf,868,Averett,http://www.averettcougars.com/sports/football/schedule/2021,http://www.averettcougars.com/sports/football/schedule/2022
Baldwin Wallace,Yellow Jackets,"Berea, OH",OAC,4,Turf,2767,Baldwin Wallace,http://www.bwyellowjackets.com//sports/fball/2021-22/schedule,http://www.bwyellowjackets.com//sports/fball/2022-23/schedule
Bates,Bobcats,"Lewiston, ME",NESCAC,1,Turf,1820,Bates,https://gobatesbobcats.com//sports/football/schedule/2021,https://gobatesbobcats.com//sports/football/schedule/2022
Belhaven,Blazers,"Jackson, MS",ASC,3,Turf,1242,Belhaven,http://blazers.belhaven.edu//sports/football/schedule/2021,http://blazers.belhaven.edu//sports/football/schedule/2022
Beloit,Buccaneers,"Beloit, WI",MWC,5,Turf,1320,Beloit,https://beloitcollegeathletics.com//sports/football/schedule/2021,https://beloitcollegeathletics.com//sports/football/schedule/2022
Benedictine,Eagles,"Lisle, IL",NACC,5,Turf,2465,Benedictine (IL),http://www.benueagles.com//sports/football/schedule/2021,http://www.benueagles.com//sports/football/schedule/2022
Berry,Vikings,"Mount Berry, GA",SAA,3,Turf,1942,Berry College,http://www.berryvikings.com/sports/football/schedule/2021,http://www.berryvikings.com/sports/football/schedule/2022
Bethany,Bison,"Bethany, WV",PAC,2,Turf,501,Bethany,http://bethanybison.com/sports/fball/2021-22/schedule,http://bethanybison.com/sports/fball/2022-23/schedule
Bethel,Royals,"Arden Hills, MN",MIAC,6,Turf,2248,Bethel (MN),http://athletics.bethel.edu/sports/football/schedule/2021,http://athletics.bethel.edu/sports/football/schedule/2022
Birmingham-Southern,Panthers,"Birmingham, AL",SAA,3,Turf,1199,Birmingham-So.,https://bscsports.net/sports/football/schedule/2021,https://bscsports.net/sports/football/schedule/2022
Bluffton,Beavers,"Bluffton, OH",HCAC,4,Turf,605,Bluffton,http://blufftonbeavers.com/sports/fball/2021-22/schedule,http://blufftonbeavers.com/sports/fball/2022-23/schedule
Bowdoin,Polar Bears,"Brunswick, ME",NESCAC,1,Turf,1797,Bowdoin,http://athletics.bowdoin.edu/sports/football/schedule/2021,http://athletics.bowdoin.edu/sports/football/schedule/2022
Brevard,Tornados,"Brevard, NC",USAC,3,Turf,713,Brevard,http://www.bctornados.com//sports/fball/2021-22/schedule,http://www.bctornados.com//sports/fball/2022-23/schedule
Bridgewater State,Bears,"Bridgewater, MA",MASCAC,1,Turf,7959,Bridgewater St.,http://www.bsubears.com/sports/fball/2021-22/schedule,http://www.bsubears.com/sports/fball/2022-23/schedule
Bridgewater,Eagles,"Bridgewater, VA",ODAC,3,Turf,1868,Bridgewater,http://www.bridgewatereagles.com/sports/football/schedule/2021,http://www.bridgewatereagles.com/sports/football/schedule/2022
Brockport,Golden Eagles,"Brockport, NY",E8,2,Turf,6304,Brockport St.,http://www.gobrockport.com/sports/football/schedule/2021,http://www.gobrockport.com/sports/football/schedule/2022
